iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-20.088105916377,-19.927122384593197,-19.966620186197243,-20.08981400723227,-19.997721096792006,-20.01249877656013,-19.71219580530749,-20.07555137178918,-19.89319342491466,-19.868673686527234
1,-9.023269610353186,-8.574842112881845,-8.338564636606566,-8.432381072327999,-8.847315676629837,-8.475285878410558,-8.23771753989979,-8.34011942184349,-8.475644013900666,-8.544524520710919
2,-8.092397743266789,-7.996827596302774,-7.884714591017839,-7.912695520156402,-8.47669850731886,-7.88917183011172,-7.586623970638161,-7.811166416277526,-7.6896559852698525,-7.878378475879536
3,-7.611819130303074,-7.810727858716886,-7.640994707084026,-7.615249449981346,-7.818911482369687,-7.638144915562014,-7.333348396721135,-7.525599289221516,-7.225229152029698,-7.488674841174815
4,-7.343422100166217,-7.417951248324584,-7.530342776324854,-7.452174606266325,-7.4614613777697345,-7.294995070337858,-7.019717390182235,-7.359274346362271,-7.161399044579085,-7.298296513486519
5,-7.240145025742088,-7.220573765445124,-7.441135813621204,-7.306040181527296,-7.159122121345823,-7.219963519911937,-6.820015641037541,-7.190756403164139,-7.020123268202214,-7.101115751684008
6,-7.054225548314605,-7.006214197306674,-7.391699055808312,-7.255952179482328,-6.981352920385163,-7.147669276505315,-6.666111055401023,-7.096312022548878,-6.900471177787575,-6.927241537026253
7,-6.846729073776877,-6.821264768817168,-7.294391473541066,-7.142356833037498,-6.916331335263161,-6.9494575979487125,-6.535404698500996,-6.956313459906301,-6.826059440935391,-6.616737667099372
8,-6.67539879683477,-6.746219792577429,-6.802129461575891,-6.848515046751524,-6.716450137156752,-6.64224237675072,-6.463027879530852,-6.77162057450545,-6.49403893934141,-6.39119752734176
9,-6.410971369160133,-6.628484364470275,-6.593048162084743,-6.586375512300457,-6.623778459104483,-6.538479426021622,-6.300113710664756,-6.734740190749477,-6.404801125939739,-6.263269304703085
10,-6.255336718456359,-6.436722016429453,-6.468862130868176,-6.486323721984561,-6.406759240347149,-6.371035042197093,-6.171762261167865,-6.513445206363542,-6.344438942708088,-6.084403285871732
11,-6.094285331134704,-6.148939447092319,-6.2733441579054965,-6.212526551606075,-6.228090985893217,-6.046452940182531,-6.015209727738117,-6.166898065884604,-6.172053418886838,-5.878877710422718
12,-5.915255813887574,-5.808035907209533,-6.206663017776695,-6.093431896118801,-6.01400470543632,-5.866239414674795,-5.849974381856466,-5.920303392780417,-5.817243869226426,-5.727650403380748
13,-5.859283687672386,-5.452290455755472,-5.951936263014639,-6.05661920519386,-5.84228993024589,-5.78730597586577,-5.6847338891839865,-5.568003297201547,-5.5966546665757,-5.510558592286472
14,-5.469567733934294,-5.2995534982003045,-5.835336269340656,-5.632130629715256,-5.818350305607618,-5.558556355291888,-5.591936593861137,-5.276333953044531,-5.310930777575247,-5.465901797068421
15,-5.277715258727966,-5.208505804175667,-5.527717814799811,-5.562569546400557,-5.684787953491606,-5.375456629281334,-5.512675669118975,-4.99796818268954,-5.156558578476456,-5.25938532945529
16,-5.0899168325414434,-5.078856880576288,-5.337493573417257,-5.350452400321406,-5.511477983474423,-5.1721177890071495,-5.2207038407855375,-4.912200408895332,-5.116123485838105,-5.025311531290793
17,-4.9952374985703605,-5.0370720158921465,-5.247120946113675,-5.22138624717116,-5.166041671331067,-5.031196403895925,-5.12125522093916,-4.889275065952525,-5.084293312953735,-4.891403849619547
18,-4.952211549860635,-4.941694097559588,-5.230171548076746,-5.0814032624437715,-5.065760767014619,-4.987059440861816,-5.016085151649285,-4.889275065952525,-5.06409250628272,-4.766718074049862
19,-4.861702451589003,-4.884200255911747,-5.024406441270959,-4.98432917025438,-5.0637572448050445,-4.9033194830988345,-4.796182196083489,-4.8315964902476285,-5.005919235388031,-4.730709775288829
20,-4.738013062861942,-4.816951372466557,-4.833312760454033,-4.917705240728716,-4.9780320779650165,-4.885101158607886,-4.748774425586776,-4.699760629325186,-4.902894029859308,-4.684083193380891
21,-4.687580686913064,-4.762580246053598,-4.735918544085409,-4.859460467540137,-4.977159559253989,-4.872967563032592,-4.657487515091125,-4.699760629325186,-4.793898377613742,-4.684083193380891
22,-4.683784727755114,-4.753143311710446,-4.677802508988213,-4.840142414823317,-4.939606262978769,-4.808712599314964,-4.611566683199066,-4.6831869768082806,-4.776697907477901,-4.663179953805672
23,-4.674115309095805,-4.6963147559943685,-4.661916094568771,-4.735259695068416,-4.931078703694672,-4.737493831794101,-4.611566683199066,-4.6831869768082806,-4.737982473710834,-4.631303163158888
