iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.10190594258041,-21.070795669925555,-21.051587337036146,-21.16137131973392,-20.927670539266604,-21.262569498218877,-21.16847834811658,-21.194375777790675,-21.194903579809115,-21.177136737534155
1,-9.023269610353186,-8.574842112881845,-8.338564636606566,-8.432381072327999,-8.847315676629837,-8.475285878410558,-8.23771753989979,-8.34011942184349,-8.475644013900666,-8.544524520710919
2,-8.09921349006542,-8.144009543232759,-8.002900259418734,-7.992968126350268,-8.589035016452849,-7.989234464758514,-7.682913028414316,-7.968203418069791,-7.790639611888101,-7.950757080520791
3,-7.872836485540929,-8.133786427818453,-7.895207058343123,-7.85060923697378,-7.9701117138441555,-7.8488077106182095,-7.69888902280203,-7.844571674939921,-7.5817239204563736,-7.673400063228231
4,-7.772170288732405,-7.89604618210604,-8.000763258361435,-8.183424371301363,-7.816831462514409,-7.630805162264043,-7.60577141565491,-7.917989945845216,-7.916292805357662,-7.911569371794112
5,-7.798123557561895,-8.004776433232344,-8.403107882117025,-8.112390205922484,-7.88854719910397,-8.215869412061192,-7.48124716525792,-8.245305592060895,-7.9178522963673075,-7.851261230490563
6,-8.024844768540234,-7.760414403896874,-8.41760412645091,-8.25155079275119,-7.601899963446653,-7.915686977839209,-7.496465619628873,-8.063053376595091,-7.844552130368298,-7.7313895221696765
7,-7.750553206578948,-7.7285842054250615,-8.132892797940023,-8.012227214835862,-7.808893452566238,-7.811433606713725,-7.321139476061715,-7.666084212655692,-7.879678535743622,-7.324664489102462
8,-7.611844506872869,-7.636309228131184,-7.509349378425007,-7.424765611519563,-7.5704121684581915,-7.394384808222293,-7.784039209103426,-7.2698982858984085,-7.1795417978057685,-7.088409925953169
9,-7.2656634587106,-7.472422809348936,-7.526608520500741,-7.225561693686288,-7.593931860787407,-7.698966878989176,-7.6848524437640044,-7.696521584420383,-7.472539983880094,-7.250286502885281
10,-7.225087517225109,-7.363792671672561,-7.252332348941595,-7.455423497404642,-7.109722532627445,-7.497986750215724,-7.2867144050955055,-7.300639817708998,-7.463106297363083,-7.163552351770843
11,-7.07182790204291,-7.06986195629912,-7.036491593384108,-6.80500623370963,-6.868325762983018,-6.586684908577101,-6.718962953879558,-6.929178784363454,-7.165940219373164,-6.657520952269298
12,-7.045690788969179,-6.5453742179682095,-6.937234926671502,-6.825219413724705,-6.864909333932404,-7.044604437047537,-6.919745755932018,-6.611188970994629,-6.366884174778285,-6.52848460763498
13,-7.0034976833881855,-6.038231319873217,-6.625009202051173,-7.275501943240088,-6.6664758231899786,-6.739742630225526,-6.8922649127673985,-6.602245295351283,-6.645048374432419,-6.188707154423576
