iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-123.35072849922372,-117.7308493555619,-119.97598155788712,-120.2069462068165,-121.19956572318492,-124.44380578973693,-117.50323585578849,-122.43121602352993,-113.61844846054899,-120.79257848020481
1,-92.06223261716677,-100.28885959535597,-92.52198233515007,-100.66281070741633,-95.26134421291391,-96.67290912184085,-97.43836748071313,-94.53633333386469,-99.70963608287022,-101.60153236708226
2,-83.74788654203755,-92.06072530462487,-86.91498855895462,-94.69029746105082,-86.77700547775231,-88.33721591331522,-90.41951690783031,-89.30949903304683,-93.30975430161915,-91.36119214177953
3,-82.12110476685943,-84.88855173593818,-79.44124708799751,-88.59897917776291,-82.76340377284706,-83.94992513146815,-84.38758925254378,-85.2441439285515,-83.80335234141451,-87.48693689284482
4,-78.70309583572597,-81.6970319726064,-78.45568123773756,-84.04519295437414,-80.10649498863548,-80.03165978695888,-80.38409724491585,-80.93449870053567,-81.67611648728823,-80.89571008422955
5,-74.48012362966385,-78.09790874554756,-75.78927171880976,-79.6292146162195,-76.52915762656694,-78.60438849692193,-78.26523276084909,-76.88159086101362,-78.27558412041338,-77.85485548785135
6,-72.6492721353041,-74.86902722816222,-73.47237857729831,-76.72422146643697,-75.61023515374484,-77.53485357941042,-75.99090096475834,-76.41442877976203,-77.49768717873127,-74.36801781850941
7,-70.00913060448211,-72.13461938434516,-71.63625094704523,-72.74389209259718,-72.04409812852126,-76.00916905687436,-74.5078210943573,-74.48095012018442,-77.2904301087901,-74.04229747980801
8,-69.5863733549827,-71.02698367929189,-71.25458669203934,-72.74389209259718,-71.74345340942227,-74.87170729653695,-72.6672748964804,-72.9887789213457,-74.80616195452004,-72.17858023359037
9,-68.64132191914535,-69.34457723422807,-70.74522874673553,-72.0211715550442,-69.08597301081542,-73.57825872045768,-72.60611636508807,-70.73808983478882,-72.86356151370566,-69.93794076778903
10,-68.32116936227598,-67.64312021214666,-70.05286076422482,-69.99670734543837,-67.85886996271267,-71.56142902135366,-71.37964056459256,-69.07481083223952,-71.50322203106194,-69.43329472171814
11,-66.89690889509022,-66.15424349586642,-68.15456938331866,-69.2124632879294,-67.4630999168215,-70.9991568361051,-70.78606703445823,-68.49146009031858,-70.59272841245247,-68.2863971313537
12,-66.10714902678933,-65.2454587974049,-68.15456938331866,-68.69662836468837,-66.45408306300928,-69.84073424207446,-70.45555980808149,-67.62384148244315,-70.59272841245247,-65.70880669974463
13,-66.10714902678933,-64.46575974426034,-66.17077431093217,-65.94759769680222,-64.85166115773379,-67.84344794030218,-68.62297997237019,-67.10445156860189,-68.53540224780731,-64.94750200253124
14,-65.10346338802167,-63.98501452059628,-66.17077431093217,-65.46908442597709,-63.21140363702046,-67.20767662456899,-66.6770092410928,-66.07155182544956,-68.27767274736776,-64.12698488335279
15,-64.93771351044352,-62.873740051771904,-63.79677752735345,-64.55854816978484,-60.62548108347097,-65.96198131768129,-66.31445471808496,-64.85475714663474,-67.77223516133905,-63.11333191037477
16,-64.67962715577615,-62.009626503393136,-62.919629618490305,-62.30339216382758,-59.28209040617926,-65.23478143471792,-66.25887436822171,-64.35590669956575,-66.70732877047159,-62.12471203307045
17,-64.28617981498675,-61.357288774342265,-62.919629618490305,-61.91741903836621,-57.124475545740836,-65.04258513652987,-65.78113843628654,-63.20572392118568,-65.22186646299085,-61.992124824359124
18,-62.989245772400984,-60.903494580852,-62.45452973824973,-61.31205288048153,-56.42817384047147,-64.15868096111404,-64.80545151846162,-63.20572392118568,-64.10737323854329,-61.660467048163085
19,-62.15228080910113,-60.87068811902313,-62.208466243719144,-60.791722889125424,-56.288231495362446,-62.608742030788065,-63.35727176590689,-63.09082035405807,-63.511135710731445,-60.225787379071505
20,-60.45947471556602,-60.87068811902313,-61.75140815904885,-60.791722889125424,-55.5304597009078,-62.49212846877954,-62.36109770990805,-61.9982000043643,-62.73113596989161,-57.97894785407526
21,-58.9181518367417,-60.714887615808664,-60.75668048613506,-58.71748269108156,-54.27622755199991,-61.839878544685504,-62.00106089216541,-61.44148573877064,-62.51728521086547,-57.78798612986817
22,-58.27027777082701,-59.60023915949692,-59.91677911957589,-56.46546493258797,-53.64596121774734,-61.01833317024519,-61.53257977353424,-59.46185197114286,-62.51728521086547,-56.42766603138161
23,-58.27027777082701,-58.12834329397493,-59.08770034762772,-56.46546493258797,-52.365413848501795,-60.59377051368432,-60.73400528869001,-58.59374167705684,-62.24441195506465,-56.15741499862269
24,-57.1924627398257,-55.507179140921835,-58.237752266465236,-55.44018566225036,-51.73378423347987,-59.87212701273634,-59.22766622035478,-57.8717152389722,-61.80167759856881,-54.782133190888686
25,-55.74472807309292,-53.26757505744298,-56.67647200285531,-54.68299480098416,-51.73378423347987,-59.87212701273634,-58.055592649927384,-57.27749736630066,-61.40176833695203,-53.88227510611385
