iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-177.28474653309823,-183.6024076104198,-176.22895523281895,-183.2097805706762,-182.49136361193672,-190.8255989932971,-195.69855344707466,-190.16739052302376,-184.99808354519178,-181.91846200961157
1,-93.34387902410799,-107.7088696601864,-100.22157322437894,-107.02574178509975,-98.54606522131243,-99.75795628525424,-100.20647712380367,-99.6789884681617,-109.62765827716363,-106.82109521637909
2,-96.57453096596318,-109.23995810708848,-108.60525183453356,-113.18444255824097,-101.02313718120584,-105.64516383254099,-107.15214055524453,-104.1577015939933,-111.61950089643355,-105.3877582093639
3,-104.52583490665208,-105.09293688842558,-101.36532333211102,-105.92330815915314,-103.61940439147976,-103.18908606937478,-106.20566089232526,-105.529598311859,-106.58521131930564,-107.12691217950089
4,-97.61031288147379,-106.33663113244354,-110.33590827595017,-105.12629624966911,-105.72081994806241,-97.75719240384468,-104.32530156947945,-106.48892458777362,-105.22165250543618,-102.32191722966309
5,-101.06088649829053,-111.75966541685771,-105.28127067007186,-98.20196039252716,-96.92843986718859,-104.53756858242164,-108.79420926439823,-93.36647125983013,-106.51373446290765,-102.99152035823703
6,-108.99245747569962,-102.33773029857146,-103.47328900123206,-101.97829469388562,-107.10140811927971,-105.35869788515711,-108.90565772200476,-112.54961125648236,-111.35942782435644,-96.27368914190687
7,-98.15905223684875,-107.01991715621543,-103.9038270335416,-99.29553164495992,-98.39172340097659,-106.39870957666542,-104.34620107775307,-101.46166003178021,-109.20390656026052,-111.27700849588561
8,-101.42868022811592,-103.62626841876168,-103.87628131498987,-111.18911106494852,-109.70990888359879,-102.33192963394015,-105.88602716269837,-96.9926004044904,-109.8858372315084,-97.89592965583233
9,-94.3696084715997,-106.06609351373673,-105.45629300372893,-101.93049027853472,-98.4417286599711,-99.64216199019219,-109.5079377244887,-99.96411725275118,-101.1173295431336,-97.89337367116536
10,-100.57837196906472,-101.55274164129747,-104.7076702961518,-96.94404264893782,-100.93324451507235,-101.02716110728674,-105.12363794916813,-108.2405107328871,-97.79851407884527,-101.36768340486984
