iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-119.1993574461992,-121.44285388423424,-123.42136105903649,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-115.22282474115298,-123.51634673979098,-117.73012187151207
1,-100.91072375240282,-107.1678144510705,-98.37369115910639,-101.06375152878334,-91.01002937787754,-99.63064129179445,-89.22002104601015,-93.05029718861691,-102.7722902909766,-91.00250982509846
2,-84.78155782760872,-98.66030198244454,-87.90995657664635,-92.38131022354628,-85.34312854455953,-87.04585624904178,-84.59520710327294,-86.33231033636689,-91.45154406097048,-85.40221611829656
3,-83.12901018818852,-87.55193107825264,-82.93862587818235,-89.04417934988601,-75.7661722626651,-80.98206401524997,-79.7983610510566,-83.7793520753562,-83.33801056548214,-75.59607463863277
4,-81.20585112023907,-85.65633327882449,-75.70885706721394,-85.25816135127872,-70.89232410083382,-77.17204800201391,-75.62519669766247,-77.9707453782308,-75.3782974353912,-74.1041014877369
5,-78.84063373965981,-81.0729554239777,-73.17863676725538,-83.43958535869214,-67.99965019291582,-76.11206050185135,-75.61853612550021,-76.50820106441554,-73.14619241801961,-74.1041014877369
6,-75.85858015398586,-80.35824012981837,-72.43987404213459,-82.58649646064532,-67.90124737352002,-76.11206050185135,-73.3331075833828,-73.86841188218033,-72.75580644589263,-71.90846593786966
7,-71.85114819733309,-76.57446629017886,-71.75609947865277,-81.60855528339894,-67.69709014471148,-73.7317044985543,-69.76396053157568,-73.78078780348125,-68.88063582506294,-71.65532001544717
8,-71.82794101133507,-74.28864363795634,-69.16159232808366,-78.36264992943777,-66.78485603562845,-70.84509950742599,-67.61008969722641,-72.76551251706799,-67.00746446657251,-70.6380318759289
9,-70.42677369241731,-71.4617454259183,-68.42695976450253,-77.50687436764854,-65.76006120862104,-70.48509777990361,-67.31103759012348,-69.82991597606582,-66.89324280825836,-70.15383763974744
10,-69.77247222748042,-70.03428066312003,-68.00091171809798,-73.94584075069923,-65.34338598378707,-68.97043339411394,-65.42004055022002,-69.82991597606582,-65.98789327327157,-69.63838404974473
11,-69.77247222748042,-68.74800568506801,-67.4538427841124,-73.94584075069923,-65.11550835519492,-68.97043339411394,-64.60025473575695,-69.31316793925416,-65.13045070469516,-69.4788417682158
12,-67.91543382722114,-67.8425335847422,-67.21591867486748,-73.48259560172956,-63.998208417384284,-67.00579486715479,-64.18750447674252,-68.64912021572351,-64.97462839917674,-68.91218428303917
13,-67.01193260756033,-67.27266947331854,-65.97559173527063,-72.09224938497123,-62.05029371683395,-66.66164706163003,-64.18750447674252,-68.54143722947703,-64.66749525131074,-67.9550043716645
14,-64.41358634579194,-66.9924214991796,-64.42877669209389,-72.09224938497123,-60.87234652340987,-65.2559975027357,-64.18750447674252,-67.77200032133265,-63.885869548832865,-66.72540939625638
15,-63.7741453443555,-66.86061447425094,-62.57545497717143,-71.27413202781713,-60.25650159215168,-64.36790955778778,-63.98069363430893,-67.50642860030376,-63.04160101294114,-66.72540939625638
16,-62.45456118405106,-66.86061447425094,-62.57545497717143,-70.39414659623301,-59.785385501144646,-63.78172819079559,-62.22117383205055,-65.82133893954716,-62.40606603562137,-65.79995865524853
17,-62.29715436344746,-65.62820058696416,-61.81954474774339,-70.0733402156098,-58.27560904732219,-62.33021767927667,-62.22117383205055,-64.87734651829768,-62.40606603562137,-65.15176763548023
18,-60.869316119894776,-64.65730396002863,-61.593352583348505,-68.98810940667681,-54.93358953663284,-62.33021767927667,-62.00361882134685,-63.77496024251751,-62.40606603562137,-65.15176763548023
19,-60.24453740353257,-62.864214797122614,-61.21954359916275,-67.71736542782732,-54.93358953663284,-60.449493623973595,-59.432840619942205,-63.77496024251751,-61.82113724743218,-64.97403845166035
20,-59.795048280032994,-60.730962601894355,-59.84882020673591,-67.71736542782732,-54.646305081461776,-60.02390848104886,-59.425551187829896,-63.77496024251751,-60.93629280775731,-64.24725509191403
21,-57.940134753721445,-60.730962601894355,-58.92235395059287,-67.71736542782732,-54.51074429258739,-59.64159810578482,-59.078051011088746,-62.76734156242357,-60.64935635282684,-64.24725509191403
22,-57.68894223663152,-59.80134342638034,-58.92235395059287,-67.57137277631648,-54.41647677390199,-59.07786141971619,-56.91702693880898,-60.14108143566836,-60.64935635282684,-64.09110698026655
23,-57.15062369144172,-58.433464208440824,-58.481687657895904,-66.78639437485131,-51.102544565471355,-57.83192103739964,-55.69059974949863,-59.54787178894145,-60.64935635282684,-64.09110698026655
24,-57.15062369144172,-57.81460773271773,-57.405422545474934,-66.78639437485131,-51.102544565471355,-57.33840340456795,-55.379782619630106,-58.76951369735173,-60.64935635282684,-62.7390349988719
25,-55.869143538684156,-57.81460773271773,-57.405422545474934,-66.03775056144534,-50.25973579378223,-57.33840340456795,-53.57266782118883,-58.76951369735173,-60.06154432645274,-62.7390349988719
26,-55.240671399619686,-56.8432404869801,-56.63746183361912,-66.03775056144534,-50.05600496466738,-57.33840340456795,-53.57266782118883,-57.7832134209129,-59.727018093448095,-62.7390349988719
27,-55.240671399619686,-56.644977508807195,-55.40634146670864,-65.98545636024343,-48.92758775502019,-56.652304648248844,-52.69521105570277,-56.00029702521051,-59.727018093448095,-59.510343582597855
28,-52.859106964443754,-56.644977508807195,-55.103914539094944,-65.54593744116706,-48.92758775502019,-56.07916468308311,-52.37796057449993,-55.78793808487927,-56.39213741502784,-58.09539097345399
29,-52.26523030815291,-56.644977508807195,-54.72878524187877,-65.54593744116706,-47.56492962510719,-56.07916468308311,-51.08185542441841,-55.327397357088536,-55.19085616213345,-58.09539097345399
30,-50.494261060111526,-56.14855380880765,-53.371013104348876,-63.00366476545907,-47.56492962510719,-54.75163987564368,-50.77874114326726,-51.32267169754034,-55.13388437022168,-56.842019372958205
31,-49.95812258494639,-51.943150662265694,-53.01057846811081,-61.722491270732206,-46.24616402969924,-54.75163987564368,-49.09802108626805,-51.089309472574186,-54.59628671147238,-56.453314861515835
32,-49.90925638547558,-51.777670528895584,-53.01057846811081,-61.6014808976135,-45.85531174420974,-54.75163987564368,-48.897054555041464,-50.83965323047494,-54.59628671147238,-55.89994209780214
33,-49.90925638547558,-51.733662810870726,-51.79688996905165,-60.43111679256033,-45.85531174420974,-52.45277221114163,-48.897054555041464,-50.27243795214737,-54.397894929200504,-53.77250352078137
34,-49.364925785201564,-51.542438522074306,-51.79688996905165,-59.142249969727345,-45.85531174420974,-52.270368507059544,-48.86738312102537,-49.71427484511952,-52.62189072951357,-53.77250352078137
35,-47.98012077613062,-49.84295843284212,-51.79688996905165,-59.02901530906226,-45.268027232300525,-51.99698069611197,-48.86738312102537,-49.71427484511952,-52.49518119804313,-53.48077044481445
36,-46.45937418329832,-49.84295843284212,-51.79688996905165,-58.34902440891921,-44.67810269591899,-51.99698069611197,-48.07604362882299,-49.4159849012151,-52.115113977643674,-53.165990352313045
37,-46.45937418329832,-49.84295843284212,-51.78617670848425,-58.252203734231806,-44.67810269591899,-51.44101298252576,-47.012944569876154,-47.353203842921346,-51.20265743747272,-53.165990352313045
38,-46.42307396134882,-49.24013858031199,-50.86846976481096,-58.252203734231806,-44.67810269591899,-51.088652607616424,-46.274410270156736,-47.353203842921346,-51.20265743747272,-52.12777669290648
39,-45.23149932162453,-49.24013858031199,-50.86846976481096,-57.56257493297341,-44.56453260380904,-51.088652607616424,-46.23145213364835,-46.092693080468074,-51.20265743747272,-52.12777669290648
40,-45.23149932162453,-49.24013858031199,-50.86846976481096,-57.56257493297341,-43.95745673164889,-50.66912068425903,-45.77779497929717,-46.092693080468074,-50.87323547347226,-50.88990483598063
41,-44.87970501520605,-48.73934722679277,-49.77227382770785,-56.61046473470934,-43.35525411340307,-49.20089840347356,-45.668091237234705,-45.77224856773688,-50.73670951935298,-50.1915489973827
42,-44.87970501520605,-48.73934722679277,-48.84048620360682,-56.588268322081916,-42.3367305080933,-47.95230892403772,-45.03748862100568,-45.706454551412264,-50.026634115151616,-49.924960780568355
43,-44.87970501520605,-48.43425678671795,-48.26149048661684,-56.588268322081916,-39.967107236464834,-47.95230892403772,-44.70528362928307,-45.533711779580585,-48.30705489295048,-49.924960780568355
44,-44.30711927226467,-47.82686925318279,-47.259314864585875,-55.52777603365518,-39.967107236464834,-47.52689571913332,-43.385817266266855,-45.533711779580585,-48.12994286961403,-49.924960780568355
45,-43.49078031391962,-47.82686925318279,-47.22113673669738,-54.60738958640883,-38.93615115030142,-46.174946504542845,-42.607347079730275,-44.42714245777603,-47.502784430564,-49.924960780568355
46,-43.423106028568945,-47.20106651721196,-47.22113673669738,-54.00121075920296,-38.883955811853596,-46.174946504542845,-42.37684510028103,-43.51547139751945,-47.47243985188071,-47.89426372095616
47,-42.575531686289374,-46.89412015412055,-47.22113673669738,-53.52487655717812,-38.857376541774144,-46.174946504542845,-42.060070977723136,-42.76462384848894,-47.47243985188071,-47.89290454467219
48,-42.26066966264046,-46.89412015412055,-47.15296678137088,-52.315110536868914,-38.59867542231966,-44.895202125084644,-41.82424134379252,-42.76462384848894,-47.47243985188071,-47.70163396925966
49,-41.67852031483423,-46.232259078072374,-47.15296678137088,-52.315110536868914,-38.59867542231966,-43.07691049005382,-41.82424134379252,-42.396072863123266,-46.601953763118914,-47.70163396925966
