iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.6601126209091,-185.8331955758129,-211.57175904169975,-189.21753547046438,-183.67483728901846,-192.57579687859624,-187.16715746556406,-186.2075977346267,-183.09474045346724,-191.83296002908776
1,-108.63979819297123,-111.106117997784,-102.1077275809223,-101.36017454322884,-102.44940369163876,-101.94091207584798,-87.16172049044197,-94.81835619586843,-106.17371128177749,-104.48663883976096
2,-103.28560540970955,-108.48981013136161,-114.68839062709486,-107.62841187468874,-94.72216407694954,-87.9363492430494,-100.07995847843536,-95.63138079943336,-113.99783694696029,-97.1451309293578
3,-98.44896493169048,-107.52470225949321,-94.61208204666502,-102.66901916705862,-108.65548154352571,-94.46404963470616,-100.51074953768698,-106.72704142752417,-104.87731802122153,-106.3866849842521
4,-105.25179803495871,-112.48750552829405,-110.0398917746793,-108.13535171237379,-97.12894109805653,-102.70892062744409,-94.82887591511076,-106.0014463435942,-104.41089307045907,-100.30066908842932
5,-108.76494006573606,-99.5316181372537,-107.49795368812565,-108.97475940344977,-101.39277692511321,-103.96000744007326,-107.94643003720279,-98.7303152119724,-107.64201989136261,-104.37217220842264
6,-104.06455432817279,-112.72277989434474,-112.27263638145638,-107.6193598939444,-106.17408499535163,-97.8672243203045,-101.21640708634577,-115.4192965845591,-114.26706986353369,-106.31064413765665
7,-110.37612187035332,-109.19574691623961,-106.70224819557708,-114.30486599672679,-97.942378867204,-110.61638476924892,-98.33511488965561,-98.28158169328879,-112.58360975139527,-98.32772371397118
8,-103.53276182438962,-103.05498465680529,-98.78406772069283,-106.39447845501526,-104.91700385789109,-107.60891629714052,-107.68300719998408,-105.16715585257828,-108.56141755060386,-109.05129089290104
9,-105.7084903593434,-108.116982957322,-105.5114082701779,-99.90150654426115,-103.8174289544915,-101.5987108788862,-91.8345757116255,-106.28903869256419,-115.42762696703473,-105.38473588723119
10,-109.63463299605863,-96.67377234159267,-105.56541817644253,-97.70977241783393,-94.25144619947295,-91.9358821968192,-95.40511745296931,-114.72123473516392,-94.55331272729161,-102.18871663611931
11,-108.15702263663422,-104.38724112331538,-107.09891389083526,-99.24874194805484,-93.4050605620497,-97.28528061615108,-96.91011487313838,-104.70296761890266,-111.14305931167527,-100.14059745600943
12,-104.71385157715608,-100.24920863432465,-91.54555920410625,-110.60766029008589,-94.82773995662711,-93.71714609557844,-102.38162388769344,-105.44017073129054,-112.53532161978907,-100.8374221581933
13,-93.8728308415836,-98.05913639175836,-105.34257350717408,-100.59255636039003,-102.93846366040745,-94.95682352081323,-107.58029611790948,-99.57572853265096,-100.91687865387732,-106.16042253720359
14,-106.16022864981578,-93.64523660574454,-101.21370060898467,-99.0162305698946,-96.75409588071501,-97.6328319652552,-98.5675192894144,-107.70058435401181,-105.24139513387132,-101.30678226926791
15,-106.37839408805857,-94.56526705341017,-98.93537319609868,-87.873762726921,-93.61856059832805,-102.85876008733746,-98.03066651390071,-85.49418593512769,-103.52700622699064,-97.05300491227973
16,-96.64744146959754,-94.4568415750665,-104.96827866197145,-98.40849419749568,-99.3007768113832,-96.74777475900781,-97.36974613472864,-88.66369752467527,-107.93502903104849,-96.26753518201787
17,-94.37349977786238,-96.18958409567509,-98.53314487899658,-97.35592451193106,-96.12159727071914,-87.39855324157875,-99.14923450739167,-100.75386572081491,-100.35673012522537,-86.13448089911951
18,-89.7555318173125,-90.04373458746764,-92.32233478722927,-95.86967235539457,-94.33157610750871,-99.44464123209848,-100.5814945630236,-101.64339137980267,-93.33975048967085,-100.26074908244796
