iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.822289174660956,-19.9197638916027,-20.01736722763524,-19.964934285270843,-20.174162846413047,-20.034247973162877,-19.995890175921133,-19.752255613555167,-19.586643671950334,-19.933111040948653
1,-19.778565916206105,-19.723669858209878,-19.81365219961139,-19.858040137363204,-20.133444598367028,-20.000504263272433,-19.88155642111117,-19.479859479692813,-19.492383650346103,-19.91307070783689
2,-19.701312106170214,-19.669177784150357,-19.766585333529186,-19.857535315124373,-20.094161599248547,-19.979546416930333,-19.633291104669865,-19.392649829559137,-19.414735496011975,-19.8475337247755
3,-19.6873964310483,-19.58110902498378,-19.55052580232431,-19.840465969166978,-20.015185116517575,-19.825872448243807,-19.259053296191667,-19.19241242909204,-19.208121934749098,-19.8475337247755
4,-19.667209629659332,-19.521623034392015,-19.378465105811223,-19.698446395673628,-20.011583647091815,-19.76350457321712,-19.081845094703716,-19.113661363772152,-18.745495074517876,-19.719245515128236
5,-19.6521433038503,-19.1526196424429,-19.368945043094566,-19.463127116077235,-20.011583647091815,-19.647851942548026,-18.4723414757,-18.67626829980334,-18.08755747056674,-19.586589206478553
6,-19.639064987135523,-18.910094757232606,-18.932377923793375,-19.40896438050038,-20.011583647091815,-19.47989832307086,-17.4093727228326,-18.005686269202517,-17.758091304675247,-19.263353054798877
7,-19.63697756055314,-18.556474187485705,-18.580509122809858,-19.232580284191712,-19.832885123761162,-19.37935740748631,-15.982356129126558,-15.824240735095369,-16.95551308473203,-19.176548954034725
8,-19.510931114597625,-17.677430075163908,-18.25911995040535,-18.562744157626295,-19.796787575608036,-19.036765898421077,-14.896847388031286,-13.582549545421102,-15.948443171071453,-18.849454646691488
9,-19.34431392008689,-17.280125933626252,-17.75420568136243,-17.377300846776365,-19.718304401603856,-18.348443123278685,-13.946916965735111,-12.44022639207998,-15.277118244951808,-18.566004154398655
10,-19.117282337548225,-16.09745468394848,-17.10819373774445,-16.402919087016496,-19.4739491583571,-17.6497568557881,-13.122997060249505,-11.753006785120721,-14.931147435921384,-17.463189930760525
11,-18.812084423341673,-15.052893995887331,-16.15984643903552,-14.83884262099755,-19.050512706560564,-16.80406815316497,-12.53854007429269,-10.931572209841667,-14.56404569997864,-16.950779776118278
12,-18.679471571581928,-14.499530459308488,-15.544036920268656,-13.445802643795705,-18.10780023978326,-16.127417626496637,-11.834288973795575,-10.508023071938933,-14.284760033415493,-15.813736050870785
13,-18.129746504333077,-13.675417111240485,-14.610861131394682,-12.015799205228552,-17.2478559728156,-15.214284818479873,-11.590884649687457,-9.98702204651473,-13.785350685999095,-14.266487009087113
14,-16.92984368704517,-13.468935190699852,-14.072428689084958,-11.476920803091057,-16.17916753959743,-14.456253817553776,-11.04120426227006,-9.790500775939694,-13.013714656316127,-14.048732535258651
15,-16.156500334865747,-13.255498875640395,-12.982894483193103,-11.026416076986226,-14.258948409843653,-14.244503802143859,-10.843056762172335,-9.365363285144689,-12.397501599754655,-13.670877890048025
16,-14.611942135568887,-12.732814561817591,-12.573849574338045,-10.58142312737387,-13.488495516166395,-13.9573450639159,-10.389270254821042,-9.00654731998977,-12.044188069549087,-12.830755398120427
17,-12.867743419525564,-11.914702051626252,-12.105658936848947,-9.506580681002148,-12.70523951953481,-13.748837427501716,-10.27524922980814,-8.586894581575681,-11.613095172626597,-12.186784827170356
18,-12.033167594649754,-11.400244948673016,-11.43864735116727,-8.86330082098404,-12.215758682745316,-13.219690428470189,-10.087108494879637,-8.548364258067839,-10.88412744391829,-11.904875490718652
19,-11.3241686700244,-10.778145905080486,-10.890542151513475,-8.409304886640063,-11.857110908656487,-13.057697509501647,-9.83599993771153,-8.267960374984265,-10.47936008850156,-11.250293541729967
20,-10.995440198030412,-9.96041396193704,-10.130111281834083,-7.958648917938315,-11.441162072088227,-12.707078734636971,-9.798224684236926,-7.9977912459471305,-10.284724581170092,-10.556213238072754
21,-9.875973454209143,-9.442707115288078,-9.510603890903525,-7.4453588131125095,-11.103977853392404,-11.876378310892154,-9.38491843085005,-7.827675107135013,-9.597541424602564,-10.15983795390214
22,-9.669190237474282,-8.944520603298628,-8.748545661735914,-7.273946730568083,-10.588825072534373,-11.13983321811667,-8.879603798279895,-7.809476910883188,-9.18858642720651,-9.916657320540839
23,-8.92102478986584,-8.508937410463355,-8.077361148551216,-6.827027699654005,-10.31256903662771,-10.538688879727118,-8.516969991593967,-7.762258181243707,-8.467804469470344,-9.539385153099538
24,-8.349539223608721,-8.079570278151554,-7.782998189364667,-6.575257118439303,-9.946572581198804,-9.929488549040883,-8.00887101515255,-7.461714196903194,-8.079736720637033,-9.33064717854872
25,-8.038438824779865,-7.6749396352117865,-7.397584451771985,-6.4982754530697555,-9.459382231797566,-9.163794001979912,-7.545903218232969,-7.37508187452954,-7.694075709985425,-9.155952500019051
26,-7.7033643630231925,-7.526891591040776,-7.264106951322664,-6.440757990853824,-9.001349887137717,-8.87912019123324,-7.191059559501312,-7.2524883242463725,-7.407473523922489,-8.941224465038388
27,-7.305627814325852,-7.30439329888234,-7.048312545966104,-6.440757990853824,-8.53912063529993,-8.382633464024634,-6.647485106979357,-7.127120874689627,-7.046365024656651,-8.710427802901357
28,-7.2145232437247175,-7.292194244696807,-6.794428922405164,-6.3189031389945045,-8.222160232638396,-8.16101534994744,-6.601367852705025,-7.062471612807135,-6.972171031923272,-8.69562497984217
29,-7.1916181153227186,-7.18428111143133,-6.537280820972758,-6.300997611097207,-7.931046591340615,-7.949855537015063,-6.601367852705025,-6.955069013885164,-6.795421825564283,-8.10228404766705
30,-7.165781766234362,-6.993594389435183,-6.38201970910457,-6.272996227342334,-7.583855034024943,-7.635476460038838,-6.585466352536214,-6.955069013885164,-6.7072064454521065,-8.068250607575392
31,-7.140069815781865,-6.900198461996879,-6.38201970910457,-6.270957966761685,-7.530213557750584,-7.221261741009242,-6.341696121786477,-6.955069013885164,-6.443689739376427,-7.847683649119395
32,-6.969242050009346,-6.798055571452487,-6.376261893266941,-6.2649555274487465,-7.527760588828344,-7.06955851233309,-6.311082212683606,-6.8077469193833835,-6.3513929048078275,-7.713866072918367
33,-6.894079672425068,-6.711129025735161,-6.376261893266941,-6.1080255548484645,-7.217863407428555,-6.559156484238178,-6.311082212683606,-6.804329324226636,-6.214104097880646,-7.591405690301736
34,-6.796051123751003,-6.711129025735161,-6.343495991192203,-6.082270131861657,-7.217863407428555,-6.554524399833439,-6.276062381514365,-6.779005419508622,-6.199522292292388,-7.384464593069627
35,-6.655296569151398,-6.696495861005189,-6.299566642751753,-6.079923554726177,-7.171566260921169,-6.520283494213763,-6.276062381514365,-6.757567295198477,-6.199522292292388,-7.229810486148809
36,-6.655296569151398,-6.598361752081763,-6.299566642751753,-6.079923554726177,-7.067461469133912,-6.412254044236892,-6.276062381514365,-6.630348357292595,-6.0964779498231145,-7.193247017727219
37,-6.655296569151398,-6.472063273711456,-6.18273251638035,-6.079923554726177,-6.82891852899413,-6.362349969117794,-6.276062381514365,-6.630348357292595,-6.0964779498231145,-7.130973120048941
38,-6.655296569151398,-6.472063273711456,-6.137416040397074,-6.0759465165641435,-6.734424319003986,-6.362349969117794,-6.173732611038297,-6.574459946068891,-6.0964779498231145,-7.084613160439265
39,-6.343045799694126,-6.278937829029459,-6.137416040397074,-6.074562149021995,-6.717256449198846,-6.334754206353837,-6.158066179817312,-6.395730186881661,-6.0964779498231145,-7.016067932726363
40,-6.2668998689037405,-6.2303421911701005,-6.047547663707925,-6.0372052334803366,-6.709177835281875,-6.251418020798148,-6.111724212742958,-6.316747832903685,-6.073894506941993,-6.940013789399055
41,-6.188841080707492,-6.224457053896771,-6.047547663707925,-5.940759861020393,-6.709177835281875,-6.1904615140120995,-6.0217318480868745,-6.112961614281236,-6.041321186609002,-6.829386228528266
42,-6.16229538044799,-6.221679175148785,-5.995400633024889,-5.895827204411143,-6.709177835281875,-6.175348830587562,-5.9893695490626735,-5.972746600294967,-6.041321186609002,-6.770853379728974
43,-6.13391799830368,-6.165956931809151,-5.960317905794453,-5.895827204411143,-6.709177835281875,-6.175348830587562,-5.978312623118054,-5.894173113150729,-6.041321186609002,-6.718402090576063
44,-6.01829774397168,-6.165956931809151,-5.931604512648267,-5.895827204411143,-6.669072655211832,-6.075167622923208,-5.978312623118054,-5.894173113150729,-6.027274211250127,-6.703255200210475
45,-6.01829774397168,-6.056171735726091,-5.92599053684261,-5.877124010958254,-6.558984561682433,-6.035332939352683,-5.894545514125614,-5.894173113150729,-6.027274211250127,-6.703255200210475
46,-5.9993365817131,-6.030842355579858,-5.89222316625637,-5.865825452061842,-6.411557524106518,-6.035332939352683,-5.894545514125614,-5.894173113150729,-5.967176435582522,-6.590245422450417
47,-5.968137061372937,-6.030842355579858,-5.89222316625637,-5.865825452061842,-6.33563876870066,-6.035332939352683,-5.894545514125614,-5.8868995636929125,-5.967176435582522,-6.526233924732013
48,-5.950004251826032,-6.030842355579858,-5.89222316625637,-5.845925486530524,-6.33563876870066,-5.937733808743654,-5.711504214599474,-5.8868995636929125,-5.940070575174502,-6.483581582162141
49,-5.950004251826032,-6.004452619546686,-5.89222316625637,-5.845925486530524,-6.33563876870066,-5.937733808743654,-5.711504214599474,-5.798902808247577,-5.940070575174502,-6.465395243575816
50,-5.872541338923202,-5.869204309200493,-5.862790222931575,-5.845925486530524,-6.302694933961998,-5.937733808743654,-5.694980825543371,-5.798902808247577,-5.940070575174502,-6.413524994614455
