iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.200346443850638,-21.174351170749098,-21.11459343652723,-21.187709246903466,-21.09677172265512,-21.216505744986517,-21.22345221977488,-21.153869306334556,-21.017003504431635,-21.078818163066803
1,-20.456273856411794,-20.42725660669386,-20.353998445895545,-20.509138732765006,-20.885394742631377,-20.63895456825638,-20.594942084282515,-20.496692601337436,-20.32818602181647,-20.889017874564345
2,-20.412386084222,-20.556118501271207,-20.755286522840013,-20.806428628296253,-20.727198899855548,-20.810271937704698,-20.17648265598973,-20.292540718112544,-20.304472135159646,-20.714142474433068
3,-20.450805668614528,-20.579379350082114,-20.249163469375617,-20.57990160341663,-20.740822172006126,-20.711631524427112,-19.875226131678275,-19.92236662666109,-19.881567786459378,-20.80376908094606
4,-20.58657724755373,-20.314724594715496,-19.95237138164313,-20.472807689309285,-20.883075762413046,-20.504220504997704,-19.6756161360242,-19.695305547627967,-19.52232345043074,-20.398075925168705
5,-20.55727956639076,-19.691508182375287,-20.169404883352627,-20.00968691945267,-20.795057549066183,-20.25713972592527,-19.02207859178141,-19.03062819662788,-18.843824633005745,-20.18919672664361
6,-20.43264626307786,-19.779714480082223,-19.706313359416754,-20.22825645509372,-20.739952820455418,-20.12828827788999,-18.090493915794767,-18.58284022568853,-18.22155582941781,-19.89740666715724
7,-20.640173978315026,-19.33051219510832,-19.162585509220296,-20.00944034420094,-20.360718420409587,-20.314657826201525,-16.595657964521283,-16.208048482474098,-17.558359753973498,-20.18401364265067
8,-20.245103164936793,-18.521702803073392,-18.716542379321695,-19.14365119746487,-20.671344357725353,-19.622821660103376,-15.233148198614984,-13.926537663505862,-16.260993804352555,-19.589225874712504
9,-20.023532214369922,-17.800686350961623,-18.265204611123174,-17.64053050160811,-20.285886255930073,-18.85936402065591,-14.094580543422682,-13.138402049945572,-15.774436932312684,-19.546537710405055
10,-19.755602458677455,-16.38734246455266,-17.509854532695382,-16.788057370125735,-20.17817868861362,-18.25619236080186,-13.735587856471987,-12.394009157403524,-15.39733933682784,-17.86194269632044
11,-19.49047883300219,-15.383635607386777,-16.75685178017431,-15.236298800978723,-19.53960035964053,-17.053235844283122,-12.950944129412242,-11.361867002560746,-14.953515892076792,-17.46463074076292
12,-19.100503252536186,-15.234373358283396,-15.913879637549577,-13.706790282126482,-18.90906040428935,-16.497723983794813,-12.222291872500232,-10.96645268798396,-14.774531704752091,-16.402681290619242
13,-18.807128433904364,-14.149513105112566,-14.887424032497115,-12.333186552614237,-17.770077792875,-15.472927248847231,-11.91919188609913,-10.497589590611602,-14.219147798429578,-14.426668923797585
14,-17.384521410174507,-14.161293764257902,-14.40111408392536,-12.052708723549584,-16.78537006814385,-14.831369736520163,-11.466886511364951,-10.320541151517034,-13.317516143732227,-14.792403514854104
15,-16.36827070306125,-13.737106429981242,-13.15403591179231,-11.414657551251516,-14.8427536581198,-14.778223592874784,-11.657601157542164,-9.73943253034821,-13.020331319188994,-14.292985142479992
16,-14.978759386570367,-13.015002778668856,-13.490903291645692,-11.188203022327778,-14.051625777306015,-14.546295216946657,-10.896674113932647,-9.994999846057397,-12.695500435602298,-13.310595753091558
17,-13.324509068186448,-12.393789345960057,-12.605587296442762,-9.690500638571086,-12.977753744281358,-14.323115644112704,-11.098783367231745,-9.34903739792939,-12.064972335252923,-12.735847208316878
18,-12.81309259313055,-11.869913402579638,-11.683311374489646,-9.296505897616015,-12.595226616172058,-13.7341351223417,-10.726317914056544,-9.792806399508859,-11.212468516754027,-12.553208911527562
19,-11.66235965563119,-11.123657901134283,-11.29635564948497,-8.756186695525287,-12.560572627518235,-13.702739904029887,-10.730547611882661,-9.229675747443585,-10.716429755833538,-11.831915476162603
20,-11.33769039262198,-10.358224182865454,-10.508534294961791,-8.595457883704231,-11.851152028355038,-13.245061174459245,-10.735459838226165,-8.824416282202696,-10.635213133596636,-10.968022318067792
21,-10.164330558447412,-10.040799760124562,-9.984066675264412,-8.222152553933766,-11.86178402226895,-12.417904522139091,-10.163751469083083,-8.91889823468994,-10.129831198108828,-10.89046337194861
22,-10.378072524839249,-9.52152638789067,-8.87784615245403,-8.320222520697305,-11.219185346440241,-11.466495408690935,-9.30092383050251,-8.896723522282484,-9.501977292923598,-10.592798024952966
23,-9.136613620690536,-9.48564016752494,-8.657600286502511,-8.137320156434473,-11.143940872833259,-11.039315528503828,-9.468995911333941,-9.147011810528499,-9.052448286673597,-10.379486803733505
24,-8.869577575653713,-8.837832355190926,-8.491506697264303,-8.18629649471652,-10.083698229282371,-10.18166046920104,-8.993589911530703,-8.698649260673248,-8.848114261108945,-10.327117875110606
25,-8.750892425174086,-8.719693002574672,-8.236823231611801,-7.982168611070938,-9.915652342663225,-9.336431412730255,-8.42735462902521,-8.790644660342839,-8.926071090144404,-9.930887030470895
26,-8.714030489491863,-8.252373121169818,-8.51185396267978,-7.981015226052905,-9.542877261274516,-9.331149852425487,-8.435640464440965,-8.750306427360375,-8.502962185852958,-9.761837232386563
27,-8.390454774552516,-8.52208717116132,-7.86566960420305,-8.009187799950315,-8.978015243358065,-8.991650751764421,-7.601309052682465,-8.451960979688387,-8.312657256455857,-9.521272807169666
28,-8.908911462658544,-8.561886522921231,-7.762475776425919,-8.08019732723336,-8.966814230151353,-8.790231426192186,-8.02518012799521,-8.477499671638846,-7.9832786051872695,-9.953741508476487
29,-8.60811700066187,-8.64389309174954,-7.880762235310361,-8.006653248167275,-8.815762545674115,-8.651012544312225,-7.866329152147722,-8.580104907445197,-7.958310806985746,-8.457648831850577
30,-8.66007630040055,-8.211430444480122,-7.657795404208464,-8.235848340116123,-8.375866144915554,-8.418064549725631,-8.05064097824891,-8.433216251579921,-8.449867059961694,-9.359722455644688
31,-8.466019259050148,-8.516760440753973,-8.381637984892125,-8.630988480918386,-8.242865273760902,-8.142644347201987,-7.566289702561935,-8.787479613457853,-8.088301400728449,-8.673258828207057
32,-8.487035809252092,-8.189753397724479,-8.213120541434634,-8.471037682443832,-8.846312154612036,-8.547753074233302,-8.400620563188898,-8.20827258889284,-7.989415343976523,-8.749040008317923
33,-8.331321356607393,-8.203958041281194,-8.484011825711878,-7.878906726290483,-8.429712199402562,-7.805429894296161,-8.587772881184886,-8.437194681850439,-8.330815428304692,-8.513622689034946
34,-7.989978206215957,-8.765279472311109,-7.949922985466601,-8.267036753906266,-8.86896330767455,-8.370939832919404,-7.917720435464831,-8.74951332095628,-7.858139270552558,-8.30130349573685
35,-8.118964142292512,-8.11770480224214,-8.178669101432213,-7.780931883022053,-8.431170707975358,-8.506235315817744,-8.129539504133527,-8.506476236408636,-8.564486448952009,-8.259763293809645
36,-8.201863160299727,-8.20770283794553,-8.517256116948591,-8.421368905230548,-8.399331489855104,-8.053738774714212,-8.731633552781824,-8.10526356944516,-7.684400426766398,-8.710109597088195
37,-8.635825171944395,-8.013506048368589,-7.759059308464462,-8.267686441794766,-8.282852421819728,-8.133294710228919,-7.921711385396391,-8.510473945857525,-8.056312373513924,-8.613661319662771
38,-8.487536890365591,-8.458368620720968,-7.841416318761375,-8.414066349503578,-8.431233099965858,-8.532936730753026,-8.135408768963517,-8.4115495156212,-8.194820707114019,-8.721204032726051
