iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.822289174660956,-19.9197638916027,-20.01736722763524,-19.964934285270843,-20.174162846413047,-20.034247973162877,-19.995890175921133,-19.752255613555167,-19.586643671950334,-19.933111040948653
1,-19.822289174660956,-19.900317078559798,-20.01736722763524,-19.789687902036135,-20.160936649622126,-20.034247973162877,-19.995890175921133,-19.752255613555167,-19.586643671950334,-19.933111040948653
2,-19.822289174660956,-19.88923950383232,-20.01736722763524,-19.789687902036135,-20.156299676928967,-20.034247973162877,-19.995890175921133,-19.752255613555167,-19.586643671950334,-19.933111040948653
3,-19.822289174660956,-19.88923950383232,-20.01526802344739,-19.789687902036135,-20.156299676928967,-20.034247973162877,-19.979201653748994,-19.752255613555167,-19.586643671950334,-19.933111040948653
4,-19.81436757135899,-19.866229634162508,-20.01526802344739,-19.789687902036135,-20.154810639102706,-20.02082065365686,-19.979201653748994,-19.752255613555167,-19.47326842007986,-19.904665834161467
5,-19.81436757135899,-19.866229634162508,-20.01526802344739,-19.789687902036135,-20.154810639102706,-19.94249461545408,-19.976127851140962,-19.738581177804107,-19.47326842007986,-19.900784671084054
6,-19.81436757135899,-19.866229634162508,-19.994248140857337,-19.78040256819227,-20.154810639102706,-19.94249461545408,-19.976127851140962,-19.736945954232002,-19.47326842007986,-19.900784671084054
7,-19.789433460000346,-19.825615493013807,-19.994248140857337,-19.753047579201926,-20.154810639102706,-19.94249461545408,-19.976127851140962,-19.736945954232002,-19.47326842007986,-19.900784671084054
8,-19.789433460000346,-19.825615493013807,-19.994248140857337,-19.753047579201926,-20.060943516000137,-19.94048618748313,-19.904630983751154,-19.736945954232002,-19.47326842007986,-19.900784671084054
9,-19.789433460000346,-19.82270873076502,-19.994248140857337,-19.753047579201926,-20.038442585944537,-19.881943673442272,-19.904630983751154,-19.732506024013546,-19.47326842007986,-19.90064530841282
10,-19.789433460000346,-19.82270873076502,-19.994248140857337,-19.753047579201926,-20.038442585944537,-19.881943673442272,-19.904630983751154,-19.69349519375452,-19.47326842007986,-19.89665416944684
11,-19.789433460000346,-19.82270873076502,-19.994248140857337,-19.753047579201926,-20.02519328371148,-19.881943673442272,-19.8504278162009,-19.612959155186463,-19.47326842007986,-19.869715516128448
12,-19.789433460000346,-19.82270873076502,-19.994248140857337,-19.753047579201926,-20.015176791675074,-19.881943673442272,-19.84073884730696,-19.612959155186463,-19.47326842007986,-19.856513544271664
13,-19.789433460000346,-19.82270873076502,-19.994248140857337,-19.753047579201926,-19.95728261022688,-19.881943673442272,-19.812475456093935,-19.612959155186463,-19.46464408898928,-19.853095927345763
14,-19.789433460000346,-19.82270873076502,-19.994248140857337,-19.731498419738877,-19.95728261022688,-19.881943673442272,-19.799097635106065,-19.612959155186463,-19.46464408898928,-19.853095927345763
15,-19.777775871185924,-19.81823016525511,-19.98992100599049,-19.731498419738877,-19.951989522220774,-19.881943673442272,-19.799097635106065,-19.612959155186463,-19.46464408898928,-19.79318868887482
16,-19.777775871185924,-19.81823016525511,-19.980151168590353,-19.71911412754978,-19.92339713294513,-19.881943673442272,-19.799097635106065,-19.611574627571386,-19.46464408898928,-19.791750147793756
17,-19.763219789563827,-19.81823016525511,-19.980151168590353,-19.703961182842445,-19.92339713294513,-19.881943673442272,-19.799097635106065,-19.611574627571386,-19.46464408898928,-19.791750147793756
18,-19.724790921609454,-19.81823016525511,-19.898512854361613,-19.703961182842445,-19.908757680604943,-19.881943673442272,-19.799097635106065,-19.611574627571386,-19.46464408898928,-19.791750147793756
19,-19.724790921609454,-19.784394492092357,-19.898512854361613,-19.703961182842445,-19.869225061781655,-19.881943673442272,-19.799097635106065,-19.611574627571386,-19.46464408898928,-19.791750147793756
20,-19.724790921609454,-19.77239428045477,-19.89607686595896,-19.703961182842445,-19.835248693529646,-19.881943673442272,-19.799097635106065,-19.611574627571386,-19.46439468039447,-19.7594322359468
