iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.200346443850638,-21.174351170749098,-21.11459343652723,-21.187709246903466,-21.09677172265512,-21.216505744986517,-21.22345221977488,-21.153869306334556,-21.017003504431635,-21.078818163066803
1,-21.180528741860115,-21.166451185530548,-20.994803231331467,-20.98736749010563,-21.1746333716237,-21.00134628512278,-21.144741024695875,-21.186008812089007,-21.157135979704194,-21.286233514257127
2,-21.18531950081264,-20.99347261839878,-21.07861364616204,-21.021226003157476,-21.208238200814062,-21.22480485943379,-21.18579190629354,-21.18124931904576,-21.205237007106756,-21.298992812275777
3,-21.07841358216539,-21.30847556092936,-21.249497000233514,-21.421008237059244,-20.928714201996833,-21.240131013502243,-21.184687523072974,-21.10707377077242,-21.186584858424467,-21.108691195714982
4,-20.964023135503634,-21.114124371969684,-21.152409986708637,-21.161662445975974,-21.237770527379837,-21.155471096308347,-21.10237324869573,-21.15294407677422,-20.67678608517143,-20.99121939410777
5,-21.268360786938068,-21.00848736377242,-21.31067015675221,-21.21996887227755,-21.168299719639048,-21.10216351768844,-21.168753473080777,-21.02871518905621,-21.09065340292824,-21.13198729012725
6,-21.16539813882862,-21.160890957889777,-21.251430838038964,-21.1620387905178,-21.109302835345133,-21.298917196622263,-21.356701778056692,-21.308194953972716,-20.986008833675715,-21.08789982227744
7,-21.113538855349567,-21.115016841564078,-21.078688980739454,-21.013876933712407,-21.35186509709944,-21.142743017376375,-21.248254962015256,-21.186851490895716,-21.124492081085364,-21.25750633766387
8,-21.130459937390174,-21.141029025182625,-21.07717621639256,-21.188006322680092,-20.9479486204618,-21.10806353767388,-20.98798783747398,-21.161100801029995,-21.244196784754358,-21.087512520864834
9,-21.20174469512989,-21.131902837262288,-21.10452370992018,-21.0958157471414,-21.03432981585944,-21.143998289161033,-21.25851027605735,-21.06166532227854,-21.249355225047374,-21.108199580873173
10,-21.08848750129329,-21.265454295830992,-21.193836620788826,-21.18417373822107,-21.146890276442864,-21.17741820733299,-21.19170226251128,-21.232904216926162,-21.298469415729073,-21.07179153452393
11,-21.315169741100277,-21.214576658415467,-21.113778151402403,-21.122806156361744,-21.062825061804713,-21.09406873186147,-21.12155042765148,-21.103188323720133,-21.263454103782777,-21.20697528837701
12,-21.184412288197752,-21.31592352100177,-21.21238850939758,-21.25445289218305,-20.96670054086916,-21.082605804913307,-21.256808379669103,-21.16920098622626,-21.212747121168146,-21.299381545416097
13,-21.25805203015147,-21.182188645436877,-21.22743394613252,-21.2855633207686,-21.12790244270943,-21.19602027639148,-21.115089680016442,-21.171104539527576,-21.051595115943414,-21.26166693799099
14,-21.31511153364622,-21.142487967410986,-21.119093931684997,-21.125075459886453,-21.236702271164884,-21.099470893199253,-21.115108176524235,-21.250046977234348,-21.1466495444457,-21.30093254319482
15,-21.041311513730594,-21.174422470609326,-21.11501227564324,-21.128661625472557,-21.146212113974272,-21.074778039284915,-21.00655898632683,-21.342018983147526,-21.24574948916221,-21.14022693099157
16,-21.23099166785846,-21.254829699018774,-21.20441835250743,-21.085034849452562,-21.234807159935222,-21.122279232740233,-21.15485707152309,-20.980347546884257,-21.178656838307084,-21.06766696151792
17,-20.954316298899805,-21.194576440380843,-21.021344043145323,-21.01378604762592,-21.150058810477027,-21.277073109235815,-21.254961314023838,-21.266164226132574,-21.21896078036971,-21.077798458576808
18,-21.21648362825119,-21.04361310532416,-21.119178778497403,-21.12355955457437,-21.037000263821582,-21.11988740233143,-21.218605849826105,-21.054326581279813,-21.16435205277493,-21.301449940412333
19,-21.337606073242384,-21.182680521689736,-21.296885609349296,-21.096490855459535,-21.02425706470934,-21.26475571733715,-21.14305049441069,-21.25585013419044,-21.15744431274531,-21.09454952479442
20,-21.230124551780115,-21.077624741227126,-21.06247992942918,-21.324114743936406,-20.969510501417794,-21.267280595849375,-21.15431508405118,-21.341126720660785,-21.033028797137863,-21.086733409353844
21,-21.17015103095516,-21.168078837646306,-20.993603262548486,-21.26311649025402,-21.099433499163176,-21.21596743597685,-21.144666542460453,-21.036045769773395,-21.242004778185056,-21.171076970627897
22,-21.255242547224228,-21.15353508108845,-21.152963745692993,-21.182720181752803,-21.101644403498867,-21.156830395330353,-21.096280984122316,-21.04687872713246,-21.187954951175396,-21.145761229208546
23,-21.233065990140343,-21.224217834074516,-21.201718893266495,-21.08462737121422,-21.073276335537074,-21.115444207776708,-21.275766509117197,-21.243259033547872,-21.04259894107017,-21.10702337108256
24,-21.158317474653625,-21.119245591006923,-21.031342414936628,-21.22768397823706,-21.11004432489017,-21.335113496644485,-21.263103332372204,-21.075031232314608,-21.04258604483745,-21.23296547521898
25,-21.262336690423062,-21.06366849549005,-21.214948331262946,-21.093380739333462,-21.15929856068809,-21.284054503298147,-21.06506824999019,-21.180300787317577,-21.1648822339766,-21.19110890656256
26,-21.240613613704316,-21.170497720183207,-21.08390692080117,-20.866214703789158,-21.11917351003416,-21.150685270884807,-21.181643923758624,-21.269982736890327,-21.26427946157584,-20.921185277825675
27,-21.276659381959796,-21.0850307583441,-21.202397515782472,-21.142779898961344,-21.265982488075807,-21.249656174714186,-21.17787668798651,-21.29625163447227,-21.123949113283107,-20.975862068556125
28,-21.240721640104645,-21.11828086310784,-21.191444405464082,-21.358145038497977,-21.105812403676868,-21.164505324960583,-21.177681711945606,-21.1616148361002,-21.135432484506076,-21.100479963747734
29,-21.146753202889204,-21.154152534423076,-21.052247752958152,-21.215939739783995,-21.087361300123547,-21.17633794779318,-21.144884779289136,-21.128217403183818,-21.235357227387155,-21.029833981514585
30,-21.32878991828487,-21.03566856270784,-21.179726060921183,-21.198892540644522,-21.17268096870837,-21.22199662568623,-21.13919621504455,-21.278414179783617,-21.1058548533914,-21.014155325177462
31,-21.183871610829993,-21.187261962985758,-21.23790369972751,-21.099221038360113,-21.16130926603835,-21.28750899369019,-21.16844935688868,-21.057783282079555,-21.01297632506454,-20.905823083890297
32,-21.152281768049473,-21.094185375925736,-21.229536947083382,-21.08078257119886,-20.929800333792386,-21.178681333883834,-21.22585556214362,-21.415674209072964,-21.129989595653466,-21.23648899768355
33,-21.275949353202716,-21.103144445676822,-21.267214091470347,-21.12134556649503,-21.06958232436009,-21.083113776710874,-21.09551360875421,-21.08876430784488,-21.056567974584667,-21.060002780096276
34,-21.171313698043633,-21.222626647792357,-21.009658287432494,-20.98343659071144,-20.977098940723238,-21.0329088399143,-21.03445299229417,-21.20415412387287,-21.132250104046108,-21.14552930779597
35,-21.163243628634284,-21.005596304945076,-21.14855979553322,-21.065283301373924,-20.95976109124085,-21.000096732154194,-21.054228074067133,-21.015482474498178,-21.05184028335706,-21.139842999654203
36,-21.061525764895862,-20.970747141800228,-20.966417132771085,-21.137437261776967,-21.070508483083188,-21.016396694581836,-21.191551335754447,-21.149999173542888,-21.23580660545803,-21.1762534864947
37,-20.99770894126037,-21.223198545049957,-21.147374206031408,-21.24229157914813,-21.16521626007058,-21.23071815121063,-21.127950518365424,-21.317345599458626,-21.083980299978627,-21.16708562366608
38,-21.13598872312031,-21.19767624912983,-21.12796995756129,-21.269899388345145,-21.181471062763926,-21.128320103728626,-21.209630535468964,-21.177999273575168,-21.033139167377104,-21.331042677896797
39,-21.220801109893507,-21.044391458329084,-21.239566569803248,-21.19764371774815,-21.279462958646555,-21.326854508667733,-21.1413965574092,-21.189783500141612,-21.17783771268345,-21.049754266006083
40,-21.196325226804554,-21.219715862096074,-21.088547518495787,-21.037409115946566,-21.168012242102023,-20.907928054560728,-21.055704747204093,-21.234995681460582,-20.934682292070534,-21.146918480473577
41,-21.111661764552103,-21.2449492992346,-21.19871074526162,-20.988938153216,-21.165888345533684,-21.154298675781604,-21.17246195748735,-20.952746677553606,-21.278756210248126,-21.34967362019686
42,-21.154421938417464,-21.145781893541244,-21.12709738392932,-21.220801041187897,-21.138310763787945,-21.13322648586184,-21.207763082883176,-21.435189342036047,-21.24436904182221,-21.342176318471353
43,-21.206352092217458,-21.008838804828095,-21.108633815740106,-21.206448043622814,-21.31830607837626,-21.20913618722342,-21.183154094983344,-21.132863925733805,-21.145588283149664,-21.1688795637433
44,-21.17726967336122,-21.073701186565707,-21.15567778958453,-21.056886192083542,-21.132605912392158,-21.2042008014066,-20.989825759266893,-21.06059507802386,-20.999695118129026,-21.178808941267178
45,-21.05690504789864,-21.091264820951302,-21.215886900567888,-21.245831316794828,-21.18482195178545,-21.269270958613667,-21.098325630882385,-21.09272572055697,-21.16586551144389,-21.31679664024322
46,-21.122103297995213,-21.152957649918147,-21.03920882593901,-21.085792257434466,-21.188589271907556,-21.05290206446186,-21.14002509409073,-21.251880451568564,-21.092942165403073,-21.34112526861894
47,-21.154170196977347,-20.999351153771975,-21.292734745835872,-21.12928074238287,-21.197130395106274,-21.20174750507904,-21.347759161609105,-21.145081314423372,-21.33521775766253,-21.216559360503066
48,-21.179519604569798,-21.073494685172665,-21.12641052236255,-21.10634278678156,-21.157159803637267,-21.283911771481577,-21.171906835041753,-20.949334924408234,-20.96510484403581,-21.061040519913796
49,-21.045413290854484,-21.27220376336995,-21.0502105837885,-21.161418734054624,-21.053667695263684,-21.172771903352878,-21.05392214813646,-21.289648877164602,-20.972632736242513,-21.102099165741876
50,-21.154100753599035,-21.10938240043353,-21.112063161741034,-21.169811306614314,-21.075179973191325,-21.196835834148672,-21.002153197795536,-21.128027399546774,-21.126235370431218,-21.206728251147428
