iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.822289174660956,-19.9197638916027,-20.01736722763524,-19.964934285270843,-20.174162846413047,-20.034247973162877,-19.995890175921133,-19.752255613555167,-19.586643671950334,-19.933111040948653
1,-19.469933053643928,-19.704810063437876,-19.447905495033297,-19.475711100438716,-19.983301570987578,-19.672340931579942,-19.61746039765859,-19.515860890729094,-19.39125956147211,-19.351795599569925
2,-19.396372802407015,-19.656141435819656,-19.375934348359905,-19.401226594984614,-19.868896212913764,-19.630360858906798,-19.58806529281288,-19.450276917508234,-19.338068212923364,-19.321203395104
3,-19.32843298292072,-19.49695697021041,-19.28740160207522,-19.08361114245703,-19.774932549139066,-19.59629896154187,-19.520264915003,-19.346079102044882,-18.883853089186623,-19.2941057972836
4,-19.292291753670494,-19.291384935484654,-19.236911314280256,-18.859760723832352,-19.713938855234662,-19.550303261211955,-19.417274741558764,-19.070962038333303,-18.502656879967354,-19.260995297456056
5,-19.26746285655515,-19.097906745279936,-18.868386347648034,-18.60302576537034,-19.58894524969845,-19.337202024458904,-19.322278413438774,-18.5193300748601,-17.20728810226536,-19.097120900614875
6,-18.908916671405635,-19.07917268580021,-18.569484000953633,-17.6350008126378,-19.510097966219234,-19.136186579974765,-19.16154620286174,-18.054820159144768,-16.44042021182932,-18.782420560907426
7,-18.851778922781087,-18.988986839591036,-18.096858431062245,-16.852528494128286,-19.37199348140229,-18.937834270064897,-19.036652103330933,-17.762627099367137,-15.20405935751683,-18.732860236650982
8,-18.83617387088449,-18.62658376558355,-17.564580992251678,-16.05025893558231,-19.295324166019668,-18.385484969559947,-18.83023529036689,-17.057158955455634,-14.395611705657968,-18.702605800774485
9,-18.321930400955683,-18.379874681588355,-16.275762584181486,-14.920402119686184,-19.18451091784803,-17.369917601987108,-18.73949221760126,-16.225456798770686,-13.466714046448606,-18.092833442312088
10,-17.87353248315052,-18.032081985990615,-15.411620071780458,-13.621317695998707,-19.004104343437255,-16.439761227138582,-18.58580462304424,-15.220674955030706,-12.79648654145879,-17.681028748070517
11,-17.371701990043896,-17.40276336258217,-14.276724344646102,-12.745185812903273,-18.805885330757036,-15.54742184851845,-18.136641567219602,-14.5222897129462,-11.79971969522687,-17.18152657330404
12,-16.282337814863954,-16.630602069681323,-13.616063837191282,-11.114154088351004,-18.185103377240747,-14.300581115734971,-17.853215972073457,-13.669012919811777,-11.546259883824629,-16.00622437447245
13,-15.558239315228695,-16.014981034316776,-13.231176327284626,-10.490765794500824,-17.75007446902535,-13.24718830564838,-17.635669131240665,-12.896500022574614,-11.10870200512802,-15.684799784973183
14,-14.784594276000142,-15.211334703994428,-12.823473327217782,-10.018406984089356,-17.23073257838025,-11.651520104322,-16.993081134772133,-12.397340153340824,-10.824859819418254,-14.027142540249589
15,-14.09360295816916,-14.709245671145524,-12.433264548563697,-9.493068378170904,-16.09917733209528,-10.991650940803162,-16.24950931039174,-11.88553760997764,-10.28586370807287,-13.185835528876588
16,-13.457472069445359,-14.082266751764772,-11.975173220499759,-9.429842279674869,-14.720305826060038,-10.772362373032031,-15.701533842650415,-11.488593064917648,-9.971996321090826,-12.664070167246646
17,-12.891778221380127,-13.505859412699486,-11.50557269898025,-9.091433364410557,-13.988193454584312,-10.36688782227277,-14.915885352298396,-11.16660948039734,-9.84458262662045,-12.237911190540895
18,-12.586763954402691,-12.981413654135434,-11.197360372033739,-8.806124327903543,-12.486740868819847,-10.039224527010504,-14.618513963924356,-10.851810663024501,-9.517765585989594,-12.050092470428204
19,-12.375565139580674,-12.50496123112308,-11.013568101926722,-8.634100179334386,-11.482163933818406,-9.710652030426214,-14.29337660786487,-10.563013022941373,-9.235417648263791,-11.887813297141115
20,-11.920443713099907,-12.326683930382968,-10.732678514368773,-8.51175879926121,-10.666567942574716,-9.5723410062151,-13.759654118515057,-10.351411843126865,-9.123998490970486,-11.698943134214968
21,-11.6346039242684,-12.097768847748634,-10.494183074185514,-8.236487696322465,-10.129146268699959,-9.203371159327887,-13.455904457490831,-10.329440927908923,-8.951002828348617,-11.305072510745571
22,-11.29813988515858,-11.80145871856108,-9.998797561777392,-8.194422315930618,-9.765735607772202,-9.090992184557809,-12.70954308746969,-9.993568446055823,-8.56546547632011,-10.727032490806454
23,-10.991085495714147,-11.523125699813232,-9.274785800315094,-8.140581481202654,-9.210380083752533,-8.925131157503076,-12.269776820981136,-9.875149478763145,-8.453040237558401,-10.46104978665192
24,-10.530983228807145,-11.037416434575881,-8.920747133723202,-7.970587112881704,-9.105948739538393,-8.919255122130433,-11.456448776532625,-9.65731092447318,-8.288443532065969,-10.159922522204024
25,-10.146210669819077,-10.639334148177202,-8.729864605965385,-7.962833908956142,-8.857039202040363,-8.427694436009073,-11.195962122544588,-9.345077806539352,-8.196613399735062,-9.927719503457647
26,-9.911587575558165,-9.919357989739503,-8.627812276069308,-7.799893091758927,-8.767119323777843,-8.370623602902466,-10.809985616328706,-9.02486520390252,-8.141727291288207,-9.776128190935225
