iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.200346443850638,-21.174351170749098,-21.11459343652723,-21.187709246903466,-21.09677172265512,-21.216505744986517,-21.22345221977488,-21.153869306334556,-21.017003504431635,-21.078818163066803
1,-19.62499781316227,-19.874672521238132,-19.50898406157542,-19.545825148171993,-20.177448099301394,-19.726928030950823,-19.73843644934803,-19.677666508889214,-19.611657592900304,-19.49986062377878
2,-19.637493721138263,-19.984382449469265,-19.564285811603185,-19.56072613090829,-20.031496033186247,-19.80935505844868,-19.774438905359595,-19.60674382718922,-19.50869192735047,-19.532402301855388
3,-19.618715902168503,-19.683341337957863,-19.516362323341344,-19.24001757223281,-19.932832715756774,-19.890134036767652,-19.7601643573419,-19.528883676608032,-19.085083730096102,-19.574002605660368
4,-19.726297990810977,-19.506631940970674,-19.565303094574087,-19.009493389965883,-19.992459322956474,-19.80903258822343,-19.642648530769968,-19.271479162942214,-18.64646582658689,-19.56831473779118
5,-19.66270411444157,-19.478827964613274,-19.132162369494345,-18.768352022567385,-19.783745991718412,-19.642536058295732,-19.55697359949005,-18.61725855245154,-17.28226478596157,-19.497722281497012
6,-19.332099798517998,-19.51791591588985,-18.79389715853102,-17.783723928814727,-19.78065057573872,-19.46480525049911,-19.55230135916966,-18.261425334004485,-16.54197262677619,-19.186349590988698
7,-19.178113629586413,-19.283602015635253,-18.369579339117497,-17.00401945807767,-19.621779098376336,-19.338813233847695,-19.429091474545114,-17.971820320407037,-15.311267132218134,-19.118504279537184
8,-19.41030121550215,-18.899992320379475,-17.70033503707468,-16.251357189419473,-19.66105881060401,-18.666249922733368,-19.11109150860193,-17.32240229112281,-14.48503613590135,-19.24378804068821
9,-18.617733268627994,-18.58485623755143,-16.46791596717056,-15.05018883641311,-19.53810199279963,-17.510975017956422,-19.16291569671918,-16.3471263138859,-13.53193278042863,-18.336484566894036
10,-18.144847686812117,-18.328964146963045,-15.505608790152994,-13.665500489504852,-19.294975728861772,-16.582264866440358,-19.011544448276616,-15.366240016730256,-12.864694668066921,-17.841465955412467
11,-17.676104771293833,-17.69682249585757,-14.343709139388297,-12.847524899578529,-18.897750475869685,-15.66078811292433,-18.478542038025342,-14.628783320775153,-11.832121352035287,-17.35134010735101
