iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.771651612504403,-19.9213185996191,-19.81492231606996,-19.81595603467687,-20.126421322500953,-20.03193104198507,-19.917443120733218,-19.77833625152979,-19.78639618323534,-19.98444876940833
1,-19.262619950213654,-19.574477024495696,-19.4363950139698,-19.482833929779126,-19.761425621900244,-19.818742317666896,-19.674735253733417,-19.59999353442074,-19.56896604703352,-19.53287385309405
2,-19.056107713601854,-19.396163961548098,-19.38385251675997,-19.482833929779126,-19.55496588133999,-19.747536597865114,-19.43104444905248,-19.251037737594935,-19.476741813970413,-19.52135195243096
3,-19.056107713601854,-19.11319831082235,-19.38385251675997,-19.231711078757165,-19.47747562235494,-19.536775900411666,-19.382097673430255,-19.25071658171284,-19.19367710663804,-19.4577059688729
4,-18.99912527869033,-19.050933692540838,-19.08484219504993,-19.132757642992313,-19.324812301160893,-19.43756792968349,-19.26690287331178,-19.08538596693578,-19.182339308148983,-19.436795303219302
5,-18.850086789152925,-18.980038201434898,-18.764927991987975,-19.119923368583866,-19.23291396004557,-19.43707901502985,-19.074963167579234,-19.019141461702908,-19.053035109348958,-19.436795303219302
6,-18.850086789152925,-18.980038201434898,-18.648543903709356,-19.10937563265196,-19.164128779608433,-19.361640604627446,-19.038456097350927,-19.019141461702908,-19.03423898754787,-19.410843217967418
7,-18.80024764260682,-18.94033021955442,-18.539619286440132,-19.10937563265196,-19.151836295862235,-19.359411569254718,-18.947529651851056,-18.91054384511721,-18.9068860627505,-19.360456795589
8,-18.80024764260682,-18.899625469695607,-18.531903877489786,-19.10937563265196,-19.151836295862235,-19.315874186101794,-18.93917138063034,-18.905304151077793,-18.8749664245151,-19.360456795589
9,-18.80024764260682,-18.899625469695607,-18.502530225087465,-19.037205441138827,-19.151836295862235,-19.268332970408455,-18.858588913971815,-18.888951474675473,-18.817865398616696,-19.35587287793437
10,-18.80024764260682,-18.899625469695607,-18.493642857644687,-18.958258750604884,-19.06492684277725,-19.184334812283165,-18.846384244775898,-18.808152287385752,-18.817865398616696,-19.340859228536672
11,-18.80024764260682,-18.899625469695607,-18.493642857644687,-18.926531697763124,-18.861741133478933,-19.184334812283165,-18.846384244775898,-18.808152287385752,-18.817865398616696,-19.333837423998492
12,-18.786226809388126,-18.890707723527008,-18.493642857644687,-18.875146112579397,-18.75155489315785,-19.184334812283165,-18.844668108889252,-18.796914125251213,-18.73753980650404,-19.278250067886027
13,-18.78119222586264,-18.767320173609196,-18.454195559109138,-18.710576655852904,-18.75155489315785,-19.184334812283165,-18.563308048341554,-18.771781605961927,-18.52090575915626,-19.264269445011276
14,-18.754986924929305,-18.767320173609196,-18.454195559109138,-18.70925046732573,-18.671385260341218,-19.116332091443525,-18.395132849195544,-18.771781605961927,-18.5023053145687,-18.81887223541911
15,-18.644765255419987,-18.767320173609196,-18.454195559109138,-18.678173281647787,-18.634677785705385,-19.07599615566845,-18.389308212875587,-18.771781605961927,-18.420910613805844,-18.81887223541911
16,-18.52348447132935,-18.723475849059035,-18.428442487356413,-18.651812673420633,-18.629730498350035,-19.049627586824613,-18.389308212875587,-18.673955912321954,-18.38284731567527,-18.729631303232672
17,-18.405715211715574,-18.63461975665874,-18.428385773652188,-18.651812673420633,-18.466808157095063,-18.95612192103082,-18.389308212875587,-18.673955912321954,-18.38284731567527,-18.729631303232672
18,-18.379021791159687,-18.607587445184002,-18.14903189659252,-18.534157102165615,-18.40432136148705,-18.873520436268947,-18.315488213505432,-18.673955912321954,-18.32035889582394,-18.729631303232672
19,-18.379021791159687,-18.59706876111809,-18.130618195865324,-18.534157102165615,-18.40432136148705,-18.873520436268947,-18.315488213505432,-18.673955912321954,-18.198495659161964,-18.71866052690772
20,-18.36290614056487,-18.551029299363762,-18.130618195865324,-18.534157102165615,-18.355706445521697,-18.873520436268947,-18.315488213505432,-18.673955912321954,-18.195263717987295,-18.71866052690772
21,-18.284996099812293,-18.551029299363762,-18.130618195865324,-18.534157102165615,-18.263009168504123,-18.749498086069334,-18.242894298533017,-18.496502334509195,-18.195263717987295,-18.70969485097076
22,-18.284996099812293,-18.54378623787634,-18.091356119619647,-18.52475904498118,-18.223611726981623,-18.749498086069334,-18.14073634106089,-18.396044278677458,-18.195263717987295,-18.651633240605484
23,-18.284996099812293,-18.461764630851125,-17.89727705932843,-18.47515044963256,-18.223611726981623,-18.749498086069334,-17.994444325403478,-18.345463491898414,-18.099468288904028,-18.651633240605484
