iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.176244636406167,-21.084670853371136,-21.212065620459583,-21.207232322587497,-21.16632800925035,-21.15807136456842,-21.16975110098484,-21.119394845842624,-21.142770118473656,-21.17107529548953
1,-19.791452849988108,-20.186692612110924,-20.03145319536113,-20.209401798866885,-20.158746694355123,-20.40006650060438,-20.378937471798302,-20.23408224039497,-20.31171165547822,-19.91681705061538
2,-20.46686594316847,-20.24987609873149,-20.630338452820183,-20.787975930296735,-20.318037936897845,-20.369314818061785,-20.406512978224345,-20.2000462395132,-20.68918832521167,-20.501444097844725
3,-20.616975883741134,-20.070597906511885,-20.62019671334306,-20.12038524433816,-20.445152452337332,-20.394157302195516,-20.40004034877759,-20.570508758310453,-19.920796287759288,-20.261431943280293
4,-20.327340957476725,-20.48698669759096,-20.02399909625636,-20.37542630621264,-20.11451831772319,-20.380053323123548,-20.339420597443393,-20.18130921766032,-20.371926982463158,-20.614240877250705
5,-20.112091364728354,-20.637495947791795,-19.94424663383209,-20.448435368263343,-20.415146014600218,-20.439207818233456,-20.445711385551448,-20.173881977096812,-20.228578685361732,-20.53140344833895
6,-20.451667782150967,-20.525842837660964,-20.139034182777127,-20.458291808909397,-20.41132800561479,-20.349187732101672,-20.398239304620482,-20.442157498351634,-20.39320538115156,-20.59094739371096
7,-20.228362795527847,-20.354282422803813,-20.13989706448062,-20.87241215091273,-20.796757377144086,-20.587300888369725,-20.607717957186452,-20.295486472763656,-20.228801534055776,-20.418592622657748
8,-20.760606055274096,-20.348530239216025,-20.179435883925024,-20.50306592629494,-20.4787691353311,-20.497922623728854,-20.439188097337496,-20.601701506797873,-19.87245353674485,-20.47381433995253
9,-20.569258495047567,-20.63741863521321,-20.524270233804444,-20.537405001107714,-20.64855312109768,-20.352357422855555,-20.44473051191488,-20.290052928341844,-20.183699722633737,-20.453065765404258
10,-20.840951514882804,-20.33966716930383,-20.276718150050968,-19.945618531688055,-20.237234565865197,-20.296025343768424,-20.497486702481677,-20.130887951107045,-20.638382678776146,-20.41787540744868
11,-20.661819633231854,-20.500296496068408,-20.41577712368833,-20.315282179851994,-20.094080553666394,-20.63125478855202,-20.6552378966715,-20.338757646977328,-20.516696631088394,-20.342362986431365
12,-20.507879598048014,-20.581371444408653,-20.038910033391723,-20.012499958349853,-20.318544847769942,-20.38999668072549,-20.26107771007382,-20.162448193048867,-20.443300898729586,-20.47214830472909
13,-20.295046617648087,-19.91795423339815,-20.37895780544416,-19.934246801516665,-20.7120223235567,-20.578745740949223,-20.04615512928354,-20.38462233950975,-19.923614330400195,-20.25088527904694
14,-20.36346453777581,-20.42411645766242,-20.256898495400307,-20.13250055179728,-20.05240146734016,-20.192111172654343,-19.744157578121186,-20.470156651987615,-20.034982111094475,-19.879011772793138
15,-20.402615237043836,-20.315094861205377,-20.306977792030047,-19.958014289539726,-20.273718420295037,-20.08573295743232,-20.498692351280436,-20.165086998803666,-20.014259092431303,-20.637109429586772
16,-20.30495628404305,-20.44054957650839,-20.069448450425867,-20.152778470432764,-20.134286550947174,-20.225249393920254,-20.49137497713034,-20.034726738167354,-20.281555844841623,-20.216751604204678
