iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.631327520685073,-20.12625805795215,-20.06590079469116,-20.08846698523668,-19.913541924920274,-20.00205783743241,-20.211042930630136,-19.95275645391458,-19.953338291229205,-20.021690420282894
1,-19.631327520685073,-20.12625805795215,-20.06590079469116,-20.08846698523668,-19.904878521167127,-19.950606341090925,-20.211042930630136,-19.93795247452763,-19.953338291229205,-19.948236233857376
2,-19.631327520685073,-20.12625805795215,-20.06590079469116,-20.076758509184053,-19.904878521167127,-19.950606341090925,-20.211042930630136,-19.93795247452763,-19.953338291229205,-19.948236233857376
3,-19.631327520685073,-20.12625805795215,-19.973192530400098,-20.076758509184053,-19.904878521167127,-19.950606341090925,-20.211042930630136,-19.93795247452763,-19.953338291229205,-19.948236233857376
4,-19.631327520685073,-20.12625805795215,-19.973192530400098,-20.076758509184053,-19.904878521167127,-19.950606341090925,-20.211042930630136,-19.93795247452763,-19.953338291229205,-19.948236233857376
5,-19.6008589647913,-20.0833105294725,-19.973192530400098,-20.076758509184053,-19.904878521167127,-19.950606341090925,-20.128802020012365,-19.89487570852811,-19.953338291229205,-19.948236233857376
6,-19.6008589647913,-20.0833105294725,-19.973192530400098,-20.014900031050008,-19.8900121835498,-19.950606341090925,-20.107355861798673,-19.89487570852811,-19.953338291229205,-19.93737020522301
7,-19.6008589647913,-20.0833105294725,-19.973192530400098,-20.014900031050008,-19.872466411098074,-19.950606341090925,-20.107355861798673,-19.887323136960823,-19.947610418439538,-19.864644299978444
8,-19.6008589647913,-20.078972547509263,-19.973192530400098,-20.014900031050008,-19.872466411098074,-19.950606341090925,-20.107355861798673,-19.887323136960823,-19.947610418439538,-19.75175074053213
9,-19.6008589647913,-20.070212000477785,-19.973192530400098,-20.014900031050008,-19.872466411098074,-19.942783353706197,-20.107355861798673,-19.887323136960823,-19.947610418439538,-19.75175074053213
10,-19.6008589647913,-20.070212000477785,-19.973192530400098,-20.014900031050008,-19.872466411098074,-19.942783353706197,-20.107355861798673,-19.887323136960823,-19.947610418439538,-19.692632815726917
11,-19.6008589647913,-20.070212000477785,-19.973192530400098,-20.00575287384151,-19.872466411098074,-19.942783353706197,-20.039181152068306,-19.887323136960823,-19.947610418439538,-19.692632815726917
12,-19.6008589647913,-20.070212000477785,-19.973192530400098,-20.00575287384151,-19.86394745805451,-19.942783353706197,-20.016990123779735,-19.87469493034647,-19.947610418439538,-19.692632815726917
13,-19.59228141582441,-20.070212000477785,-19.973192530400098,-20.00575287384151,-19.86394745805451,-19.942783353706197,-20.016990123779735,-19.87469493034647,-19.910230815175016,-19.692632815726917
14,-19.59228141582441,-20.070212000477785,-19.973192530400098,-19.953253388914174,-19.86394745805451,-19.942783353706197,-19.998552100727245,-19.87469493034647,-19.910230815175016,-19.692632815726917
15,-19.578728650157686,-20.070212000477785,-19.973192530400098,-19.953253388914174,-19.859751344958234,-19.942783353706197,-19.998552100727245,-19.87469493034647,-19.89911819968357,-19.692632815726917
16,-19.577252322497948,-20.070212000477785,-19.973192530400098,-19.953253388914174,-19.859751344958234,-19.90242560467889,-19.998552100727245,-19.8715358924772,-19.89911819968357,-19.692632815726917
17,-19.577252322497948,-20.06906882877785,-19.973192530400098,-19.953253388914174,-19.859751344958234,-19.90242560467889,-19.998552100727245,-19.8715358924772,-19.893015245978052,-19.637942779785078
18,-19.577252322497948,-20.06906882877785,-19.973192530400098,-19.91399514348496,-19.859751344958234,-19.90242560467889,-19.978726696886305,-19.8715358924772,-19.893015245978052,-19.637942779785078
19,-19.577252322497948,-20.06906882877785,-19.973192530400098,-19.91399514348496,-19.848770280915367,-19.878541532194873,-19.978726696886305,-19.8715358924772,-19.84875868952132,-19.637942779785078
20,-19.577252322497948,-20.06906882877785,-19.973192530400098,-19.91399514348496,-19.79398722105291,-19.878541532194873,-19.978726696886305,-19.8715358924772,-19.84875868952132,-19.637942779785078
21,-19.492676344365734,-20.06906882877785,-19.973192530400098,-19.91399514348496,-19.79398722105291,-19.878541532194873,-19.978726696886305,-19.8715358924772,-19.84875868952132,-19.637942779785078
22,-19.492676344365734,-20.06906882877785,-19.973192530400098,-19.91399514348496,-19.79398722105291,-19.86075686404522,-19.978726696886305,-19.8715358924772,-19.84875868952132,-19.637942779785078
23,-19.490648275699392,-20.06906882877785,-19.934306461333627,-19.888249727867276,-19.790424461003482,-19.817273801480958,-19.978726696886305,-19.8715358924772,-19.84875868952132,-19.637942779785078
24,-19.490648275699392,-20.06906882877785,-19.877587808103325,-19.888249727867276,-19.790424461003482,-19.817273801480958,-19.978726696886305,-19.810685388248437,-19.84875868952132,-19.637942779785078
25,-19.490648275699392,-20.06906882877785,-19.877587808103325,-19.888249727867276,-19.790424461003482,-19.817273801480958,-19.956982878369587,-19.810685388248437,-19.84875868952132,-19.637942779785078
26,-19.490648275699392,-20.06906882877785,-19.877587808103325,-19.888249727867276,-19.790424461003482,-19.817273801480958,-19.956982878369587,-19.810685388248437,-19.84875868952132,-19.637942779785078
27,-19.490648275699392,-20.06906882877785,-19.877587808103325,-19.888249727867276,-19.790424461003482,-19.817273801480958,-19.956982878369587,-19.810685388248437,-19.84875868952132,-19.637942779785078
28,-19.490648275699392,-20.037816785992703,-19.877587808103325,-19.888249727867276,-19.790424461003482,-19.81727206848679,-19.956982878369587,-19.810685388248437,-19.84875868952132,-19.607112425856762
29,-19.490648275699392,-20.037816785992703,-19.877587808103325,-19.88649921366121,-19.790424461003482,-19.81727206848679,-19.956982878369587,-19.810685388248437,-19.84875868952132,-19.607112425856762
30,-19.490648275699392,-20.037816785992703,-19.877587808103325,-19.88649921366121,-19.790424461003482,-19.81727206848679,-19.956982878369587,-19.716201328256368,-19.84875868952132,-19.607112425856762
31,-19.48166842729762,-20.037816785992703,-19.877587808103325,-19.8677447786087,-19.790424461003482,-19.81727206848679,-19.956982878369587,-19.716201328256368,-19.84875868952132,-19.607112425856762
32,-19.48166842729762,-20.037816785992703,-19.877587808103325,-19.86504074811839,-19.738343175432277,-19.81727206848679,-19.956982878369587,-19.716201328256368,-19.84875868952132,-19.607112425856762
33,-19.47696726789735,-20.02922719411603,-19.877587808103325,-19.86504074811839,-19.738343175432277,-19.781736286878747,-19.956982878369587,-19.716201328256368,-19.84139515788418,-19.607112425856762
34,-19.47696726789735,-20.025982666168673,-19.877587808103325,-19.86504074811839,-19.738343175432277,-19.781736286878747,-19.822083886273624,-19.716201328256368,-19.84139515788418,-19.594538188762904
35,-19.444038428800788,-19.98204102118384,-19.877587808103325,-19.86504074811839,-19.738343175432277,-19.781736286878747,-19.822083886273624,-19.716201328256368,-19.81676834765006,-19.594538188762904
36,-19.385447800715976,-19.98204102118384,-19.877587808103325,-19.86504074811839,-19.701652851407246,-19.781736286878747,-19.814542361273592,-19.716201328256368,-19.81676834765006,-19.592782741018077
37,-19.385447800715976,-19.98204102118384,-19.858949508381308,-19.863331176196944,-19.701652851407246,-19.758723669795184,-19.695941877727964,-19.716201328256368,-19.81676834765006,-19.592782741018077
38,-19.385447800715976,-19.98204102118384,-19.858949508381308,-19.863331176196944,-19.701652851407246,-19.758723669795184,-19.695941877727964,-19.716201328256368,-19.79972239446687,-19.592782741018077
39,-19.385447800715976,-19.969839004848605,-19.858949508381308,-19.861433544065875,-19.701652851407246,-19.758723669795184,-19.695941877727964,-19.716201328256368,-19.77335510201023,-19.592782741018077
40,-19.385447800715976,-19.969839004848605,-19.846587657662024,-19.861433544065875,-19.701652851407246,-19.758723669795184,-19.661424300994305,-19.716201328256368,-19.77335510201023,-19.592782741018077
41,-19.377040626596177,-19.969839004848605,-19.846587657662024,-19.861433544065875,-19.701652851407246,-19.758723669795184,-19.645152956723756,-19.716201328256368,-19.77335510201023,-19.592782741018077
42,-19.354957305038635,-19.969839004848605,-19.846587657662024,-19.861433544065875,-19.701652851407246,-19.758723669795184,-19.59708353722997,-19.715244082873692,-19.77335510201023,-19.592782741018077
43,-19.354957305038635,-19.969839004848605,-19.846587657662024,-19.861208384978404,-19.701652851407246,-19.758723669795184,-19.59708353722997,-19.715244082873692,-19.77335510201023,-19.592782741018077
44,-19.354957305038635,-19.969839004848605,-19.846587657662024,-19.861208384978404,-19.701652851407246,-19.758723669795184,-19.59708353722997,-19.715244082873692,-19.77335510201023,-19.592782741018077
45,-19.354957305038635,-19.969839004848605,-19.841875606599544,-19.857162983635195,-19.701652851407246,-19.758723669795184,-19.503568895222656,-19.715244082873692,-19.77335510201023,-19.581623897014744
46,-19.354957305038635,-19.969839004848605,-19.841875606599544,-19.84898543904658,-19.701652851407246,-19.758723669795184,-19.503568895222656,-19.71216670722295,-19.745211622106524,-19.581623897014744
47,-19.354957305038635,-19.816418426447672,-19.822545728101304,-19.84898543904658,-19.701652851407246,-19.758723669795184,-19.503568895222656,-19.71216670722295,-19.745211622106524,-19.581623897014744
48,-19.354957305038635,-19.816418426447672,-19.822545728101304,-19.84898543904658,-19.701652851407246,-19.758723669795184,-19.503568895222656,-19.699598051010987,-19.731281805865365,-19.581623897014744
49,-19.354957305038635,-19.78724953183037,-19.822545728101304,-19.83864460126287,-19.701652851407246,-19.758723669795184,-19.503568895222656,-19.699598051010987,-19.731281805865365,-19.581623897014744
50,-19.354957305038635,-19.78724953183037,-19.822545728101304,-19.83864460126287,-19.701652851407246,-19.758723669795184,-19.503568895222656,-19.699598051010987,-19.731281805865365,-19.581623897014744
