iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.771651612504403,-19.9213185996191,-19.81492231606996,-19.81595603467687,-20.126421322500953,-20.03193104198507,-19.917443120733218,-19.77833625152979,-19.78639618323534,-19.98444876940833
1,-19.771651612504403,-19.9213185996191,-19.755005834841796,-19.81595603467687,-20.12407398621876,-20.031494897899016,-19.900311095537838,-19.77833625152979,-19.78639618323534,-19.951698493710303
2,-19.771651612504403,-19.9213185996191,-19.755005834841796,-19.81595603467687,-20.12407398621876,-20.031494897899016,-19.900311095537838,-19.77833625152979,-19.78639618323534,-19.951698493710303
3,-19.771651612504403,-19.9213185996191,-19.755005834841796,-19.81595603467687,-20.12407398621876,-20.031494897899016,-19.900311095537838,-19.77833625152979,-19.76360148147471,-19.913090266193148
4,-19.771651612504403,-19.9213185996191,-19.755005834841796,-19.81595603467687,-20.123819893227147,-20.031494897899016,-19.896927650912197,-19.77833625152979,-19.76360148147471,-19.882141885969723
5,-19.771651612504403,-19.877588607522107,-19.755005834841796,-19.81595603467687,-20.123819893227147,-20.031494897899016,-19.828892729676042,-19.77833625152979,-19.76360148147471,-19.882141885969723
6,-19.74820367776751,-19.877588607522107,-19.752281091496183,-19.81595603467687,-20.07203559289737,-19.976085109577834,-19.80914726757667,-19.77833625152979,-19.76360148147471,-19.882141885969723
7,-19.74820367776751,-19.877588607522107,-19.752281091496183,-19.81595603467687,-20.06426423824422,-19.95247213061311,-19.80914726757667,-19.75232737689207,-19.76360148147471,-19.882141885969723
8,-19.70545254904316,-19.877588607522107,-19.752281091496183,-19.81595603467687,-20.06426423824422,-19.95247213061311,-19.80914726757667,-19.75232737689207,-19.76360148147471,-19.882141885969723
9,-19.70545254904316,-19.877588607522107,-19.727623437310505,-19.81595603467687,-20.06426423824422,-19.95247213061311,-19.808216971648562,-19.68903384648693,-19.76360148147471,-19.86627666338988
10,-19.70545254904316,-19.877588607522107,-19.727623437310505,-19.81595603467687,-20.052093730612064,-19.902753390150874,-19.808216971648562,-19.68903384648693,-19.76360148147471,-19.86627666338988
11,-19.588116596138597,-19.877588607522107,-19.727623437310505,-19.81595603467687,-20.04942309348082,-19.869810517429006,-19.808216971648562,-19.68903384648693,-19.76360148147471,-19.85995331878088
12,-19.588116596138597,-19.877588607522107,-19.685247237008774,-19.81595603467687,-20.04942309348082,-19.869810517429006,-19.79676097645696,-19.68903384648693,-19.76360148147471,-19.85995331878088
13,-19.588116596138597,-19.877588607522107,-19.685247237008774,-19.794659294970586,-20.04452253477146,-19.869810517429006,-19.678656871145595,-19.68903384648693,-19.71103456061057,-19.85571283400987
14,-19.588116596138597,-19.872290630430456,-19.685247237008774,-19.794659294970586,-20.04452253477146,-19.869810517429006,-19.670816758060724,-19.66171207322143,-19.702489162685417,-19.85571283400987
15,-19.588116596138597,-19.872290630430456,-19.671156163367947,-19.794659294970586,-20.033367670471698,-19.8345066019821,-19.65723857808004,-19.66171207322143,-19.702489162685417,-19.85571283400987
16,-19.520934333216548,-19.857751409461606,-19.671156163367947,-19.77136911928388,-20.033367670471698,-19.8345066019821,-19.65723857808004,-19.66171207322143,-19.702489162685417,-19.78229041586495
17,-19.520934333216548,-19.857751409461606,-19.671156163367947,-19.77136911928388,-20.031998386101613,-19.82203389440148,-19.64866956329226,-19.66171207322143,-19.629540433293542,-19.772134889036543
18,-19.520934333216548,-19.857751409461606,-19.671156163367947,-19.77136911928388,-20.031998386101613,-19.815436963035737,-19.64866956329226,-19.66171207322143,-19.629540433293542,-19.772134889036543
