iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.176244636406167,-21.084670853371136,-21.212065620459583,-21.207232322587497,-21.16632800925035,-21.15807136456842,-21.16975110098484,-21.119394845842624,-21.142770118473656,-21.17107529548953
1,-21.158211616738374,-21.251839794871614,-21.076230997287535,-21.13875464020111,-21.06407170801526,-21.14921545554258,-21.2027468707128,-21.202409969993887,-21.21498072422557,-21.01971456081344
2,-21.07983680943981,-21.179396456185664,-21.17832069219362,-21.25432268330304,-21.121153402435155,-21.126407424279407,-21.207648796997393,-21.17248137398614,-21.147675268677638,-21.1619217298693
3,-21.271569814519637,-21.320065193669066,-21.141257450885774,-21.00540511390319,-21.17291624629697,-21.107774701248054,-21.264175169063357,-21.0984345806585,-21.13532817321729,-21.09092297315094
4,-21.160167815720268,-21.111156668948514,-21.196814798512037,-21.19061565358281,-21.17063430052376,-21.130257236053893,-21.165318473865316,-21.164692416102426,-21.265763591781315,-21.160293951241528
5,-21.187678589441155,-21.105048056821992,-21.3064494064036,-21.004535314409985,-21.212104605479844,-21.196628179033414,-20.92957876079233,-21.170297693876265,-20.93421944702156,-21.13367150667589
6,-21.033070795802097,-21.259733685411184,-21.1476636205863,-21.148733182463054,-20.995894692535394,-21.05202306025231,-21.216684871166095,-21.072986076615017,-21.23484567554279,-21.2179391351591
7,-21.229553826251873,-21.168299642839955,-21.219512708831306,-21.386754280863947,-21.121559931092335,-21.02566240401076,-21.09997950305886,-21.19495834164114,-21.27454719670302,-21.06790725530103
8,-21.127664606418602,-21.125901430040795,-21.139593783504974,-21.21539338311428,-21.204274464492926,-21.128833747911415,-21.207649312696727,-21.22455580613711,-21.121333435834263,-21.280033533076548
9,-21.10030299173551,-21.184717596083132,-21.06896155015282,-21.30575477408422,-21.30134451951686,-21.164253074904934,-21.13480295800558,-21.08367528752681,-21.072964381951937,-21.2185813847382
10,-21.22327217948059,-21.28232923832544,-21.177599860642317,-21.266379089712732,-21.175224364330205,-21.06185927212634,-21.173133315008833,-21.307889816955786,-21.123839637383757,-21.36546649970955
11,-21.028855506574025,-21.233513136992265,-21.119960370608247,-21.125366052993733,-21.224333847068923,-20.990996573674643,-21.38912867515936,-21.24354594658601,-21.163925530568115,-21.13549590489443
