iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.771651612504403,-19.9213185996191,-19.81492231606996,-19.81595603467687,-20.126421322500953,-20.03193104198507,-19.917443120733218,-19.77833625152979,-19.78639618323534,-19.98444876940833
1,-8.602428217058687,-9.986767395516772,-10.450749301472925,-8.647642770452187,-9.117518285353324,-9.847897807928963,-8.68728747240026,-8.844047197304,-11.399591256467941,-11.747742286468851
2,-8.166380717432773,-8.529017419124816,-8.966320097422573,-8.152476580881405,-7.927442462977756,-8.582817280493,-8.208128165402233,-8.027821918050115,-9.731803679171353,-9.398029696588232
3,-7.990236879964696,-8.40608692164811,-8.452085405588326,-7.948900816582334,-7.3624233557416385,-8.227973487914303,-7.696682310909744,-7.718650414243294,-8.298499654747584,-8.25601525775161
4,-7.295035396781689,-7.684129535044967,-7.643668672638372,-7.577100532461449,-7.178601675964634,-7.5386704216563984,-7.353909903433907,-7.377820942787301,-7.978173732292188,-7.740223970690314
5,-7.187171136137122,-7.422090981621319,-7.456920148193908,-7.390655572819332,-6.793734514233142,-7.321130780080116,-7.342834882142775,-7.3425239327306615,-7.363412023942271,-7.564081807180227
6,-6.829507451757644,-7.213642156239532,-6.935577721456808,-7.270446755343997,-6.793734514233142,-7.0665916085389195,-6.981938575396895,-7.287976543637277,-7.247068239296815,-7.332607482881269
7,-6.789298263437711,-6.923753946193279,-6.795425437558544,-7.042572794474678,-6.693300813860193,-6.976225139025422,-6.860959308038723,-7.137526456279126,-7.232899239392042,-7.192988321853436
8,-6.712061167487543,-6.677359376019917,-6.7510102600789565,-6.821362308197152,-6.5539434354600985,-6.7514527218635845,-6.643415934091424,-7.001829276699895,-7.183615781322805,-7.128767549978095
9,-6.564343158020046,-6.549169784455636,-6.672391697939685,-6.759552150790138,-6.463505839473283,-6.593497198004444,-6.554028292702914,-6.814000104310604,-7.018842359949884,-6.711914508645236
10,-6.484376284444499,-6.107925581510894,-6.610575563853858,-6.401999469332703,-6.359459533945564,-6.534848477130043,-6.3439871838509685,-6.667581110312855,-6.979768842503096,-6.657937480225949
11,-6.441915805138038,-6.010130734762824,-6.566703830344523,-6.363970662098916,-6.197353159091687,-6.347586551825422,-6.270513880349406,-6.208305888356245,-6.785166898040163,-6.57465639098619
12,-6.185114810515386,-5.810544435411593,-6.426011184548213,-6.351991457985994,-6.1860383248003945,-6.222573661861472,-6.00183712250901,-6.021363161948276,-6.6828987118409655,-6.3154282234000725
13,-5.765147069373521,-5.752257571851846,-6.27605962565072,-6.090290735041812,-5.967947906325637,-6.170213589131232,-6.00183712250901,-5.902031381691035,-6.492045682415923,-6.0809499984005235
14,-5.65427919332352,-5.707304938051648,-6.113890939666858,-5.930698840565759,-5.930172612097609,-6.078782511008118,-5.828559871393772,-5.871058055810725,-6.343932359246176,-5.995583795423325
15,-5.502172216264179,-5.280021551490959,-5.861549241822702,-5.779492355639128,-5.889972637783321,-6.02601504908181,-5.6995308164753045,-5.769081010957053,-6.27815023356402,-5.968527126770462
16,-5.330394434165401,-5.036675305860252,-5.529877310451436,-5.626653215160749,-5.665113224863242,-5.730102463968252,-5.482758788015863,-5.574741193727606,-6.024367108957264,-5.752696156550832
17,-5.156774715555075,-5.036675305860252,-5.396981567016798,-5.4635382734738736,-5.510960034430104,-5.597676619082769,-5.303592205008839,-5.278029891833405,-5.626228444680189,-5.6138963761863945
18,-5.150534348521959,-5.012093376710473,-5.299279011364221,-5.257430875256007,-5.495367862414273,-5.512591902753053,-5.224408752197347,-5.200087838100698,-5.218953419808696,-5.4082481847012
19,-5.150534348521959,-5.012093376710473,-5.217716742306055,-4.81827509242694,-5.464349017666731,-5.3973495892568035,-5.194789655992992,-5.09639167089799,-5.2105311111005985,-5.311683886500664
20,-4.961656094989236,-4.910642691160376,-5.153637836151874,-4.752945844945585,-5.464349017666731,-5.384967881546515,-5.183091233663902,-5.013821983603767,-5.061761249120598,-5.285337497344365
21,-4.961656094989236,-4.910642691160376,-4.981538939787891,-4.750555016750662,-5.43137335823296,-5.32003070428138,-5.029526748462601,-4.982724089570295,-5.006363125510774,-5.222312228231631
22,-4.961656094989236,-4.7968073609327995,-4.981538939787891,-4.739572092899065,-5.353176744882072,-5.219685301821444,-5.02128541762635,-4.981262233579649,-4.91684142311925,-5.0414867818566735
