iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.176244636406167,-21.084670853371136,-21.212065620459583,-21.207232322587497,-21.16632800925035,-21.15807136456842,-21.16975110098484,-21.119394845842624,-21.142770118473656,-21.17107529548953
1,-8.602428217058687,-9.986767395516772,-10.450749301472925,-8.647642770452187,-9.117518285353324,-9.847897807928963,-8.68728747240026,-8.844047197304,-11.399591256467941,-11.747742286468851
2,-8.299781672085349,-8.542917815091675,-9.051607952082659,-8.339857086317611,-7.98290519516987,-8.62745893842947,-8.44565693421406,-8.295941410579431,-9.750414191436036,-9.399393399053379
3,-8.290117259149648,-8.929435438714293,-8.851586175804416,-8.412360011612567,-7.631873504604632,-8.568695128437291,-7.85532272890015,-8.186697109310561,-8.330781570754922,-8.272352117245859
4,-7.641744689536283,-7.911832275112158,-7.715273473535525,-8.121770480796233,-8.209173366857812,-7.868426332665434,-8.034764759351729,-7.868306658264701,-8.299407111020928,-7.95216698676557
5,-8.045264021643217,-7.959514915821245,-8.161370521264558,-8.428320385062534,-7.160592136094283,-8.27994273510524,-9.101584902743614,-8.108009704734169,-7.778591518048534,-7.703956947803629
6,-7.422230310893332,-8.239845577530442,-7.398324665549824,-8.270318025954303,-8.341775887302926,-7.880952907725405,-7.482774692039744,-9.080763379080807,-7.731569608091357,-7.931425565281584
7,-7.793654653291763,-8.232379882932428,-7.868101673213287,-7.672976244901228,-7.762355849745071,-7.990956859478428,-8.076111258070014,-8.076018556671155,-8.69172579383109,-8.137135953472502
8,-8.239459118646447,-7.066266655667535,-8.77758778670304,-7.6176795157544195,-7.52568355144151,-7.437229977193491,-7.24428597562733,-8.093641420156752,-7.843109867396551,-8.371576668736097
9,-7.426206988229071,-7.900781796142223,-7.855611409703969,-7.953968397106772,-7.3066106186386754,-7.13634304346316,-7.6535996535143695,-7.687771626787316,-7.931330868668409,-7.498290036758341
10,-7.229544103816673,-6.9014446980155775,-7.447875761500187,-7.159428296253732,-7.91362060821226,-7.919875726323168,-6.891669636224521,-7.34695923271309,-8.015766793310046,-8.320992585024035
11,-7.78839829720998,-7.483477253098345,-7.55931092982962,-7.507296022817435,-7.5809038325536156,-7.3099988468494335,-7.610887734833656,-6.778491076847597,-7.637363972508557,-7.621818463284371
12,-6.9061101191084,-6.989760994110103,-7.415270970215566,-7.624273877494426,-7.475623775545375,-7.584452819179047,-7.489758516099991,-7.09223942690876,-7.708114373516041,-7.337180874518802
13,-6.244896677194309,-7.467061598939308,-7.238868316439624,-7.0773598873446275,-6.5732468047307595,-7.226545438970499,-7.634418203689697,-6.543469033393858,-7.29437560637121,-7.394433628439602
14,-6.542707423342487,-7.475677889971888,-6.729029030219044,-7.161319213845724,-7.268323088207315,-7.427372259962903,-7.294010895090141,-7.4745057380187365,-7.381440486524625,-7.1675241144564215
15,-6.595954080540668,-5.740346472050432,-6.572600380988802,-6.710157228424574,-7.36933322446298,-7.484597348703915,-6.551192936552609,-7.176283543303791,-7.226972175969673,-7.85100401458617
16,-6.2370752753667595,-6.254505476196867,-5.8897471038391735,-6.443414077614515,-6.636283378193897,-6.652023045788733,-6.672284726073135,-6.388355783218784,-6.946339904636595,-7.291811187007729
17,-6.206290466789746,-6.846337305462056,-6.398294378533955,-6.579816303303609,-7.0069361514816215,-6.409783601264254,-6.103479262207512,-5.807675487192857,-6.0614814959071115,-6.552747692281908
18,-6.345703071710588,-6.588355198585031,-6.330114573777632,-5.929233086419945,-6.637930121202983,-6.321505126346697,-6.9729235053353005,-6.462369043713483,-6.011105435478029,-6.546294057702406
19,-6.713165238547235,-6.942054209722583,-6.911895904983972,-5.253047600257172,-6.442232536897965,-6.257222790773794,-6.531654855790134,-6.118731822024216,-6.863708319889323,-6.255145403561696
20,-6.093211155843781,-6.693922290298315,-6.294256193027681,-6.126076569764068,-7.647479054523543,-6.405626792008922,-6.951445955338835,-6.046503107639779,-6.041830360522099,-6.714661992701991
21,-6.851591556508987,-6.38702267791359,-5.862010091868397,-6.128584344126164,-6.6781984757703485,-6.627169416565621,-5.8344005624822435,-6.141374185314023,-6.051583721914286,-6.26188001379953
22,-7.2967044023220495,-6.111061788114187,-6.9527666747360035,-6.432477693988199,-6.574212977485401,-6.093989118130169,-6.4227497090571655,-6.493075715787118,-5.825561051424994,-5.936321198048113
