iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.771651612504403,-19.9213185996191,-19.81492231606996,-19.81595603467687,-20.126421322500953,-20.03193104198507,-19.917443120733218,-19.77833625152979,-19.78639618323534,-19.98444876940833
1,-19.655647793807255,-19.902829819860294,-19.768145791439295,-19.714983228177186,-19.928138209094275,-19.95898590229364,-19.755599957591805,-19.684759156280528,-19.642183412557316,-19.895083015590515
2,-19.57422375273619,-19.805317409464713,-19.596428796759092,-19.644677508464962,-19.791623751702343,-19.819219357394164,-19.670974229365854,-19.361556138280264,-19.61474689781288,-19.78004615140466
3,-19.356692063897654,-19.7734176112276,-19.57649395804563,-19.644677508464962,-19.748301583505302,-19.771606320582276,-19.636731569620608,-19.21774288790206,-19.45012758998966,-19.64545591033908
4,-19.34955107674554,-19.721095770942142,-19.516232408701146,-19.58433723487507,-19.686454106296104,-19.69991695862072,-19.545642075126068,-19.025754787491998,-19.298903879309798,-19.64545591033908
5,-19.299133642575708,-19.61767682035474,-19.496204379063013,-19.543971969389993,-19.570399284759205,-19.67397594352949,-19.437181753144962,-18.9271699902732,-19.22117472085541,-19.55941376657436
6,-19.178158933972426,-19.60740706184285,-19.44085609734117,-19.312165284492476,-19.534982448144387,-19.56408528042309,-19.389357200004707,-18.814313695810615,-19.158221288298684,-19.55941376657436
7,-19.140278631753716,-19.573656962331995,-19.382248285514752,-19.26860930234892,-19.444998462376283,-19.53110284099867,-19.12823059984959,-18.73459161289827,-19.11436097323545,-19.43188416197281
8,-19.08122993944205,-19.249217362299333,-18.76378535505973,-19.05376744996469,-19.361608149193806,-19.422525934707544,-19.12823059984959,-18.678028933048953,-19.000210147541495,-19.380401483747825
9,-18.839248363213752,-19.246473217159277,-18.58067566303334,-18.966821074626566,-19.15662163061499,-19.251743291364818,-19.070672384632026,-18.484338964727563,-19.000210147541495,-19.295650414463438
10,-18.614206439001045,-19.246473217159277,-18.3664561525402,-18.921545915519502,-19.15662163061499,-19.144388652646835,-18.85633591731147,-18.48287967720986,-18.937592626566143,-19.295650414463438
11,-18.491554879188953,-19.131156952086023,-18.146332417577867,-18.855352386995687,-19.130333138365316,-19.095488604148734,-18.74296847154111,-18.389649244768307,-18.914450090501642,-19.27776411609179
12,-18.46052086600899,-19.112138668076938,-18.124684194998714,-18.760348262908245,-19.112104871986645,-18.90978635024897,-18.608001616207922,-18.172998746675695,-18.901418839467496,-19.22160189409047
13,-18.14228876870268,-18.967512267121197,-17.930529057243895,-18.526891048654186,-18.92936757988446,-18.829470421046473,-18.43463565649926,-18.154968267274853,-18.838955734545767,-19.125159481777292
14,-17.844714128111775,-18.837773228514564,-17.80463213381921,-18.328447285932526,-18.897624530387336,-18.816529624856745,-18.404824866922013,-17.97996050394478,-18.73536715397246,-19.054755740592235
15,-17.686187772686097,-18.80361848241595,-17.57156670875248,-18.19482310503525,-18.87739718701907,-18.614496461709923,-18.199414163258744,-17.914467538710788,-18.67437278790379,-18.98135878493875
16,-17.60862050098734,-18.73048322912924,-17.34238150444966,-18.030471988066996,-18.826994422795885,-18.583193763670515,-18.02107679501408,-17.698968924971947,-18.628340900979282,-18.88521514115326
17,-17.43960331131468,-18.621614114920426,-17.25469774399778,-17.95374135885258,-18.73267871744519,-18.532385171274363,-17.750224727653407,-17.596515684706628,-18.512384723876586,-18.864152593077243
18,-17.311768355153838,-18.569656118800758,-17.19693405940451,-17.840151762024135,-18.669850855666787,-18.40358569514759,-17.579221800991895,-17.42988071078299,-18.363888192168332,-18.70173071486216
19,-17.262062240445278,-18.43767710854729,-17.103810027429176,-17.777144968996836,-18.669850855666787,-18.290845008986818,-17.57631315807088,-17.11828399096032,-18.29512217521143,-18.63676841301742
20,-17.080151681095735,-18.25598336929839,-17.092112481842324,-17.54830727970146,-18.39100956209012,-18.051483386940223,-17.409246462791657,-16.988539411917117,-18.053158361622963,-18.53047008009075
21,-16.77579880077936,-18.18450010859234,-16.71660127950453,-17.31684497128378,-18.367319927885642,-17.84947742981648,-17.24180965476917,-16.837290783591854,-17.93340406036201,-18.48251957444784
22,-16.708669208551846,-18.174808885191794,-16.608948611009822,-16.879727890907727,-18.210286753448298,-17.700911515223197,-17.17774114214539,-16.61449119329528,-17.711036900380833,-18.29520682556199
23,-16.363590342846337,-18.028644901228304,-16.582115033502536,-16.584254446521594,-18.19308564698003,-17.605343157652584,-16.809790962909823,-16.458313064407115,-17.557621822876584,-18.175379402754615
