iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.176244636406167,-21.084670853371136,-21.212065620459583,-21.207232322587497,-21.16632800925035,-21.15807136456842,-21.16975110098484,-21.119394845842624,-21.142770118473656,-21.17107529548953
1,-20.169621922901,-20.657588664145507,-20.51790765175154,-20.573954206341405,-20.501380464198526,-20.594045452570626,-20.63390384576009,-20.56149069379841,-20.390595706448057,-20.458308447685212
2,-20.621887936121208,-20.46963671893582,-20.36771094979624,-20.147629337179957,-20.600940437790037,-20.51675131108975,-20.50214872619749,-20.043319366401008,-20.68360371338536,-20.43126719540658
3,-20.120969006003165,-20.776916571478456,-20.333317803108212,-20.60752499163572,-20.537962967093353,-20.88376394135638,-20.40519265802119,-20.21603811152995,-20.14897304629192,-20.45455865642591
4,-20.3052243949568,-20.61113836333238,-20.590029753290203,-20.365898547053217,-20.568479393350636,-20.28556884865585,-20.436063560899505,-19.71468130866024,-20.199053079470687,-20.48383949895684
5,-20.218354662408224,-20.233328254232077,-20.532450788430882,-20.508407794869164,-20.39293951596753,-20.447056804054704,-20.484797586460903,-19.86309835763528,-20.018764540319616,-20.253418024714108
6,-19.969588542080214,-20.465146094665826,-19.971405583318347,-19.92257625081012,-20.197206382835386,-20.138671455006907,-20.276273585487303,-19.339445345136035,-20.050375954662805,-20.499139169229352
7,-19.82715755894188,-20.394201354492907,-19.92003176496521,-20.137991120379617,-20.206791857569627,-20.324980071713036,-19.888353804901275,-19.609666874668697,-20.17851663159258,-20.244170890029018
8,-19.60817147872783,-19.73015818135799,-19.177998862018534,-19.750453575390033,-20.016852937084636,-20.2198724817398,-20.121269209066902,-19.30405466342887,-19.881334442412076,-20.37985880997255
9,-19.4847158648533,-20.02188951355228,-19.31239815130147,-19.773032741761167,-19.759687947008942,-19.912887991462014,-19.85423242496739,-19.086668517599303,-20.000944843620427,-20.114752679322716
10,-19.297949322267655,-20.1363420768638,-19.04712337017965,-19.84276604928845,-20.111012981902853,-19.79495428507344,-19.730081905865703,-19.423294506478676,-19.922237090063263,-20.220848709853257
11,-19.150514475349453,-19.65371559343903,-18.829142226714975,-19.6068058357775,-19.664522384935328,-19.83916132457688,-19.464680218857037,-19.15249278142889,-19.612585612049223,-20.06403334458242
12,-19.09921748936318,-19.915699733453028,-18.799496727820987,-19.6027292102753,-19.842788329953848,-19.681524306848164,-19.333503030847343,-18.823653703890592,-19.787730225372616,-20.04202888542338
13,-18.722546842888796,-19.56430585126646,-18.310516314556637,-19.29399042181374,-19.440524205457628,-19.66582058353419,-19.068537720654916,-19.113814629360807,-19.62189818957802,-19.7451133104049
14,-18.346542339394258,-19.477040224166664,-18.4942617876602,-19.064104307105943,-19.630334913403413,-19.456002958603595,-19.466338928034084,-18.634424690741795,-19.325969256777945,-19.733488382444058
15,-18.529515603556064,-19.759405568882897,-18.18740496759719,-18.707572290614763,-19.403681717483,-19.329532838729094,-18.78408183841273,-18.617445290993935,-19.230732561537167,-19.74537722625203
16,-18.54970600675756,-19.25383506843292,-17.928467634046466,-18.710591645001372,-19.66501060828176,-19.06406691823279,-18.622972082752,-18.541012660521446,-19.391089698871454,-19.70804689298671
17,-18.024050322827343,-19.335912986290015,-18.078687471907905,-18.87342516300839,-19.338813419082975,-19.295574612971198,-18.37399208943181,-18.333342027093043,-19.081570611401983,-19.95919881189571
18,-18.081124803041234,-19.01425578849837,-17.923146936579556,-18.42607340607725,-19.304477924962768,-18.895742160442175,-18.29481779579733,-18.022563031770193,-19.119196535118746,-19.55325422085206
19,-17.745129295842972,-19.104684565064595,-17.839747593258416,-18.489356181436662,-19.52815154478008,-18.69847116030905,-18.46926267252438,-17.75925797567207,-18.80224898008681,-19.229078382643046
20,-17.864607269413106,-18.990893622794566,-17.93658934879094,-18.16080572809414,-19.137461360287006,-18.53604753853974,-18.01670873848837,-17.914091174547,-18.51904651885306,-19.379750892988426
21,-17.53065154734066,-18.680295182719743,-17.177936110538326,-17.702846619781486,-19.086557760591337,-18.605236765530023,-17.94953495498748,-17.487053766573464,-18.65580875483366,-19.411385516770427
22,-17.421549389338985,-18.828173637406586,-17.312390878028026,-17.199043395299235,-18.853801451820694,-18.533414450350246,-17.93828839566575,-17.276712346237453,-18.395545340302306,-18.873009867429232
23,-16.937826779995103,-18.444782542712645,-17.48593898463063,-17.43230664251413,-19.03556308991635,-18.576010086440434,-17.40053170037033,-16.938873186292955,-18.116004475124157,-18.972495718543833
24,-16.328677512653922,-18.430086592081175,-16.953339402748227,-17.17792408270241,-19.019905341210407,-18.33032339270517,-17.335888955253658,-16.60168345778083,-17.981199019614245,-19.263956041882626
25,-16.707334539654738,-18.251760378649863,-16.85462210607278,-17.24942133738614,-18.906522944580136,-18.36003354111753,-17.073466852249773,-16.375534133619276,-17.81005199877558,-18.854802451446417
26,-16.51824783792143,-18.00702495953994,-16.706461268170877,-16.804804996812535,-18.65980610020142,-18.196625615752907,-16.870902760772417,-16.676922483067727,-18.01415953033291,-18.871900716053645
27,-16.114557101673455,-17.963500613628995,-16.655605600708796,-16.693157662642594,-18.803507875966474,-17.724865246316114,-16.741045838307212,-16.52712586173995,-17.951103774170193,-18.723600293565283
28,-16.057922852253057,-17.920868765592086,-16.329464229138264,-16.74183829737884,-18.42060489183958,-17.72645747403949,-16.76594066851279,-16.532870808671756,-17.4642153704862,-18.777751027184127
29,-15.774616480416828,-17.90241294036005,-16.313357573303854,-16.40144625951532,-18.707965051027784,-17.637763278982263,-16.823628499817122,-16.53452094379024,-17.29008536625472,-18.204287061515082
30,-15.344121436094273,-17.659166486008324,-16.15540177950254,-16.322519340959293,-18.317089309387583,-17.460986543903665,-16.435393357842997,-16.355031504082074,-17.155837809158072,-18.311336008319124
31,-14.814190065819481,-17.601911436888283,-15.874762850194383,-16.049541213815505,-18.165865440137726,-17.19527531787019,-16.54862788970977,-16.531570163185805,-16.6858685531667,-18.14672377505358
32,-14.666556639964735,-17.52134945307084,-15.833008393129047,-15.589321490692964,-18.072515736964696,-16.935214026091383,-16.385415935596242,-16.292584303935307,-16.691535890584827,-18.19076885207719
33,-15.112327010379845,-17.283847906733016,-15.573270708926517,-15.582117359063135,-17.925030748016127,-16.62603622547099,-16.435743315124405,-16.51750676529761,-16.715883245742212,-17.969781951763384
34,-14.296813934143081,-17.18317330540372,-15.580474621802198,-15.463163093145852,-18.025662870109244,-16.867318224267784,-15.883313022685211,-15.774265595389217,-16.191138694997722,-17.791704888905365
35,-14.229116345702112,-16.913908141621476,-15.773857398369522,-15.187877926413888,-17.85071724661105,-16.56041032046847,-16.189646930618164,-15.87300209511177,-16.00219346982349,-17.55148212054741
36,-13.700571182217907,-16.99980634809691,-15.105992443743549,-15.509730585644059,-17.55260929990653,-16.32933943870703,-16.205946760549143,-15.988200683241168,-16.02369289768302,-17.782642836545357
37,-13.594317876207791,-17.060225411330023,-15.34928065740524,-15.225058048098873,-17.821862483356853,-16.222472885532795,-16.125359183818915,-15.81511341618,-15.14829912319517,-16.92839970631038
38,-13.585498374306752,-16.52051349742873,-15.446514777913846,-14.780952773128195,-17.34803434352714,-16.122864507710275,-15.79452544866573,-15.678111426800136,-15.39101144546968,-16.862352406325407
39,-13.565576929384786,-16.163894535375075,-15.219238820384986,-14.43981821528967,-17.254020242745796,-15.746150566746435,-15.818791815435992,-15.324051087154562,-15.144297601094266,-16.96751729160666
40,-12.980912537518924,-16.183939590028615,-15.035637916843312,-14.646764905698827,-17.35473479169528,-16.04558874242545,-15.66368689585578,-15.474863249683967,-15.161592505808764,-16.58965187147195
41,-12.942052894775383,-16.304158797130217,-14.717930014220661,-14.744058113829716,-16.88444474393104,-15.412555747727406,-15.425797756314838,-14.791690587974735,-15.069504322848857,-16.62895725397319
42,-12.774635634882795,-16.03259661903189,-14.100351730766569,-15.02325478737267,-17.26114418198359,-15.360597217958233,-15.62723336834597,-15.121494506807075,-15.334703185912693,-16.042639320475867
43,-12.753460952311602,-15.972661020808534,-13.969853531763965,-14.641092484928942,-16.87148590411082,-15.490420217485486,-15.273738824486934,-15.162524780460686,-14.609365392153052,-15.655850500524526
