iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.771651612504403,-19.9213185996191,-19.81492231606996,-19.81595603467687,-20.126421322500953,-20.03193104198507,-19.917443120733218,-19.77833625152979,-19.78639618323534,-19.98444876940833
1,-19.771651612504403,-19.9213185996191,-19.81492231606996,-19.81595603467687,-20.117008964378947,-20.03193104198507,-19.90246526633943,-19.77833625152979,-19.725168269947467,-19.98444876940833
2,-19.771651612504403,-19.900896027881494,-19.81492231606996,-19.81595603467687,-20.117008964378947,-20.009852450783292,-19.90246526633943,-19.77833625152979,-19.725168269947467,-19.95983613751194
3,-19.771651612504403,-19.900896027881494,-19.785445438128896,-19.81595603467687,-20.117008964378947,-20.009852450783292,-19.90246526633943,-19.77833625152979,-19.725168269947467,-19.95983613751194
4,-19.771651612504403,-19.900896027881494,-19.785445438128896,-19.81595603467687,-20.117008964378947,-20.009852450783292,-19.90246526633943,-19.77833625152979,-19.656715828058115,-19.95983613751194
5,-19.771651612504403,-19.900896027881494,-19.785445438128896,-19.81595603467687,-20.10733477912706,-20.009852450783292,-19.90246526633943,-19.732968411876982,-19.656715828058115,-19.95983613751194
6,-19.771651612504403,-19.900896027881494,-19.785445438128896,-19.815941002153238,-20.10733477912706,-19.919117513814065,-19.90246526633943,-19.732968411876982,-19.656715828058115,-19.95983613751194
7,-19.771651612504403,-19.876196154466484,-19.78448115890715,-19.801806702968932,-20.10733477912706,-19.919117513814065,-19.90246526633943,-19.732968411876982,-19.656715828058115,-19.95983613751194
8,-19.771651612504403,-19.876196154466484,-19.78448115890715,-19.77864024004226,-20.10733477912706,-19.919117513814065,-19.90246526633943,-19.732968411876982,-19.656715828058115,-19.93694012997833
9,-19.771651612504403,-19.8693413566035,-19.78448115890715,-19.774730299645363,-20.10733477912706,-19.912560482819586,-19.90246526633943,-19.732968411876982,-19.656715828058115,-19.93694012997833
10,-19.760279795206866,-19.8693413566035,-19.77601038494644,-19.774730299645363,-20.087561606144035,-19.89387567976857,-19.90246526633943,-19.732968411876982,-19.656715828058115,-19.86758371620175
11,-19.760279795206866,-19.8666458624147,-19.77601038494644,-19.774730299645363,-20.087561606144035,-19.89387567976857,-19.819288825027186,-19.70404440872639,-19.656715828058115,-19.86758371620175
12,-19.760279795206866,-19.8666458624147,-19.77601038494644,-19.774730299645363,-20.07008334632557,-19.89387567976857,-19.819288825027186,-19.700512136963773,-19.627621146453777,-19.81986109025155
