iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.176244636406167,-21.084670853371136,-21.212065620459583,-21.207232322587497,-21.16632800925035,-21.15807136456842,-21.16975110098484,-21.119394845842624,-21.142770118473656,-21.17107529548953
1,-21.09479304350009,-21.25611418052675,-21.192668622343163,-21.147177776716774,-21.19493254909041,-21.290519294822815,-20.96120810458431,-21.063982290982175,-21.14549775085519,-21.322463852867262
2,-21.206674622657573,-21.16163001743386,-21.13607232207896,-21.15547973773068,-21.147537606104187,-21.077852461232617,-21.18883503653946,-21.198928698509306,-21.204932195131974,-21.124234208122346
3,-21.147027899063296,-21.252975688466435,-21.251078636318802,-21.244450375167105,-21.27879118632314,-21.267477971687214,-21.244930739688357,-21.216747357895272,-21.24910413664866,-21.254890232266355
4,-21.201459382625096,-21.241983807095004,-21.171472373218617,-21.16949661607318,-21.169486930970717,-21.238406814837678,-21.225872284634764,-21.139069062336464,-21.21093247467425,-21.32596067371471
5,-21.27912658173585,-21.084292042844503,-21.323234149096173,-21.258752217941762,-21.128753800859275,-21.299117370785776,-21.220748567492578,-21.132738628557615,-21.266497891218556,-21.142354740058714
6,-21.2515798218489,-21.20791406120007,-21.120027242368916,-21.34548290042658,-21.232662499706926,-21.051213208498275,-21.10168250068616,-21.290085428843696,-21.238186206472548,-21.251526094658733
7,-21.073907310347433,-21.052821859567395,-21.007888873199292,-21.22536753484043,-21.17416715441012,-21.136494514942825,-21.261477659653167,-21.208285443382426,-21.071232530925393,-21.14130080897867
8,-21.064245605772932,-21.284179483458125,-21.106696469482834,-20.90126357046882,-21.15564041624269,-21.189639424129215,-21.18399364342141,-21.050841445718632,-21.355978350879063,-21.055012788524536
9,-21.099419886049922,-20.92962324145912,-21.099967632145862,-21.03513198027782,-21.28930394421638,-21.208819327262656,-21.17174652203787,-21.21642617053122,-21.259310010687578,-21.103555447561213
10,-21.202054781200438,-21.107098689005298,-21.12689658037779,-21.03833041760038,-21.128201734656706,-21.092512987399417,-21.2723781313786,-21.1936707928052,-21.31840012593463,-21.00444007054884
11,-21.22360499051606,-21.04656034253344,-21.192032558225215,-21.294315641685927,-21.212464393604073,-20.888791522033536,-21.18625086535579,-20.95321594280699,-21.187998737799496,-21.39978561676165
12,-21.033383257215984,-21.21095977626725,-21.364341188718083,-21.10296286103877,-21.063172731211168,-21.267121539423268,-21.132259623944712,-21.217165082425865,-21.15799488637775,-21.100651753311396
13,-21.221121668379517,-21.25019189748935,-21.233096805276624,-21.230007838365957,-21.21216662981365,-21.354792594918145,-21.323204122616858,-21.117528497527424,-21.160887496732883,-21.03231880448609
14,-21.0807726026067,-21.086453763765867,-21.266866994770567,-21.02381022434266,-21.082813291407398,-21.112606334383877,-21.15010185482909,-21.1786533854196,-21.246336079673213,-21.302995139250957
15,-21.18541872571373,-21.158343582060503,-21.276081750391427,-21.279618777126586,-21.16701898145402,-21.025261498144822,-21.078674902493056,-21.22592743518122,-21.270571637457184,-21.224933762760713
16,-21.035381240372175,-21.14571686587805,-21.092710110534107,-21.101622864644156,-21.09127197835985,-20.953868009622056,-21.30662030060462,-21.232935746813283,-21.3740202409218,-21.232234427740686
