iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.771651612504403,-19.9213185996191,-19.81492231606996,-19.81595603467687,-20.126421322500953,-20.03193104198507,-19.917443120733218,-19.77833625152979,-19.78639618323534,-19.98444876940833
1,-19.65812209392383,-19.791962607185148,-19.651770264124536,-19.581956458537967,-20.02531141687855,-19.82003569413136,-19.70976247248778,-19.66284505169216,-19.441638221553127,-19.602301331505974
2,-19.534416067439942,-19.760882082532262,-19.63341968405456,-19.54425572293143,-19.958785109480495,-19.78905595017567,-19.672094814234004,-19.63253721680472,-19.37737919393241,-19.570961655042968
3,-19.510933596836992,-19.625608384716475,-19.599443144446084,-19.487675255693105,-19.866318208061948,-19.731298813585365,-19.64792937923917,-19.58578293798902,-19.29314318432099,-19.532398137486595
4,-19.483420858397636,-19.615555917099098,-19.559047080042866,-19.449639198706187,-19.85742499680101,-19.67309790906588,-19.637793114014535,-19.494498254309754,-19.27008914132881,-19.521663436996498
5,-19.40629310711317,-19.589418775547237,-19.506229823817492,-19.434198347543802,-19.828075118318377,-19.648381004677283,-19.6181424051882,-19.47612366733587,-19.239441700035112,-19.500063942850396
6,-19.368310593895945,-19.545477948163494,-19.471068099630664,-19.417903849052323,-19.790109389585297,-19.602195641914356,-19.617744290602893,-19.427335377869625,-19.21236570299719,-19.466016632684223
7,-19.317173402819954,-19.53559037160671,-19.390469592169623,-19.400419041349124,-19.753614499541477,-19.581716515374225,-19.61482549019429,-19.407111847192333,-19.19167352807134,-19.443444521587164
8,-19.286076362168714,-19.53300841565843,-19.306669141287635,-19.3975486088013,-19.68420876247294,-19.501505417197336,-19.578644234499393,-19.360993620299233,-19.147780235973276,-19.4396683752083
9,-19.25488765586873,-19.519052285341836,-19.289425049728585,-19.368557892481153,-19.611750119600867,-19.480830944156928,-19.571987201473323,-19.304023507634028,-19.113377302881446,-19.412952094689544
10,-19.214657651003137,-19.519052285341836,-19.261419162188048,-19.340557195050792,-19.561370333125623,-19.480830944156928,-19.513066331748522,-19.254076996618117,-19.06223834024,-19.399803289227854
11,-19.11449843755933,-19.461370868539113,-19.261289933846378,-19.340557195050792,-19.532731287176695,-19.453732674010713,-19.497497565548713,-19.23305030393246,-19.023537425004168,-19.371564687102662
12,-19.068972236882495,-19.43949664180731,-19.257113948810648,-19.334405312019708,-19.4453077657937,-19.38765061401065,-19.476098998190583,-19.19053546422038,-19.00434344770214,-19.35929560293014
13,-19.007602613916383,-19.380971256314623,-19.20019398013043,-19.298364033345564,-19.338738451944835,-19.387070226968866,-19.435087035523182,-19.167497196657948,-19.00434344770214,-19.29655617303844
14,-18.910543653699236,-19.37402251332353,-19.187724305314852,-19.272767039760282,-19.276872352478193,-19.367721227564825,-19.317317477493898,-19.107334902053402,-19.002847279929693,-19.287724192738125
15,-18.86901759604877,-19.349888259780855,-19.17687286528965,-19.20780087980451,-19.23872421719591,-19.323630015031895,-19.279129627688903,-19.01806460135993,-18.95875099733817,-19.28710950157297
