iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-21.176244636406167,-21.084670853371136,-21.212065620459583,-21.207232322587497,-21.16632800925035,-21.15807136456842,-21.16975110098484,-21.119394845842624,-21.142770118473656,-21.17107529548953
1,-19.876042376373345,-19.87405721450275,-19.838051383686732,-19.692999406005086,-20.30595925005928,-19.882576832074054,-19.767672697953532,-19.877420762170477,-19.527497070888845,-19.745016466253254
2,-19.698714305377997,-19.944831999257936,-19.8390162782597,-19.714818385543474,-20.192744013850515,-19.995130121940466,-19.81186089423966,-19.87893603785406,-19.507626247472647,-19.844844048059972
3,-19.696389088590657,-19.74056936563364,-19.774020715091286,-19.711251652021506,-20.04225076691945,-20.00255986658835,-19.80509178261963,-19.866087804189654,-19.464453671052308,-19.82865149025713
4,-19.735762295052623,-19.82011797462563,-19.7732814849182,-19.663287245512116,-20.059996931484832,-19.88111613302038,-19.825737392590323,-19.74978384954229,-19.416519683551147,-19.87828851283944
5,-19.620925331795863,-19.804760792302112,-19.66504727084496,-19.761424603886404,-20.076506999392265,-19.90924355149268,-19.896600310960515,-19.76217108956297,-19.52934512238084,-19.826308048765217
6,-19.673307714762046,-19.82230515199271,-19.72289737681409,-19.81504790116631,-20.032868405496085,-19.873458424435775,-19.918838386488407,-19.75787812280388,-19.481115929934226,-19.850878386295335
7,-19.584010832557766,-19.889306322885467,-19.55839869838904,-19.809501080871954,-20.1178694503308,-19.84674128571575,-19.861056838564913,-19.723087335037867,-19.56366997500644,-19.894874585335543
8,-19.553580583625024,-19.884718704848318,-19.603515742439562,-19.749829219988776,-20.012023984411215,-19.85659506383788,-19.81358254663336,-19.712759742490363,-19.462940883777502,-19.834866278713164
9,-19.608953529734777,-19.900585150212425,-19.649859589747837,-19.731739638290463,-19.916696730201362,-19.926378783052712,-19.862343527190646,-19.67826317288921,-19.480236280655287,-19.81655093186282
10,-19.541666115379456,-19.879319780354578,-19.739166685249735,-19.74410479493196,-19.855496063159997,-19.91134562498938,-19.757971050837035,-19.644295091562743,-19.49757771495529,-19.87755238930003
11,-19.467135438632006,-19.84908577379199,-19.595916180698918,-19.83828835196598,-19.720734497788584,-19.765573525732094,-19.95146062575488,-19.60266282444858,-19.458810138623335,-19.792349759424994
12,-19.389694130867312,-19.83518355343908,-19.702198436868855,-19.779215367021592,-19.68645568396483,-19.7413976870184,-19.747841325029224,-19.55232412728089,-19.405743806748845,-19.98366408613203
13,-19.351927747068444,-19.676350226227846,-19.532833756179873,-19.71120119752027,-19.613107110693022,-19.87197967386197,-19.89987411288338,-19.518114676585096,-19.47640545393054,-19.772722098004955
14,-19.234514103216537,-19.708988060269906,-19.56099081184272,-19.69253459627592,-19.531134921437562,-19.742725746105286,-19.621075505472636,-19.463793243540323,-19.40120868554894,-19.77073506299725
15,-19.120212519824005,-19.694501904173876,-19.726424779717284,-19.48376958593692,-19.691314715488847,-19.642970571205346,-19.637411532079184,-19.349405705947294,-19.38484171545468,-19.667913476772632
16,-19.042434579619872,-19.694039230059666,-19.512240327584763,-19.4600345918324,-19.587912203834037,-19.53596575062752,-19.630767295129186,-19.53955180874102,-19.29798334411695,-19.51741750458672
17,-19.047059619381333,-19.57190336789153,-19.383075402588783,-19.485993719708905,-19.52125723172292,-19.586036545570927,-19.36965165998376,-19.47586220183048,-19.265227330250905,-19.347647803943758
18,-18.992849619268153,-19.565650313622292,-19.40382098187746,-19.60833680278078,-19.604236499542623,-19.52926997677399,-19.472168270660497,-19.288900186373244,-19.186739852905237,-19.34928494867289
19,-18.87710243166455,-19.521667736989038,-19.316921151589444,-19.5540098970759,-19.549184545293063,-19.580970585022495,-19.45776454269628,-19.280292646737987,-19.147031873577276,-19.205144954940494
20,-18.98337720010103,-19.468107255886927,-19.323100638648775,-19.50087586838502,-19.53816080012681,-19.52566629884987,-19.211715475782093,-19.382680374477506,-19.082527194087206,-19.315173790856793
21,-18.79346132632452,-19.495989154062045,-19.194101513181494,-19.36239547312262,-19.56445072221843,-19.409235447817046,-19.28944126395675,-19.36551199397522,-19.041743369442177,-19.23863527430631
22,-18.80449989555035,-19.479311523873278,-19.324170335865958,-19.361186652670774,-19.398731898904316,-19.436294137977626,-19.291987584142586,-19.39671086907783,-19.11403810683806,-19.23452745852822
23,-18.82916625774496,-19.453346857677566,-19.13929893717614,-19.32817546439702,-19.41222030329189,-19.298836415165052,-19.04772335464107,-19.1454471555165,-19.076003424196468,-19.296918181748445
24,-18.58730336975035,-19.411357722983357,-19.068072263220536,-19.15802319432632,-19.33586862697664,-19.292528456659806,-19.10911263304733,-19.2289476005033,-18.857580825646203,-19.20917733067101
25,-18.69658415056189,-19.20126197002704,-19.03209499284644,-19.229616716466538,-19.343868466979643,-19.147271490685174,-18.953638384336617,-19.110825851428668,-18.93204388710027,-19.159805481877427
26,-18.597258704535033,-19.438545118665346,-18.889691361311165,-19.09976333265603,-19.324197441944058,-19.155423442029452,-18.910081683848976,-19.05745801360071,-18.82806134696701,-19.18493675939225
27,-18.641926705219028,-19.314962104786236,-18.834727263840094,-19.076618122755214,-19.15982084705097,-19.060443153226377,-18.970655447323885,-19.01672749432602,-18.83299683717769,-19.16579139426269
28,-18.455704015695396,-19.288310410527224,-18.784677374146945,-19.068353766252287,-19.153674925755517,-19.092803555111374,-18.8579411222243,-18.855617279746042,-18.731456388522716,-19.00342601760281
29,-18.594064595572153,-19.274114650353848,-18.637999153446568,-18.959274619369886,-19.259642689037733,-18.992562563205638,-18.88177939270524,-18.952384018880803,-18.65243678020093,-19.19625158607058
30,-18.489280766776858,-19.321318258382107,-18.6214925923561,-18.961838092589677,-19.350772478627896,-18.952956200403392,-18.83422555538792,-18.943931560744765,-18.683039730222966,-19.193526168726507
31,-18.428311492897244,-19.212289839264344,-18.553226441437364,-19.04633651725777,-19.25260329653217,-18.906361880107745,-18.72374584293165,-18.820695508005908,-18.60893481668192,-19.140805903610627
32,-18.396330629712722,-19.296484141537803,-18.407688434548533,-18.983439243722597,-19.28084189632871,-18.871390873926615,-18.80935069527041,-18.83103926932452,-18.53389873316925,-19.107340600212027
33,-18.31528039029149,-19.324152853568826,-18.4798157613362,-19.001190021370178,-19.166393502493428,-18.85697151675108,-18.759457085611203,-18.780422946636133,-18.52495697824663,-19.15096128140474
34,-18.09246477458059,-19.279037873391246,-18.5447737941742,-18.71620552446876,-19.079329013993842,-18.78521379321211,-18.635422102707807,-18.680415763924575,-18.590210034537044,-19.009636961973378
35,-18.270054229254526,-19.291558986673834,-18.502505348130878,-18.868082180535474,-19.245355857902112,-18.848805308978456,-18.5555783110581,-18.751453957355306,-18.59892565583658,-18.982140899805657
36,-18.234262077185534,-19.32179618316748,-18.407273771350734,-18.96440588129213,-19.20538382344416,-18.720951037194784,-18.725040973443996,-18.736254106495483,-18.32319782247052,-19.001525411393473
37,-18.153414354423482,-19.232967282265992,-18.407712186204648,-18.97893413318605,-19.066157984378712,-18.739390475173337,-18.60685570978637,-18.577624939104222,-18.32973891373765,-19.060263512374025
38,-18.205626248454692,-19.17532116498472,-18.336554556845215,-18.90987291774656,-19.090293482882974,-18.527187717978606,-18.62593197907336,-18.59141555461013,-18.32494297105409,-18.951625909684257
39,-18.195892088250346,-19.100629850044406,-18.402259297187083,-18.828243178749037,-19.090588277117035,-18.476577218517168,-18.580400147416483,-18.483271225726575,-18.19874030471731,-18.937197441645935
40,-18.151694075560613,-19.03631867393698,-18.283658853896217,-18.63975557435352,-18.866196132302633,-18.41734804516021,-18.523047450769013,-18.485581739693668,-18.24982028308755,-18.852599207058546
41,-18.154936676934547,-19.141894845221522,-18.220722083717632,-18.722327407853086,-18.93020981997469,-18.566642922570082,-18.377605341776622,-18.45200258938587,-18.30302505700437,-18.873473076506087
42,-17.96533238281309,-19.05927136280889,-18.185968242883234,-18.60099197097509,-18.80864058132512,-18.52271675277524,-18.571931850374114,-18.407411165977003,-18.154958492222214,-18.793161377514007
