iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1.0232374143235003,-1.0367956417328632,-0.905170933198364,-1.0169382458858005,-1.1551542561892991,-1.0444088860061453,-1.0265762260636486,-0.995189792475402,-0.9776155667492439,-1.0327085523469264
1,-1.0232374143235003,-1.0218039540059511,-0.8300437992369729,-1.0063597423476929,-0.9936512970399383,-1.0165318106382484,-1.0265762260636486,-0.9708637422920083,-0.9368680347821703,-0.9925242261375147
2,-0.9662156573703768,-0.9911370934575735,-0.7837407151777933,-0.91801641801737,-0.8949764102840208,-0.9132340261844663,-0.9052174534108,-0.9708637422920083,-0.8059938092678737,-0.9925242261375147
3,-0.9147480893697345,-0.9202466256014502,-0.7593744484172948,-0.8912458243493036,-0.8949764102840208,-0.9132340261844663,-0.9052174534108,-0.8901110772315071,-0.725123729663719,-0.9419266506431605
4,-0.9040417363319834,-0.8698535678277679,-0.7593744484172948,-0.7796456530277035,-0.8527464335490114,-0.9132340261844663,-0.8937638969337817,-0.8766157884381648,-0.671614256432958,-0.8799089592961756
5,-0.8535356109206252,-0.8336206604708474,-0.7593744484172948,-0.6771408889211701,-0.8399081583283887,-0.7939053471886082,-0.8627725956714404,-0.8766157884381648,-0.6621495033175645,-0.8799089592961756
6,-0.8431658379505178,-0.8206854279653615,-0.6954042857637963,-0.6011317482770684,-0.7715335750502214,-0.7594839761687597,-0.7998166538449473,-0.8766157884381648,-0.6559275154479782,-0.8628838215543093
7,-0.8198633927426282,-0.8206854279653615,-0.654883253895431,-0.5802661216851847,-0.7715335750502214,-0.6982283481638467,-0.7920475286295622,-0.8059998754107072,-0.6341148591689771,-0.854520457458949
8,-0.7624724641566631,-0.7575839991538162,-0.643580388681219,-0.5141788580978438,-0.7715335750502214,-0.6982283481638467,-0.732279519779691,-0.7492165702038568,-0.5851079750412194,-0.8536318604769013
9,-0.6812489105950317,-0.7002657751740925,-0.643580388681219,-0.5051247283631495,-0.711210776655555,-0.6579525632074852,-0.7177838485680912,-0.7000322168891759,-0.5792085198464871,-0.8199714998706398
10,-0.658422324440498,-0.6844163861302126,-0.6260838354945693,-0.4601438289368637,-0.6529332123951082,-0.6549734272016978,-0.6823613214321446,-0.625790007027619,-0.5633350205338915,-0.7207769523279313
11,-0.6204114403709676,-0.6276598838328784,-0.6106850608408689,-0.4601438289368637,-0.6435596124313467,-0.6370848161843237,-0.6420730649824,-0.625790007027619,-0.5633350205338915,-0.6757986072908392
12,-0.592226423282834,-0.5641376200063168,-0.5666056339235273,-0.42410835733014507,-0.6131823632218999,-0.615190038605602,-0.6420730649824,-0.6218972125642075,-0.5421277811501202,-0.6417076213475523
13,-0.592226423282834,-0.5641376200063168,-0.5552637091137965,-0.42028722325916945,-0.5982561806044295,-0.552535973646068,-0.6230646781021849,-0.5403538357016411,-0.5231261593498381,-0.6273508762685273
14,-0.592226423282834,-0.5436816048272022,-0.5441857433924253,-0.4186072980165131,-0.5739369362030704,-0.552535973646068,-0.5931242847798136,-0.4796866167295179,-0.504870246905762,-0.5247512884254806
15,-0.5228012407750435,-0.49593077488031245,-0.5129920035437927,-0.4186072980165131,-0.5570145169365253,-0.5300438130601324,-0.5798334813920264,-0.4559236964894266,-0.5013059894891534,-0.47913567774978694
16,-0.5055509927279203,-0.4816185919270027,-0.47495670490092495,-0.4137155876640508,-0.5281136720367997,-0.4625165764916874,-0.5168779499006176,-0.4421126005281196,-0.4904248920284964,-0.4626263247205121
17,-0.482957037819594,-0.43270519016703834,-0.39559479707516587,-0.35110049492301204,-0.520269486203226,-0.4445404050963556,-0.4864785466668552,-0.3913675621439546,-0.43459067439009574,-0.44167364836925993
18,-0.42680489306720415,-0.3890869048474894,-0.37899305744029244,-0.33604270700389793,-0.3998381095895204,-0.4370177940809569,-0.4666429902697323,-0.368123377584485,-0.39943736446325007,-0.44167364836925993
19,-0.42680489306720415,-0.38635537734584857,-0.32892980975338426,-0.3233017491873382,-0.31272408646725725,-0.395241217787375,-0.4312494645530133,-0.34061430884841487,-0.34229114579000397,-0.42636421239626265
20,-0.4220473855647629,-0.3852095852315399,-0.3199914879992942,-0.27345443950211923,-0.2786662727250228,-0.395241217787375,-0.4136817452146784,-0.32540607519004905,-0.32875402325837755,-0.3827538912620002
21,-0.3956030494768769,-0.338258866218923,-0.3199790886636287,-0.27345443950211923,-0.2786662727250228,-0.3656099627034793,-0.3694259906402751,-0.3085982928006474,-0.32653771659222974,-0.3827538912620002
