iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-2.5410887953442343,-2.5568872521551,-2.6413070973613015,-2.873899567215733,-2.712801530601979,-2.3499441505931244,-2.726646916897224,-2.8800953876227178,-2.265756702185331,-2.9123601598071476
1,-2.1433081909950493,-2.1095737396769234,-1.9537819147497149,-2.2705410534363217,-1.942439723761221,-1.8292517086436333,-2.01314872154711,-1.748987718161724,-2.3710221633593282,-2.551881883498626
2,-2.1649858406107665,-2.304946615573118,-2.006492651704359,-1.9980940990048859,-1.7758322248482088,-2.332688722777463,-2.0665496131838705,-2.1585933014107317,-1.5231108889536311,-2.4321659721122133
3,-1.7690603732735486,-2.3606268245324524,-1.71922406240766,-2.4724238126111002,-2.344735892794491,-2.421407702118352,-2.2539996384877026,-2.1858240883394457,-2.081694187124151,-2.1773651068361666
4,-2.4758429829060957,-1.8205016170140067,-2.1599490325971424,-1.9332687449102592,-2.130219839149601,-1.9890565512658476,-2.2783940211200444,-2.380999833632296,-1.887116431110882,-1.9532585201128092
5,-2.006131340857788,-1.7935471947972343,-2.622980568719907,-1.9722331045666976,-2.5670193287428518,-1.6876743183555878,-1.8501595128209136,-2.309559016708885,-2.046586036252031,-2.404920423281817
6,-2.055489412586569,-2.1006067796250907,-1.7721223445636807,-1.798213392058405,-2.1035944004824465,-2.016751545023745,-1.6212030764626268,-1.965166817169028,-1.9922735275485874,-2.0411182444019023
7,-2.0281348094474874,-2.109543657028172,-1.6656541382125503,-1.6632413896522724,-1.8991305667792784,-1.7471232955458542,-1.897402154460774,-2.056642595874677,-1.7684965615256532,-1.6346760543499705
8,-1.7377659269774048,-1.889467464947674,-1.7552566019653777,-1.7904930150964056,-1.7925568100913762,-2.0111461457229907,-1.991207424304275,-2.25306358287042,-1.5705956320714325,-2.171138639935809
9,-1.4882200010072226,-1.6329797433424753,-2.1449862408866585,-1.790264745919382,-2.00699595597525,-1.6752665364845027,-1.562952331150752,-1.7873482836071921,-2.120951028895134,-1.9676976267441715
10,-1.6727476188796824,-1.5025016996069955,-2.0596795683974034,-1.4100343149917118,-1.7851120030412277,-1.5033766171584702,-2.379913693228053,-1.6507314795097965,-1.8305697161011862,-1.7527588788459414
11,-1.6863499836612932,-1.586223449973369,-2.0834211778047784,-1.5932528739475886,-1.8557001492327154,-1.632857737742902,-1.6080757010575637,-2.1677363837892276,-2.1022974853272385,-1.8065816538745858
12,-1.349825318695827,-1.793367373255143,-1.3690969474649957,-1.7415920237373705,-1.945178836633961,-2.073126873690619,-2.0231041954020563,-1.687190038372182,-1.9058355068109711,-1.7334001516099167
13,-1.5582674283121374,-1.322765932052394,-1.5930603250683388,-1.73790773838956,-1.8074174279170248,-1.3162096627298978,-1.789905554969872,-1.6561758617610243,-1.6890216564564289,-1.9774753152480573
14,-1.7045071732721389,-1.5553571199730645,-1.8669402945866933,-1.5837534626719056,-1.6488814732640398,-1.6935800675934685,-1.408310612059252,-1.4795666714234061,-1.5305604734055709,-1.3420753439360633
15,-0.9439547167113242,-1.7713902172483258,-1.5449865507715064,-1.6155823263100209,-1.8416852515828788,-1.660060695174467,-1.6552127210615188,-1.269415958403469,-1.4893038582360925,-1.7717505691042912
16,-1.4478436744956533,-1.8338999448120685,-1.5456727661242335,-1.545128941028637,-1.6588387855319118,-1.9130601560284197,-1.3060359568224127,-2.035162709338939,-1.466185826081872,-1.1921140516592206
17,-1.3911974713706,-1.637495287966766,-1.0340652644569097,-1.370990228538591,-1.5278780094381537,-1.4789662723936967,-1.575530972613572,-1.2536045008862031,-1.181624172866894,-1.0813463850989304
18,-1.2705880996799874,-1.9328487883962804,-1.3018897570586359,-1.4151317827668508,-1.1962535318362018,-1.7025167913009103,-1.1957018362702454,-1.5662901787876087,-1.2329646548163957,-1.4074630613457484
19,-1.4792730282147326,-1.5934780144562621,-1.3317042944208892,-1.5914800957550956,-1.3385313996156438,-1.2001042240479047,-1.2590383883260097,-1.450778022195054,-1.2755651156152334,-1.419889228068311
20,-1.6265769571990996,-1.5271853367439125,-1.6095116344345415,-0.9702324174573014,-1.4094251081104967,-1.8250022025417425,-1.425385913056393,-1.4641744454730072,-1.154335010792974,-1.3055879866193352
21,-1.2785022770651513,-1.5200908989368414,-1.6766340025176634,-1.290904601836242,-1.4214086246557671,-1.3446227949468113,-1.3150777889377319,-1.4468564947864864,-1.1052093141955397,-1.3208229892193593
22,-1.1585322421250521,-1.4413099916225862,-1.421796989006674,-1.2427071192885881,-0.995959588351562,-1.2851649829128888,-1.1259440679570658,-1.517506231667591,-1.3150701448429092,-1.0580950759209098
23,-1.29629413247601,-1.2854957913983562,-1.1275756286315604,-1.563420020615089,-0.9358880469378295,-1.435844096563685,-1.2161007569707565,-1.1087147188549247,-0.9290822350704583,-0.9651675028715739
24,-0.9925782704854569,-1.1076721288513114,-1.2137062127478562,-1.246914147924453,-1.1225578080293106,-1.422954165220065,-1.0289763552176394,-1.3445723550524245,-1.4716097641304102,-1.3576100619529012
25,-1.547462326415721,-1.1655167087176315,-1.4309074283026901,-1.492335593348536,-1.1495775821038055,-1.0041900958086412,-1.1156398281831683,-1.3423209702732124,-1.504274661436114,-1.4182895310139818
26,-1.0547531978988431,-0.8116355546477633,-1.5355258315567872,-0.9616719793603553,-0.9651707755361009,-1.1963749159093087,-1.2455882432729457,-1.0260827735274245,-1.0958123109870619,-0.7138288850486771
27,-1.3973694682907785,-1.0616532128304932,-1.1791534780947912,-1.0777938908964182,-0.8774814185915105,-1.0756060139336008,-1.2453243113345234,-1.0732169326609284,-1.0945370641122043,-1.1698832377456525
28,-0.8378193740619854,-0.969384569529875,-1.0202857560769716,-0.8900986378668936,-1.3048680261508068,-1.1856607582379195,-1.3121527899367749,-1.3679345042882787,-1.103105486569699,-1.2807529730932765
29,-1.2611194759305575,-1.4208655359293827,-0.923513908022073,-0.8665636027892057,-0.8571074179498226,-0.9352233926263942,-1.3214336698084215,-1.0222544692897293,-0.9802118681494221,-1.5378428069797658
30,-1.261047480946985,-1.0696820520372405,-1.0331517045389746,-0.9058492556857419,-1.4178844616795185,-0.9177701286764494,-0.9920672122610363,-0.9297018422611809,-1.112643453734203,-1.1063265995644938
31,-1.3177592622547785,-0.84520235876496,-1.144443129306337,-0.8645910133682593,-0.9876010355751164,-1.2382171509824023,-0.7616420514913343,-1.333245859986203,-1.0846471527145867,-1.0728787109314388
32,-1.4004397512116455,-0.8576424271720092,-0.8565293260803675,-0.9588318043575967,-0.9976879816258855,-1.0864809074152357,-0.9518972744439873,-1.2017972994160435,-1.099178905306906,-1.1880187919111953
