iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-2.603660694282175,-2.611592224215258,-2.702839594766148,-2.868404822604111,-2.7363002840384625,-2.496521417812119,-2.7821572622933126,-2.802761363735888,-2.323508301677628,-2.791259767778255
1,-0.20300268413028655,-0.4197983534733302,-0.26681921833857625,-0.29236178055076706,-0.3117965734849446,-0.3323947730458193,-0.32943036789069924,-0.38750279334791193,-0.28680698522406467,-0.3370970659115653
2,-0.13615487928677014,-0.27080102751133056,-0.1647459404842562,-0.08407642301845994,-0.058856177899418605,-0.2417847736942286,-0.18855647004711362,-0.2174253960255989,-0.06414205664973074,-0.1916160157512604
3,-0.21811843720874752,-0.27331565403088187,-0.09876918255985126,-0.0894940564587691,-0.20983408047255198,-0.32756602922501954,-0.2615148673156786,-0.24883686329452462,-0.1328155553645574,-0.1451651543003869
4,-0.1906685592949217,-0.30391963125364285,-0.17867636367155137,-0.1939673007829088,-0.2128518633944868,-0.37746319873835377,-0.3665956496127144,-0.286465604753432,-0.09214193045340173,-0.15120847703724966
5,-0.13202696555254137,-0.3200453011549238,-0.27498669338636994,-0.09420267150925953,-0.1506198600513394,-0.31912154077359645,-0.20028801148852418,-0.23688481523400876,-0.15675486952646597,-0.10272091877573883
6,-0.14817383666204442,-0.19006964948435617,-0.15854069142035726,-0.15254829559106148,-0.07471424968675332,-0.41320290628703216,-0.2899944033541531,-0.2870570091171555,-0.09856584688481163,-0.12598870743191987
7,-0.2639182905972506,-0.20864485822614182,-0.1821389166567874,-0.18228190514083012,-0.21758934132826713,-0.32685222515246515,-0.23398225293936165,-0.20188036174967774,-0.10636037767903302,-0.012865935723690127
8,-0.21915211770566448,-0.21747599639334153,-0.06801605206751724,-0.05553202785764906,-0.1795685660264933,-0.17262455298359325,-0.119364373859287,-0.19620754820276684,-0.1419893050255375,0.028930077463772266
9,-0.05445439876793348,-0.1633258157503687,-0.0998484722935564,-0.0945342913063219,-0.09575440534317373,-0.21667516835949158,-0.05642704475833806,-0.17860143891683256,-0.023424127152677283,-0.0988621175344582
10,-0.17549513347160303,-0.19506596418402913,-0.07990287973269626,0.05496226876650301,-0.0382861420904202,-0.25914032990372055,-0.07569283211266173,-0.15251654679820664,-0.04808511831082395,0.0034229748380668126
11,-0.1091908494362085,-0.05844460830569575,-0.08342073830599436,-0.0023781880595151496,-0.009326564411738583,-0.23287447354102853,-0.08538012290467144,-0.10755516387000844,0.08612295806340647,-0.03610743972097004
12,-0.10294152172592028,-0.14057683065055143,-0.09460341523362854,-0.05647800250363902,-0.11079252869787963,-0.14484039954989014,-0.054813816517341664,-0.02457781474731962,0.04290362582398953,-0.01674097270582942
13,-0.11497618542047333,-0.03970072991108332,-0.04338150568792816,-0.11170658444996531,-0.061853765222160864,-0.2387576536459436,-0.07084218691811091,-0.1115330011397947,-0.05346938984990123,-0.1428972148987892
14,-0.07222939485086073,-0.06544886780092139,-0.024770605861202444,-0.04302390108797424,-0.12130210415947035,-0.13292265904255682,-0.003902045154735509,-0.022943090080421166,-0.065480965903722,-0.04886006904348517
15,0.07660683849841948,-0.12977737362983466,-0.0504635484207551,0.02363802187373976,0.004003147834608381,-0.1676393978535031,-0.0507088566605809,-0.0843755581343594,-0.01146607495028866,-0.06759735743695544
16,-0.03235223911512251,-0.1292647619856334,-0.10890315746573156,-0.04821134955808243,0.03434484282965489,-0.2574607493213204,-0.030187508337206452,-0.12174778713707549,-0.07121777777376458,0.06435934407639089
17,-0.0796488960986913,-0.13038728712451264,-0.07960385741686266,-0.024373191886234775,0.04571930630989922,-0.11562149846464323,-0.0314666460517019,-0.1512068615199014,0.03654069797950192,-0.1023159901930196
18,-0.054637746200349405,-0.11111730288331936,-0.01167357944985345,-0.07777308886074732,-0.07232582123162731,-0.1231793416977218,0.02280886713692411,-0.15801904817043344,0.06270408995470521,0.03683500736493963
19,-0.04374081519934951,-0.1214205433392786,-0.11769030460104188,-0.16774590686124188,0.005207111493981953,-0.11570463763384314,-0.07149764345625206,-0.1395766672290951,0.026234931722637064,0.10051794604274283
20,-0.18906157434129672,-0.0007655462252132428,-0.07299991748573924,-0.12192049762709799,-0.06564123744499627,-0.09833496531986263,-0.03550255864316539,-0.07240186625391642,0.018713721050708943,-0.013248576223511492
21,0.01733929833067495,-0.061820142845655665,-0.15916105562735194,0.05281196734467173,0.04096122841656253,-0.13044550420434875,0.024781790921411622,-0.11140783894472886,0.022446387380553434,0.0894330270073546
22,-0.04262986239130528,-0.09974985176663181,-0.16903414304260667,-0.08008959141622582,0.02620694837659336,-0.05930552484302015,-0.07254885649834242,-0.19197137023717192,0.06021613544279111,0.05351801993587846
23,-0.05241258672893925,-0.007715624117817368,-0.2554017655298271,0.07421568107818405,-0.045926764464989986,-0.12779740082843477,-0.07382626916309157,-0.09321221137215131,-0.015924430423023217,0.04023426861402239
24,-0.07968769245754607,-0.009603629698325466,-0.27293023472123923,0.000671111475868777,-0.06190003716416239,-0.044846604941976856,-0.01664404895281301,-0.11105760957793478,0.09897417016940013,0.06199004861357338
25,0.012989524481242302,-0.05360799340229069,-0.10292269972120989,-0.08207277039086651,0.034558277819365796,0.0025204409885996627,0.050911048695746225,-0.10035040644973445,-0.018286141807128307,0.014580680155075885
26,0.03894271451272009,-0.006738219729169336,-0.20853727900784286,-0.10787553097905075,-0.011828586928744528,0.020164107094414685,0.03650820135965109,-0.1044913803158947,0.01565100301917445,-0.037878695152756436
27,0.007749304653885507,0.0081359708824855,-0.14797351109411322,-0.07094178059593824,-0.07593548965991047,-0.08273759545203223,0.04758165009699306,-0.11203170251654451,-0.14492573645317663,-0.04648688974569131
28,0.012898026386044951,-0.01958122635576251,-0.17440804854936248,-0.12727020154023827,-0.15739365825721763,-0.1694637446089737,0.07321364247827666,-0.12024707867577585,-0.0895192692247668,-0.03467990121228585
29,-0.022214077680977013,-0.08086093342978226,-0.3175835760190372,-0.13702258239199863,-0.13042549076494733,-0.21172594526927746,0.007221057265980987,-0.14623959956085095,-0.0999534343251407,0.09723091943412199
