iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1.0377822890915194,-1.122345873237439,-1.107044724254457,-1.0157575600094573,-1.187801567967476,-1.101884845875181,-1.027561351383789,-1.0882330167394407,-0.987142230591431,-1.044421078226295
1,-1.0197708492933548,-1.0613183252326372,-1.077922625114765,-0.9712588218185779,-1.1759505613932082,-0.9731058081605827,-0.9928445186706519,-1.0760206506431604,-0.9664296028541839,-1.0379578264321985
2,-1.0197708492933548,-1.0613183252326372,-1.0173659716477603,-0.9712588218185779,-1.1564016999998326,-0.9731058081605827,-0.9928445186706519,-1.0760206506431604,-0.9664296028541839,-1.0379578264321985
3,-0.9874488454104876,-1.048742042162183,-0.9800939742575233,-0.9667522870195323,-1.1229903618893649,-0.9731058081605827,-0.9928445186706519,-1.0760206506431604,-0.958965761743332,-0.9469183009381725
4,-0.9715285576765279,-1.0084281627538305,-0.9800939742575233,-0.8496417621147416,-1.110139138459846,-0.9304634111555316,-0.9740608133827537,-1.0605877165193722,-0.930743693187798,-0.9249409291429048
5,-0.9447664509449064,-0.9832396160547546,-0.9519996388818088,-0.8443831965374362,-1.0910828631960552,-0.8875164685377112,-0.9636340596386045,-1.0605877165193722,-0.930743693187798,-0.8596265340769869
6,-0.9347834828541042,-0.966279755513347,-0.9078818511591681,-0.8055487514173262,-1.0728785794120257,-0.8875164685377112,-0.9636340596386045,-1.0336159348500416,-0.8537861392389595,-0.8069796107583118
7,-0.934218523175273,-0.9593774331670939,-0.8906289180057372,-0.8055487514173262,-1.0657604391198698,-0.8172589100349466,-0.9324762440900882,-0.9955019754402139,-0.8278924288672997,-0.8069796107583118
8,-0.934218523175273,-0.9510695240674993,-0.8436798598002447,-0.7870429961126518,-0.9686594640020674,-0.7879985381751156,-0.9324762440900882,-0.9078204518831474,-0.7762036672072747,-0.794455173745244
9,-0.934218523175273,-0.9265112534453578,-0.8436798598002447,-0.7529800973726049,-0.9505507270963867,-0.760187629086492,-0.924798288514635,-0.8271309017365046,-0.7680956896146596,-0.7667952517111833
10,-0.8235774170173713,-0.8606812121872145,-0.8224592073478936,-0.7529800973726049,-0.8653095055710993,-0.7451759833417577,-0.8483985923710212,-0.7916189632904936,-0.6922528678491539,-0.7667952517111833
