iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-2.688319746915446,-2.8768054825011267,-2.9850248335391596,-2.800811465602024,-2.529420878503613,-2.8016797815671826,-2.1310540718740043,-2.883391082330755,-2.59779774249376,-2.6437435285290216
1,-3.204511975820939,-2.8399018882391154,-3.7264642364703717,-3.6165416310444205,-3.2659946801313233,-2.42065851973524,-3.4176208529343697,-3.768701488078094,-2.84091883372707,-3.595168243359071
2,-4.746277013067741,-3.922770301336066,-3.1329152633457733,-3.8996653959490954,-4.118499843268074,-3.864849561802422,-4.133145392056363,-3.411300892915196,-3.488715695143263,-3.961339610262197
3,-3.6171812267458763,-2.729719478968854,-3.297627332442059,-3.46956342979989,-2.852390244744897,-3.7220209053474735,-3.5512393909487914,-3.483186416745997,-3.8018190928151134,-2.092119296671483
4,-4.101445661823898,-3.7871503533028346,-3.7370099408239406,-2.7087077910570203,-3.003649285749499,-3.0764297633114985,-2.7007628650426017,-3.5665054330737114,-2.7659287650033493,-3.112787971663371
5,-3.617970205152913,-2.917682359272752,-3.122128288427964,-3.4772898821484777,-2.6362893151946176,-3.161340882781436,-2.4270446573859266,-3.514668953612285,-2.7288753858336863,-3.6286374917869475
6,-3.75184455431679,-2.355208222907379,-3.8903652105053377,-2.803541455101906,-3.1004899593702184,-3.816997778298462,-2.7068477926954624,-3.121294997996272,-3.824760826550847,-2.2079886815634175
7,-2.520615214633712,-2.5175153987012577,-2.195252974516281,-2.6513228452223383,-4.033887973459979,-2.7008108743300574,-2.165760066426776,-2.6032384657181424,-2.0736304364521554,-2.1070075745029118
8,-3.3179386616905098,-3.075764070816499,-3.0854632098234154,-2.9958722709972943,-2.8567469329030577,-1.9890505364526223,-3.496783237920579,-2.510459167314262,-2.484294825871558,-2.070306539966421
9,-3.5934331762111045,-3.2074050460704564,-2.25774087110631,-2.61523988362494,-3.2595574604202655,-2.4301012232235824,-2.9503306173871167,-2.7003531155534324,-3.183380752166326,-2.564387627232718
10,-2.1687296794919257,-2.089882547491467,-3.483306512287342,-1.5712332661974004,-1.915634382719842,-2.738372857339241,-3.507007868560107,-3.0180273539431264,-3.4755587300182147,-2.8146613034757553
11,-2.261941882095579,-2.713961507023777,-2.4178590870011165,-2.542200405480246,-1.9118768131095818,-2.1407497655893106,-2.022095751438953,-2.5200292440172616,-2.177940066846549,-2.1121555974198305
12,-3.2339608961177975,-2.0635339233255654,-3.376292913283531,-2.2607919462958614,-2.803831767745241,-2.0475940767754506,-2.6310935443151577,-2.197402217889137,-1.4724400858206446,-3.0276838842786367
13,-2.3407715827213886,-2.4619993302454537,-2.3920652630402497,-2.360135936800852,-2.155245653618858,-1.225837186888584,-2.032629371436671,-2.2363671117292783,-1.845209892941901,-1.3388672766570546
14,-1.9255625642888616,-2.3805293304827124,-2.106915467184103,-1.947396534213298,-2.6722360177111666,-1.939456754282235,-2.132261294375282,-1.7477550607626111,-1.1844726951076232,-2.074755993341779
15,-2.3108651769386466,-1.9323524656572808,-1.894534914423555,-1.9333004303019103,-2.2140370528717863,-1.0577097981266337,-1.4886492754853382,-1.8834746743390998,-1.290552988364281,-1.3932002796472966
