iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1.0326760158884711,-1.0254033784852448,-0.937609714011439,-1.0435528141853885,-1.1350210795948352,-1.0077329287355634,-1.101873067098209,-0.920062618976166,-0.8616279794047563,-0.989909435344072
1,-1.0317844353392083,-1.0232839813182064,-0.937609714011439,-0.985628922824785,-1.0820929904331937,-1.0077329287355634,-1.067619416467916,-0.9181661366752346,-0.8163372092036436,-0.989909435344072
2,-1.0080860707531425,-0.9801368057532969,-0.900833809927565,-0.9852815574500395,-1.039332482136727,-0.9503493317419301,-0.9920592454722448,-0.8897941909815719,-0.8163372092036436,-0.9641851472157823
3,-0.9227841619424584,-0.9136489756058614,-0.8921318305549719,-0.9075545908552427,-0.9357904168037602,-0.9503493317419301,-0.9920592454722448,-0.8364010571140453,-0.795145112852343,-0.9160579108714406
4,-0.9227841619424584,-0.8360321724807391,-0.8824656529314583,-0.9075545908552427,-0.9295705183128191,-0.8590824640660621,-0.9643575789301495,-0.8326991823799889,-0.7566431839291622,-0.9160579108714406
5,-0.9227841619424584,-0.751828635570132,-0.8554863325398965,-0.9075545908552427,-0.8869868171296535,-0.8282372888460192,-0.9643575789301495,-0.8193897628533883,-0.7566431839291622,-0.9141303254406027
6,-0.9227841619424584,-0.7505764946078305,-0.8180007271277935,-0.8704593053902892,-0.8869868171296535,-0.7986800763163,-0.961967889259327,-0.8193897628533883,-0.7208793014613665,-0.9097651336364307
7,-0.8420817681246846,-0.7014467801755186,-0.7861033539295751,-0.8344572345417218,-0.83897502603359,-0.7986800763163,-0.8325981671166718,-0.7932875041116676,-0.6839822589146466,-0.8762954508255391
8,-0.8294568258383632,-0.6424781586693088,-0.7632523567353375,-0.7509334182424929,-0.7290690988047291,-0.7986800763163,-0.8135342700144144,-0.7412730855665102,-0.605464585794677,-0.85893379727523
9,-0.7707720613696596,-0.6424781586693088,-0.6762203806172756,-0.6894808046188152,-0.6857488450659762,-0.7008282008414572,-0.7788403626665068,-0.7345671500108204,-0.592507443617736,-0.8352334559239083
10,-0.6814638887186938,-0.592833395648757,-0.6579814600659228,-0.6792175317864164,-0.6501554556020437,-0.7008282008414572,-0.6855586021425388,-0.6721912668629206,-0.5530513992847974,-0.8352334559239083
11,-0.6691951390521709,-0.5926044321928247,-0.6579814600659228,-0.6516643227178487,-0.621229008706264,-0.6729033059915657,-0.6611366414978551,-0.6295607025324661,-0.5192497300836785,-0.7766628024577806
