iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-2.603660694282175,-2.611592224215258,-2.702839594766148,-2.868404822604111,-2.7363002840384625,-2.496521417812119,-2.7821572622933126,-2.802761363735888,-2.323508301677628,-2.791259767778255
1,-2.178219877452799,-2.415470780535629,-2.4846578873401377,-2.084029260146381,-2.375783465591507,-2.3229872280048944,-2.0782573025328475,-2.066565244941862,-2.241008230197746,-2.2176490361886274
2,-2.1655050489233467,-2.140140675324096,-2.037955432885927,-2.101373118509044,-1.9152110722845048,-2.2769965471595905,-1.9293237321932601,-2.252230146130534,-2.403596097849382,-2.216010461333203
3,-2.1673100725567593,-2.043298496868251,-2.109234757313522,-2.02112200630882,-1.8202953364692167,-2.123952697675229,-2.2147231817476043,-2.1305794953913946,-2.0945409355568936,-2.0978071374908076
4,-2.340978680225353,-1.840249076970708,-2.160758642070802,-2.159766950438142,-2.226273715177178,-1.9417262199196128,-2.39310729066029,-2.0373705139698317,-1.4278613966514662,-2.8780336211062734
5,-2.4546362378849214,-1.819044429885591,-1.9682078432395897,-1.9482354131415374,-2.071405678986462,-1.8683755372436,-2.012909328976434,-1.9055355354191612,-2.176828308595205,-2.4569689162440964
6,-2.272141885263303,-1.9062331459842712,-1.6705897281153086,-2.0076579222441184,-2.5951713864403194,-1.9347354295160297,-2.4080415530571906,-2.2009508979913917,-1.9903679204139193,-1.7697978015835898
7,-1.631524317494291,-1.9560295044068265,-1.9573541775511951,-2.0541817493585413,-2.0193957786030747,-2.5547168634304622,-1.6619949321709397,-1.6849038831720755,-1.5262535430730784,-1.8960523207846858
8,-2.2390362391626466,-1.5667173170726945,-1.9280774995388952,-1.629160561166578,-1.4553058207149459,-2.023053264058758,-1.6032213734517353,-1.6050302715668883,-1.5331722095686882,-2.0277663853590613
9,-2.164590920160423,-1.905585069886178,-1.609190472865648,-1.8422592171595737,-1.84460362302015,-1.6221714773927003,-1.9743861049639668,-1.9306808308660386,-1.7661910794833355,-2.498211836953428
10,-1.5629560688217916,-1.5981989567924275,-1.7937799700447905,-1.619863878717998,-1.7998923038141408,-2.0061348956844305,-1.55987840639648,-1.8720640879965709,-1.6789009925907306,-2.0636270351799877
11,-1.8135918607525503,-1.7971797849184528,-1.6778751785669268,-2.0251211295140696,-1.86916667570591,-1.8173345729266803,-1.7675113141087229,-1.607110462110716,-1.6716865048765346,-1.7577193551573704
12,-1.856013795539229,-1.9219035082461837,-1.7543921482575056,-1.6673616396975335,-1.8523105332583893,-1.846601729811434,-1.2833986172196346,-1.8971167051230982,-1.5636413211479114,-1.6963449008319538
13,-2.0318801226689023,-1.5036254865741396,-1.8278117203061701,-1.1910732982135441,-1.6503201680430055,-1.5158554905408634,-1.6296857389854615,-1.6607355494258627,-1.5212730103683556,-1.7921269461177574
14,-1.5410460785040718,-1.2423690290138705,-1.817560279581703,-1.5748348438148752,-1.4536471336914376,-1.7366597308677778,-1.5521228465559478,-1.6921046207944377,-1.5136886939011958,-1.8618016420695747
15,-1.855015367641259,-1.800843832294826,-1.319377384750132,-1.697912541872351,-1.5354018121947977,-1.9762638944619086,-1.3998703672105908,-1.4171461505894483,-1.4970090074764835,-1.8051637806060228
16,-1.6629247649513066,-1.52917497755688,-1.6931702155265116,-1.5165233323290344,-1.5954432549245836,-1.458115788715931,-1.6007336998236714,-1.4273587920644826,-1.9444867891534896,-1.6136482820562432
17,-1.5662501131128257,-1.4837816876900127,-1.6172867549087298,-1.384506810614091,-1.6821177540682828,-1.5538310521947942,-1.2591371797277229,-1.444336049740273,-1.294559814575222,-1.5172864662745142
18,-1.392867515853607,-1.5189274519286013,-1.4776843182441524,-1.7414315233760598,-1.1361491958251038,-0.9925597558722229,-1.0492842386099874,-1.2652470083940663,-1.3421710351538207,-1.4626247243265755
