iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1.0326760158884711,-1.0254033784852448,-0.937609714011439,-1.0435528141853885,-1.1350210795948352,-1.0077329287355634,-1.101873067098209,-0.920062618976166,-0.8616279794047563,-0.989909435344072
1,-0.20067806302989577,-0.3970922023484527,-0.27022523476270555,-0.2601096343307254,-0.2945356965117522,-0.32220169550080924,-0.29405123076319795,-0.3836829451410493,-0.259394075477951,-0.3238182191566557
2,-0.10097657730227291,-0.2419295294031317,-0.09160998452117249,-0.09428290767451228,-0.10053688099211411,-0.19932178475566575,-0.11754721962622824,-0.2919714461610097,-0.14810125530744794,-0.09654304226134769
3,-0.01186543970464956,-0.1365776999576245,-0.029984534349227404,0.029604545871605333,-0.021196992470405095,-0.17021981040864936,-0.07903369723391801,-0.1432783091620094,0.0038343339729253675,-0.06334959280016675
4,0.05903098255357198,-0.10927174001902959,0.00422927478765317,0.10521105882027416,0.006942524614761794,-0.11598308241114347,-0.03394702139761535,-0.10903016507829075,0.03797844105013449,-0.036317777854539164
5,0.05903098255357198,-0.07399052352109753,0.03873178042464532,0.10897946164165304,0.03241709082085285,-0.10963519074469577,-0.02641968115135675,-0.061324262879842766,0.08088525904117186,0.019646400998575987
6,0.06812765675567486,-0.026569383069052502,0.075971916817755,0.13537175566088247,0.0439062180082206,-0.09666505530657217,0.017106864376490394,0.005907098330317696,0.12572296569744792,0.07132698346979809
7,0.08474528210773165,-0.016755194585843923,0.1078466868283206,0.17421378542863356,0.05537078874002173,-0.07891597514443655,0.034788520350320096,0.021919108630722346,0.13855762531755722,0.0917116746386536
8,0.09863380516462411,-0.0002354589825615339,0.1078466868283206,0.18968337345555802,0.09737466873436235,-0.020987931577812168,0.0616433426954026,0.021919108630722346,0.1407382051014916,0.11732547455087568
9,0.15454772318759527,0.03668466158450201,0.12131930122350684,0.19495698577336845,0.10664939323694751,-0.013463583557056819,0.09102325058890093,0.07256893378639091,0.1602976989397359,0.15042000988190712
10,0.15771861612303265,0.05312296946788128,0.14629027447639475,0.2124402939135417,0.11548917766872134,-0.0003955310223133536,0.09102325058890093,0.08070315049820066,0.16427768526443354,0.20913669391662087
11,0.19695865256109288,0.07538258827552052,0.1668702854183049,0.2124402939135417,0.16217092144270934,0.023867993498094882,0.12420738561892897,0.08592971017717804,0.1846109124630407,0.21176692580456033
12,0.2059801166326089,0.09104605828306665,0.17934950393906812,0.2124402939135417,0.1852972949985563,0.024133641443761893,0.14034957767580616,0.08883408240278046,0.2151251801812613,0.21176692580456033
13,0.20914930689013406,0.10562402212372374,0.18181162755691474,0.22027603537323626,0.20925728213730163,0.06339581379002406,0.16513934050223344,0.11235640248849432,0.2312532817684627,0.21176692580456033
14,0.20914930689013406,0.12448316691991008,0.18181162755691474,0.2352263859032973,0.20925728213730163,0.07277123265834357,0.1729372710191297,0.13743760403154326,0.23889944577953445,0.2209351516648858
15,0.21746607312789049,0.12961169502405534,0.18181162755691474,0.24461906565988478,0.21364381136145805,0.07849308839730433,0.1729372710191297,0.16303049332719993,0.25811544456779234,0.2397589205436986
16,0.23651122837973737,0.14830726974084357,0.18346179887851388,0.26971078271237614,0.2281204071394652,0.08440629089571879,0.19523097134805617,0.183378388529001,0.2684115236578045,0.25008387564122514
17,0.23651122837973737,0.15569164130230057,0.1852673158382463,0.26971078271237614,0.23651331948553475,0.09194172421817193,0.21221615282954176,0.2097130178705968,0.2756921513751346,0.2563776383853662
18,0.24477922853254563,0.17227696166270212,0.19377362535651443,0.3015549642223445,0.26851167070513915,0.09194172421817193,0.2451673454561645,0.21669343274710054,0.27936019345956054,0.26152732346374985
19,0.2558547345465101,0.1944919950162119,0.22107269960516424,0.34083872725570763,0.27569659918523315,0.12371473528349042,0.2510414257382602,0.21669343274710054,0.3085743833093231,0.2617458190465119
20,0.286722613502546,0.19837441208304551,0.24592871859431958,0.3521159702214338,0.28101444429048117,0.14351826626096173,0.2596601132009165,0.23947849042178826,0.3085743833093231,0.2635921029304522
21,0.30636736139462245,0.21638730885141422,0.24592871859431958,0.3539614894251557,0.28363944076497116,0.1720403040102789,0.2920320985477807,0.23970150745248253,0.3085743833093231,0.27267685943651854
22,0.31522229370849614,0.22407862453898147,0.24714461665664622,0.3640107688263319,0.29221295447779494,0.1788191259482872,0.2920320985477807,0.24621542432526206,0.31088011476347066,0.2872865170505312
23,0.3304953384163052,0.2491780101506773,0.2491181314991328,0.3644093650035568,0.3229191269756257,0.18236476450997996,0.30285910135895927,0.2542206337782452,0.3141035847664121,0.289762413050949
24,0.3304953384163052,0.2576724323164317,0.3015965794409291,0.36551378981843324,0.32747310466943164,0.1840680512861828,0.3065500001212129,0.2542206337782452,0.32209622254988346,0.289762413050949
25,0.33239702648551983,0.2576724323164317,0.30590602549984536,0.37179534106281276,0.3414548390129946,0.1840680512861828,0.3227981119428021,0.2542206337782452,0.33004498762466067,0.29112995479870213
26,0.3333948693997526,0.25990646423202807,0.3400115507366609,0.3850696584558402,0.3477401458671775,0.19328253305284318,0.3404905621018497,0.2542206337782452,0.3329071454576088,0.30037206358735263
27,0.3333948693997526,0.27018575483805085,0.3400115507366609,0.38872547524252105,0.3539508495574504,0.21577043881181174,0.3404905621018497,0.2691710434786695,0.34636602771237496,0.3010467434717939
28,0.3394328845767024,0.27496168744200017,0.34940808491878084,0.38872547524252105,0.3668007921445758,0.22544048926113514,0.3404905621018497,0.27476404635742724,0.36046855725003485,0.30177177014126894
29,0.35905158322997155,0.28286051766463627,0.34940808491878084,0.38872547524252105,0.3668007921445758,0.22705149899990976,0.3556810648781664,0.28079061266901406,0.36248557988477514,0.3103947186965828
30,0.35905158322997155,0.28286051766463627,0.34940808491878084,0.38872547524252105,0.3737677809905616,0.235822121065739,0.3590748856806414,0.28079061266901406,0.3757497963227405,0.31102194109088926
31,0.35905158322997155,0.2987241122270733,0.34940808491878084,0.38872547524252105,0.3737677809905616,0.2524595634587239,0.3590748856806414,0.2918545423991492,0.3760567175915397,0.3229369820770806
32,0.36062354128183305,0.2987241122270733,0.34940808491878084,0.39007331287480806,0.3774827897896246,0.2657089948430681,0.3658566506486529,0.3031186176087594,0.3760567175915397,0.3398356341978238
33,0.37499332003412233,0.2987241122270733,0.34940808491878084,0.39007331287480806,0.3774827897896246,0.2800595632729308,0.38170718032226064,0.3031186176087594,0.3915619434363366,0.34130584144865117
34,0.3784054254831306,0.32454611851502274,0.3604236194241871,0.39007331287480806,0.3933090913155699,0.2800595632729308,0.38170718032226064,0.30348710809738433,0.3915619434363366,0.3521486564132924
35,0.3784054254831306,0.33341958774571767,0.3787388901849118,0.3988558141384527,0.39454572977292096,0.2800595632729308,0.384048576627536,0.30348710809738433,0.3950524806179568,0.3599021106815627
36,0.3849721440706003,0.33341958774571767,0.38536560495510325,0.40678613382048284,0.39454572977292096,0.29177133859700377,0.38676984425223343,0.32265727815138057,0.3950524806179568,0.37249659814895736
37,0.3849721440706003,0.3515068649395236,0.38536560495510325,0.40678613382048284,0.41642638810096205,0.29725498435779546,0.38676984425223343,0.33303728291574397,0.3996148888785208,0.37249659814895736
38,0.38790335692418376,0.3515068649395236,0.38536560495510325,0.4166996003080245,0.440260311801675,0.31461360301895036,0.38676984425223343,0.33303728291574397,0.39972386161979206,0.37249659814895736
