iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-2.603660694282175,-2.611592224215258,-2.702839594766148,-2.868404822604111,-2.7363002840384625,-2.496521417812119,-2.7821572622933126,-2.802761363735888,-2.323508301677628,-2.791259767778255
1,-0.20067806302989577,-0.3970922023484527,-0.27022523476270555,-0.2601096343307254,-0.2945356965117522,-0.3226969669655311,-0.29405123076319795,-0.3836829451410493,-0.2675294506829343,-0.3238182191566557
2,-0.21496783766735172,-0.3626021459282401,-0.19844049044531328,-0.18135178378958894,-0.12293930859209425,-0.2544477119439603,-0.20842395029524308,-0.3558203666884508,-0.2145695501605394,-0.14894023395262432
3,-0.2021982025756125,-0.2655854759712818,-0.3631674373357344,-0.188275032281837,-0.18680639383537045,-0.4275158888232976,-0.2657038399498213,-0.1612369178665015,-0.15539439919655235,-0.2686087426731212
4,-0.1740960743394208,-0.3332458790383598,-0.218698376827697,-0.09196057030300613,-0.17763116833634718,-0.3828010943115753,-0.274430416975305,-0.3604482757585718,-0.11939721929740499,-0.297564638087649
5,-0.2207698828797457,-0.3244346256023155,-0.2336613709080999,-0.20089117126269687,-0.2815358712503207,-0.33041292116681964,-0.2557064985941033,-0.19933724431896976,-0.1765785396103673,-0.1769281022408812
6,-0.15803757459713974,-0.3228908701428689,-0.15321263536773758,-0.21637608194436314,-0.17298079738526811,-0.29064809520543977,-0.23470704189158736,-0.2156175689965028,-0.14626199960067868,-0.13187839931879597
7,-0.19723269344879008,-0.22401689108142528,-0.1913597584589084,-0.12993619352936475,-0.25729270804104437,-0.3487299516172945,-0.2908553876529606,-0.24886639154222123,-0.14270172017487043,-0.14573300626508107
8,-0.23589937360982782,-0.1944866714608478,-0.17052143017162996,-0.1408956553796143,-0.1282966168069311,-0.2335919832971412,-0.2057750938899212,-0.27141218013613355,-0.15174312491973102,-0.1378250579491822
9,-0.05509203521167276,-0.1574564126253586,-0.11686683702027986,-0.1530284269633978,-0.26449792385799603,-0.2813583764756151,-0.2395658329697905,-0.09600135979028625,-0.09336449991018841,-0.034896945284863756
10,-0.16481566618586713,-0.19485597023759932,-0.004600355908607204,-0.040164498449672736,-0.21795632839295953,-0.3457177715957432,-0.2892462880302288,-0.19026120225058607,-0.038395317297802926,-0.08978281877444674
11,-0.1388345038672582,-0.23057755109993733,-0.1494581595905893,-0.1458124656393259,-0.13593022249263248,-0.15440352160759924,-0.07050233479646399,-0.21007986393872524,-0.0940061241039315,-0.008166957302921947
12,-0.06732380845084825,-0.04748975826648306,-0.10346845914454231,-0.1015586786660316,-0.08494957866035491,-0.21749495860359505,-0.1411511352749864,-0.1681083269691409,0.0016811087860973614,-0.22580920743064303
13,-0.10937114482258462,-0.1412228321184596,-0.07747130522626355,-0.010333331095319016,-0.0665245511061861,-0.22268194585091292,-0.018641360914944116,-0.17948358947416115,-0.12044788780765657,-0.05139659438140556
14,-0.14961372074255314,-0.17909636230945114,-0.053367977225385846,-0.051695192876458844,-0.09142391653768081,-0.18606844513948473,-0.12334862195059626,-0.178296960820748,0.02443707745061937,-0.023008929032574645
15,-0.032706864276970844,-0.18803204140514299,-0.14707396203499484,-0.011631721365976865,-0.13968073151189953,-0.21062559266486217,-0.19224550849835303,-0.033018515715159014,0.04742243677798083,-0.10748485900034109
16,-0.07240337113052249,-0.11179595245806796,-0.1663567173131975,0.018706408971943617,-0.05967889157544365,-0.25609142582316335,-0.08282935391990645,-0.14772817284553777,-0.046571585655045086,-0.027791919672632566
17,-0.0709647176230069,-0.15965510449522757,-0.10252273995909059,-0.10268219335325679,-0.07132089454496485,-0.2591530031568248,-0.05703163080117567,-0.0659225102371043,-0.027953972151038054,-0.05952589616397904
18,-0.12508869876318598,-0.16629264604767108,-0.08753974900812893,0.008915177204553886,-0.016452101638279565,-0.22328820596584412,0.0006642255307887472,-0.0351001806090201,-0.07305065679649933,-0.1401500518424203
19,-0.07698727677118057,-0.11585481323607892,-0.08375524453742897,0.02447977466922627,-0.12895824145022203,-0.10098126209308082,-0.08713337786430009,-0.10717331910147851,0.12066531521574529,-0.040227618776943176
20,-0.0019367852165321914,-0.15402070365486692,0.04953845984300455,-0.045672181119374614,-0.06274455985699519,-0.2272875953176971,-0.039844606959039214,-0.08093659691255689,0.038166133599948776,-0.024344260202969085
21,0.04423532335617899,-0.05305761665090956,-0.19617412668293024,-0.010482286948640004,0.023695325746788634,-0.0824777701328691,0.1536914385155621,-0.0777614684468663,0.009765405365562266,0.036978093223852794
22,-0.009851783600443774,-0.06775690198041256,-0.07985281273872688,0.008007228478328776,-0.1413840709282162,-0.08596612336688278,-0.12428324024273399,-0.035515775990897704,-0.07516156102919086,0.05452090924518481
23,-0.07446813918447638,-0.05240093451295205,-0.1564025540614287,0.027474645311729304,-0.004524443895770952,-0.10799281528887844,-0.00013172590386568983,-0.07515687835511238,-0.029894831940905652,-0.014995562184982422
