iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1.0326760158884711,-1.0254033784852448,-0.937609714011439,-1.0435528141853885,-1.1350210795948352,-1.0077329287355634,-1.101873067098209,-0.920062618976166,-0.8616279794047563,-0.989909435344072
1,-1.0326760158884711,-0.9889020247376099,-0.9366824149497144,-1.0435528141853885,-1.0987526677428225,-0.9750172547567165,-1.0648833528174881,-0.8279286390174563,-0.8577971873325843,-0.9885538996259069
2,-1.0326760158884711,-0.9889020247376099,-0.8911199069372187,-1.0157180799912227,-1.0928329707616316,-0.9469462011458244,-1.0102070939167305,-0.8020316267857569,-0.8549392918857877,-0.9719942891173566
3,-0.9751341590952891,-0.9790465479158136,-0.8911199069372187,-0.934117405795676,-1.086943770817036,-0.9357951410730567,-0.8868534816568453,-0.7632159772854472,-0.8549392918857877,-0.9719942891173566
4,-0.9340129042676185,-0.9561677764588632,-0.8911199069372187,-0.9333479223764769,-0.9841402343733454,-0.7979429748184601,-0.8868534816568453,-0.745497063561502,-0.8279768230605585,-0.8991249157853974
5,-0.8916087586359475,-0.9498739739146524,-0.8911199069372187,-0.8371271665921705,-0.9804684543192426,-0.7440984339821036,-0.8868534816568453,-0.7241876034513959,-0.8271526951224668,-0.8865290519127316
6,-0.8647721013270527,-0.9498739739146524,-0.8911199069372187,-0.8079829667743192,-0.9804684543192426,-0.701435971985457,-0.836865504014688,-0.6805980060315815,-0.8042529164604733,-0.8684181529832844
7,-0.8594601282101041,-0.8820069939327082,-0.8881622494288359,-0.7900140264761337,-0.8993833086034129,-0.6999894690992279,-0.7940184441875061,-0.6689819944576356,-0.8042529164604733,-0.7481406881399262
8,-0.7930230810378339,-0.8718562372142004,-0.8881622494288359,-0.7678186199338423,-0.8796314427191804,-0.6678915422747531,-0.7508883174446306,-0.6685922294969951,-0.729320016007514,-0.7481406881399262
9,-0.7930230810378339,-0.8626525234973688,-0.8306228161021404,-0.7678186199338423,-0.8556635377477638,-0.6326657592972115,-0.6634172758867587,-0.6685922294969951,-0.7125204967290637,-0.6615685774842748
10,-0.7930230810378339,-0.8395318457779639,-0.7371366415320006,-0.739530402350836,-0.8109100645328076,-0.588428341082377,-0.6634172758867587,-0.6685922294969951,-0.6598660418292945,-0.5863980733797144
