iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-2.603660694282175,-2.611592224215258,-2.702839594766148,-2.868404822604111,-2.7363002840384625,-2.496521417812119,-2.7821572622933126,-2.802761363735888,-2.323508301677628,-2.791259767778255
1,-2.93513363658991,-2.447770884039566,-2.245806288588034,-2.1275182375857558,-2.200050162368223,-1.9849525747944017,-2.3226788813136654,-1.8963874666620275,-2.0697871816071522,-2.241767996819015
2,-2.2126029035363435,-2.109428101888961,-2.031928789423887,-2.3304898694596354,-2.174103460590901,-2.2541428442359086,-2.4976121258847828,-2.0127057958014447,-1.6934372806634217,-2.0863383754865517
3,-2.527502445954661,-1.9324701969211442,-2.1990784307446365,-2.128348849567867,-2.5251491319945902,-2.1593497186952697,-1.8135275021276693,-2.282423278522522,-2.4014193105116366,-1.9651266783749834
4,-1.9849687446190563,-2.36386449103201,-2.1295786598706794,-2.19519856001733,-2.2959025154888115,-1.7162042788109504,-2.454079158239205,-1.8104197095552228,-1.8919908194414754,-2.092209063907938
5,-1.8963782702509533,-1.9847458585749913,-2.2140547678517883,-1.947519746179944,-2.351412323231051,-1.8453658594680045,-2.4556652767737734,-2.4574508313092087,-2.0953892709026465,-1.8579598852352297
6,-1.7722070609175042,-2.3137701999084195,-2.1704935928174542,-1.7923319263140454,-2.010814633983086,-1.734102752716589,-1.6635891450720215,-2.0694159821982234,-1.36696997633199,-1.8786477348494184
7,-1.9442872328352874,-1.7829503415290764,-1.7459412034543482,-1.6894957649543336,-1.982862780018735,-1.6124914667796675,-1.8342680862650171,-1.9502493639579672,-1.9359520216723352,-2.142051818904294
8,-1.8689243211958388,-2.2662345115441993,-2.1921824744567484,-1.8265654448186661,-1.9527152255009415,-2.1944038070908447,-1.7541911258164085,-1.9978482583562587,-1.7857230061826943,-2.1424648307118717
9,-2.1424635267839895,-1.8586679477125994,-1.8879614819719852,-2.349408764512695,-2.0704218663020675,-2.2819630474124044,-1.4582337378654957,-2.4278451825229808,-1.998294582574275,-1.6619975172239632
10,-2.0792200772374017,-2.0837118958338054,-1.8042639201167643,-1.597521041683428,-1.8867261969082065,-1.3278941975748761,-1.7987030748941626,-2.0924379657085037,-1.5126416804747003,-1.858690238926756
