iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-2.603660694282175,-2.611592224215258,-2.702839594766148,-2.868404822604111,-2.7363002840384625,-2.496521417812119,-2.7821572622933126,-2.802761363735888,-2.323508301677628,-2.791259767778255
1,-0.16800332305674476,-0.3511581672353187,-0.21473432381617064,-0.19352632900063144,-0.21500265150191974,-0.24519373270101633,-0.2455075170496678,-0.3137301481923994,-0.22882800598362094,-0.2699646469199744
2,-0.06634391541331451,-0.3633615836774188,-0.13384151566427926,-0.08124448843334642,-0.10647854968530035,-0.2476928461325133,-0.19329301813001426,-0.28945332308541427,-0.09819580373736714,-0.13640172930078
3,-0.035929613767706814,-0.3750566229858967,-0.09401450002659609,-0.06893675149608511,-0.22089782389712037,-0.3202911224663203,-0.3434737700112568,-0.19452924090201473,-0.06413444868020651,-0.10722255552858123
4,-0.08037910258652377,-0.30879697583430243,-0.14435321889677208,-0.18732726727056637,-0.14252877056165145,-0.3544999431014961,-0.2974744573779674,-0.17567302557251457,-0.13567469832574602,-0.15238301410682495
5,-0.06074145534752506,-0.2950574929273495,-0.0980042131454831,-0.10181723175925285,-0.1733842469334852,-0.23968922225124467,-0.23501059480996425,-0.1966431385872535,-0.16301955640817817,-0.06806440166560813
6,-0.07015602898143028,-0.21574366645361992,-0.09082679882668242,0.02102032837344866,-0.2137803375872629,-0.1363441329162704,-0.17040374179294956,-0.1701976570626778,-0.20064290806716473,-0.007748915805233705
7,-0.017889887643145204,-0.16462662106247727,-0.04558191454113858,-0.07621731658724522,-0.07640602223160223,-0.12486779490410393,-0.19722290558225075,-0.13675185110269233,-0.07578502021349103,-0.015846369169324838
8,-0.09761282771115717,-0.20246565245397213,-0.006603312312433936,0.01604028987035859,-0.05505314718988728,-0.22345819340736128,-0.09741021719987163,-0.12883031889991428,-0.19306296373587783,-0.05497301004272892
9,-0.03089193994808795,-0.08438288496298536,-0.12428144839083051,-0.04916064103957073,-0.03296063637060591,-0.09852499149376667,-0.09763662355230612,-0.12463361459765188,-0.13511943780469077,-0.0150717593329029
10,-0.08571357106675398,-0.11720390000702856,0.018690935878339476,-0.01225459940723313,0.062146959326302445,-0.10397468184100518,-0.0717483645099549,-0.0815153737731282,0.009075352584382482,-0.017633106978940175
11,-0.024385026645720932,-0.09056889497712385,0.05132891258421358,0.036963767998566946,0.0440429764678901,-0.1600087492119613,-0.046524947991754786,-0.0742864928368652,-0.08230203642852113,0.011140015735617324
12,0.036987788786291144,-0.027188916073656998,0.11069267518126383,0.09746566593037415,0.03449306484507285,-0.09838347219191607,0.01873229393104844,-0.03140960317813866,-0.024803111648595798,0.022050767939483885
13,0.12859616400499685,-0.12917598930274202,0.0010583523656933908,0.15467655519576223,0.044519253293166874,-0.055787089068795814,-0.0042427347571410146,0.021062802576665,0.0011882471278771706,0.10223702879776689
14,0.1304721317714951,0.014425454414626063,0.09074049451502542,0.0841015734491856,-0.005231118209454523,-0.027505556310208425,0.04133344290971061,0.14876375246154055,0.06498809832602459,0.19894961461498356
15,0.09049347182910744,0.017378280420027092,-0.00892753888643611,0.0863592827676869,0.1331006923113747,0.02324622492157593,-0.05032825721806093,0.13947180191798086,0.016103184312268346,0.12230446228479713
16,0.10510277943523336,0.0469075090000288,0.1641018115595859,0.0914419609042903,0.06294504755718756,0.052108255245008187,-0.020802656561121086,0.1214635538845272,-0.03883127480055164,0.08583580867453094
17,0.19603272595351587,0.011143711528671694,0.1662380606001907,0.1386656143959601,0.1356342591754388,0.03283382616660928,0.07809390306093264,0.1028830561706163,0.08136158878228636,0.15184096741626407
18,0.18943479036011182,0.06274238957979028,0.12874715387862976,0.14281086059191433,0.10096678312355858,0.037507623196722094,0.10373308082630611,0.1001105056269592,0.16773499696348057,0.14791888936333664
19,0.11217780100230937,0.08277437973921514,0.16339006859909935,0.10550999020752072,0.12983259553867474,0.09284703583088923,0.08652856444237718,0.09472249785050864,0.18048594792551975,0.16514162632823462
20,0.10141916333081852,0.15974923350237194,0.13644861194099075,0.13017773411057115,0.15840422119026995,0.107146897313912,0.1270423364959297,0.1749254669247376,0.15929486414794253,0.05284292192600923
21,0.12854387227649025,0.1314228861760338,0.07645462622860245,0.11360547727511064,0.18466175438221483,0.12720515584216466,0.171571322395182,0.17791543405691584,0.12879331075393033,0.12563797442837885
22,0.2260013007715908,0.10819349911729575,0.19370498523824875,0.13774482083570913,0.23642444896126572,0.141336060357914,0.1182204334578747,0.1728499827868932,0.22142194692394704,0.1791429966575612
