iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-93625.71835757948,-82488.76513301273,-92226.25745176699,-103440.62280000796,-97891.49161050725,-97803.8521391023,-101560.64712760341,-84337.33413255558,-80798.32781677379,-77182.80426768046
1,-22968.959833968867,-27223.413402370603,-53234.90249484822,-31668.140129671967,-48553.40845981029,-40885.11207309448,-48612.36615065744,-20956.03958259081,-27923.789270273046,-30090.303745385216
2,-12400.624961245028,-17948.25025298043,-20606.502597182003,-15226.580958887782,-23350.456106564,-18591.69647207213,-28669.651765829938,-12458.356098438973,-8835.122975888044,-13712.499100049721
3,-5320.936661919692,-10124.271332671582,-13821.608121784571,-8760.940040345611,-17732.957673096254,-12943.34958617527,-13656.675319938364,-9369.934868384218,-5860.372828316338,-9803.99839205336
4,-3985.0844494795574,-7561.810719760131,-3172.1334177855615,-6660.068775422369,-14145.708813945997,-9109.750322935884,-9662.166967568723,-4822.361034349135,-5160.04117844652,-9044.61298867814
5,-3605.9280912044974,-5591.719861712134,-3036.283139700491,-5734.343482945607,-11952.869911633967,-4222.872676066469,-3222.177345207726,-3594.0498603805,-4477.3811271416,-8950.46515537484
6,-3252.2676369943574,-4987.8291817572335,-2071.118875996064,-4763.636830355387,-8788.286206293327,-4134.089772695716,-3129.2622884154944,-3005.3045884430367,-4463.448516335035,-5540.783632912012
7,-3187.855488254642,-4441.850298589994,-1736.344184721498,-2322.926766467738,-7147.881866539419,-3326.927972656016,-2717.509722590333,-2815.9983586157305,-3790.8688068344845,-4790.2919914202475
8,-3000.613069672011,-2952.080394948508,-1676.1341634101568,-2127.285589198149,-6910.844172622742,-3212.6277755221545,-2685.9557773364395,-2517.5583055925495,-3786.4602230045166,-4303.0169385068675
9,-2860.0359208309883,-2303.3789585434533,-1597.796478882477,-1926.5770706023413,-5906.488456520088,-2142.718911093529,-2597.990604531023,-2410.600140709461,-3786.4602230045166,-4002.4036676743694
10,-2727.288932980976,-2172.254434387536,-1554.8396458602733,-1881.8642479084092,-5459.010614854073,-2077.2091802347804,-2539.174444740336,-2298.331750445916,-3540.5932266868685,-3942.992395264653
11,-2526.835486153005,-2117.2731040165017,-1550.0496627137927,-1650.0711907954906,-4871.878700302751,-1924.165384285868,-2464.389044591282,-1410.3950365420096,-2802.7833126896758,-3856.3461937866923
12,-2407.3537035017926,-1556.3528379703225,-1532.4573765347861,-1640.7533517950485,-4152.461911601484,-1848.9379694683812,-2350.259466104775,-1390.1461053435842,-1998.299955933063,-3833.140461584823
13,-2310.501897059271,-1388.8464159047646,-1146.4278034173744,-1501.5185167573527,-3426.7910932846307,-1797.7807324572982,-2233.1568729501737,-1152.9689201509932,-1918.689671279676,-3817.196038663277
14,-2295.999346379187,-1201.7544481429181,-1104.3045396699208,-1409.6479609220537,-3308.869813661602,-1595.2066371981246,-2208.7044839682862,-1053.3933755262165,-1236.2126913598254,-3640.973137189858
15,-2165.0209514630887,-1013.9810619309916,-1056.0215928993841,-1216.2607885569337,-3240.429086975188,-1535.0063007975514,-2178.408601926102,-1036.5910267579088,-1217.4429407409589,-3363.7554983788746
16,-1998.1152395895087,-935.3210007383134,-1049.0862380539072,-908.7608429518687,-2479.0267977894973,-1516.4939745020301,-2171.383374409712,-983.7811585442386,-1155.1915064420082,-3252.344690189584
17,-1882.4154164645881,-869.2306227089337,-995.2987973424388,-879.9898889328606,-2323.175466453937,-1397.1255333614133,-2123.998713103124,-803.7968316062613,-1155.1915064420082,-3048.774049881889
18,-1757.8379916894962,-853.1227352373128,-930.0844325980651,-808.6160122724868,-2299.3886565193015,-1388.1746991421005,-2100.6171295045892,-679.8999882937785,-1093.546180243749,-3048.774049881889
19,-1504.1136991926608,-853.1227352373128,-907.0628500743057,-772.3324826202102,-2198.9257218603257,-1187.9919567130808,-1896.440363280155,-620.9938125036394,-738.3868350619476,-3013.891714627906
20,-1503.1509021010024,-797.0173287628842,-893.8811152876606,-738.3791143626963,-2114.1118359097254,-1049.28025747079,-1670.5639415071569,-572.3332528023169,-591.5437653550946,-3013.891714627906
21,-1498.3113782052656,-788.9899222383856,-824.8076311152453,-703.4160380604606,-2028.253312964263,-1014.8334259539513,-1536.036951658662,-572.3332528023169,-560.7882894044999,-2740.8560845564475
22,-1399.4897573141602,-768.8646361419578,-821.5694185724466,-638.8873352325805,-1902.2553781937368,-990.3943203849611,-1160.5354744228662,-482.8803277908093,-560.7882894044999,-2694.074162335749
23,-1357.2636110846952,-671.6129691034364,-819.232364191413,-551.7693929090697,-1736.3568650766613,-895.1238145546852,-902.0548322786406,-458.51460907777954,-537.8158816303501,-2559.9399558017126
24,-1289.8696681645374,-664.6191881968041,-796.5004093706428,-472.20195875884247,-1674.7837920340305,-854.2256285341549,-788.3861657821869,-431.98919628506485,-504.65961401685377,-2029.5481717268706
25,-1256.5831031114672,-660.9054897237716,-790.0352409344704,-453.6702010313744,-1663.441098217717,-776.8128302062445,-740.5306888146589,-431.98919628506485,-504.65961401685377,-1583.015590972449
26,-1215.1061714935522,-660.9054897237716,-790.0352409344704,-453.6702010313744,-1663.441098217717,-760.1385188096148,-731.337651855001,-410.36185683923077,-344.9424830406483,-697.3210831869596
27,-1215.1061714935522,-635.8310138920249,-763.8802811687635,-430.38686191676356,-1663.441098217717,-733.1913248081665,-731.337651855001,-349.8352188497163,-330.5136729765885,-685.5542797211413
28,-1104.6488785433355,-533.3716550094938,-715.2562733367652,-402.90745770039973,-1582.9892960987404,-714.3681183347084,-353.27226161005535,-331.6900383714607,-294.0443261466917,-671.3819649058124
29,-1073.8242129232517,-519.1569686297821,-706.9623367912,-387.1052490227338,-1236.007259605011,-714.3681183347084,-353.27226161005535,-327.45314106258303,-289.14291585970784,-623.0355201232621
30,-1031.3006456457026,-501.5107017814151,-706.9623367912,-371.974354164372,-1137.0547113043908,-710.8095397573802,-353.27226161005535,-322.45967303437794,-285.33638730334667,-595.5430362114196
31,-1000.8437696116989,-491.9390115441434,-700.1287329390559,-345.8856663001115,-1116.7815660294195,-696.0119476585656,-337.23179745584576,-320.5853292527896,-255.91767682449552,-595.0057910343623
32,-999.5227894176224,-458.4848202889989,-695.6273948948783,-316.9184209463102,-1074.7582548725607,-677.5335643550235,-337.23179745584576,-320.5853292527896,-250.54036043896824,-538.4958731828737
33,-991.8124377987899,-419.09446216304616,-687.2361458614537,-313.3864455922479,-1052.8374042339856,-668.0767777185256,-334.495979835435,-309.33213262265093,-247.8877237401232,-538.0876836807331
34,-945.245470118735,-404.35718338479785,-646.951135778676,-312.6843140951053,-1048.9312470976706,-668.0767777185256,-323.8863948787278,-306.6415456735773,-245.82967104873464,-377.7487969649625
35,-927.698440731275,-403.86834243118585,-646.951135778676,-298.277074833429,-1048.8018743597472,-665.2218955017734,-323.8863948787278,-278.2726201380285,-236.55804675923585,-359.6900873899608
36,-915.2528169508389,-403.67897529741174,-582.6101451526245,-288.60369883052624,-1047.2311236825394,-665.2218955017734,-319.74907725695743,-278.2726201380285,-190.1486791190376,-359.6900873899608
37,-828.9436281815447,-349.7699862218948,-558.7973232610395,-288.60369883052624,-983.1860134801225,-665.2218955017734,-309.12629203941185,-278.2726201380285,-190.1486791190376,-359.6900873899608
38,-731.1219992802407,-347.95097556564247,-558.7973232610395,-279.59749658242146,-983.1860134801225,-665.2218955017734,-292.6461948922305,-276.63154734312474,-187.5876779641968,-266.07077596131523
39,-713.3511040268684,-317.4813021094558,-558.7973232610395,-262.0795940802136,-952.5594840214992,-665.0277298060948,-292.6461948922305,-268.12207338824726,-184.7006679504354,-262.9563500430411
40,-676.0980842394058,-290.70495267304784,-537.593120932396,-251.85729916032773,-942.6691187009155,-617.5585134744694,-290.6172827014485,-259.1261128480242,-184.5912485476548,-262.9563500430411
41,-646.1119388039342,-283.3985606128953,-537.593120932396,-246.954670182686,-910.1836525641934,-569.0537897641293,-290.6172827014485,-259.1261128480242,-184.53872820960106,-260.74725755424623
42,-646.1119388039342,-279.54674194957596,-521.4263328693341,-246.954670182686,-897.0207843985843,-549.7292540013002,-289.46188265774185,-259.1261128480242,-181.30418301847396,-260.03007096812917
43,-646.1119388039342,-279.54674194957596,-507.5660991067431,-246.11885009102565,-799.8147350844195,-549.7292540013002,-289.46188265774185,-259.1261128480242,-170.30775462922628,-260.03007096812917
44,-643.840470336491,-279.54674194957596,-493.16495193641435,-229.31781695973947,-799.8147350844195,-549.7292540013002,-281.6640469517603,-259.1261128480242,-170.30775462922628,-259.0869140630374
45,-628.8876705534739,-274.9701860850995,-481.7587094759673,-224.69171158472628,-752.4807292517962,-544.4734783155758,-277.45319106792994,-250.3403259728383,-160.72685998163396,-257.09871524895357
46,-628.8876705534739,-274.9701860850995,-481.7587094759673,-220.57506320938876,-752.3134990602761,-544.4734783155758,-272.236730210412,-246.73632626562056,-160.72685998163396,-255.4250754025597
47,-616.0324660953725,-268.31880192996755,-473.28565014535934,-220.57506320938876,-719.8524867682731,-544.4734783155758,-257.0710475521156,-213.58180827878678,-160.72685998163396,-255.11959297998388
48,-609.573600823479,-268.31880192996755,-473.28565014535934,-220.57506320938876,-719.8524867682731,-543.669298013883,-257.0710475521156,-208.28409667185483,-160.72685998163396,-255.11959297998388
49,-606.3334983718435,-268.31880192996755,-473.28565014535934,-220.57506320938876,-695.8831220006906,-543.669298013883,-257.0710475521156,-208.28409667185483,-153.48920170835558,-255.11959297998388
50,-597.962042693365,-263.8488400602646,-459.189491813713,-219.00430256280328,-688.3681190775848,-543.669298013883,-257.0710475521156,-206.88540184350617,-153.48920170835558,-255.11959297998388
