iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-479437.0096861723,-443609.3394011962,-639754.4979661105,-472891.2407370113,-401587.92216688476,-460372.43107576226,-471118.45314741536,-436121.61053361604,-418210.02307589515,-437867.6914065764
1,-113093.06447069677,-65391.4147062531,-187013.41583651863,-110562.31970736486,-107120.38466364994,-133034.29547978967,-182232.78505722104,-31448.70397231305,-54770.61376614525,-48847.820062302504
2,-33397.10036709155,-115047.1437167213,-138096.0032860718,-101384.23452718518,-124254.96496699177,-80205.85305600899,-171013.13154061814,-93880.78076682446,-63402.841978498494,-72639.66467853765
3,-114410.70478716263,-12600.347498982383,-90790.1954401153,-122455.34048177804,-58315.69937977279,-155679.8405408691,-69213.35549256035,-68637.63939704376,-188503.73793498828,-69610.13768846024
4,-82891.52564630557,-44712.521531090104,-53923.03768307943,-140798.7422688637,-66272.19262148227,-25813.50134802813,-160105.86157744098,-76731.92294918225,-42762.65878868501,-166881.54605003557
5,-71684.41983514423,-104236.50403244243,-154690.02202657633,-181078.49135636416,-177866.00659369872,-68134.32041145631,-13088.21532786885,-50391.868602723436,-155221.55123477342,-209984.51406678263
6,-43078.81502118161,-112600.47462645006,-23908.99580147591,-63082.39032825206,-89126.79830192459,-85052.78299907096,-54461.69967941685,-103878.63012311026,-140888.60951629432,-133020.12480826475
7,-66571.41696238288,-56819.77634912867,-68394.17979430887,-16492.465881411696,-8145.812253031992,-51229.49092602676,-30665.771881089746,-36362.01575323911,-83292.37422229793,-120002.23547909064
8,-69551.88473206956,-73949.20816626231,-2544.496654884316,-136440.57121670467,-131605.99611359183,-89869.91480987077,-55804.67994010799,-66144.7615614917,-149594.6666889367,-33231.69411503415
9,-3778.1392841412007,-150535.22418821437,-2651.619571173883,-49204.50119950308,-63396.089670000656,-73710.12716089358,-57555.749240881734,-135976.1894292612,-185096.91250240424,-78600.37003238656
10,-46582.729392414054,-167940.04642945467,-157262.566393952,-57934.81153467185,-14046.449952727851,-93673.78973533642,-139041.02988049702,-77297.35846330778,-258051.42226862308,-21263.546208899068
11,-60683.89271454952,-89714.11640947853,-87828.58284336833,-71887.11935995908,-205971.7659603156,-26046.771811441224,-149430.50752202427,-198689.69993941925,-72110.57446801523,-5022.573535400209
12,-150824.09379004475,-56104.14452722745,-55379.422204350165,-105606.92652470319,-39631.22442110724,-35364.763178453155,-39543.46393544962,-75443.16756625488,-10413.6718540275,-106017.0561486824
13,-54886.84405779914,-70053.91932956161,-134132.95841172768,-60595.992392366126,-49580.94346877624,-85299.87611331897,-63538.26968823213,-97074.11932588971,-187493.7921270564,-137020.89984985016
14,-55485.18890082101,-34534.92656044652,-17191.806113723807,-41978.77985972108,-73714.13024028287,-172647.9465447815,-145530.16005237674,-27090.505882019464,-2900.202276222836,-115764.45491519204
15,-81254.69129226067,-25198.29817005896,-60517.353067007476,-122863.9684999611,-54227.97939007911,-60578.72451961384,-65648.48213219078,-52637.15646429701,-29031.7756575197,-55783.27999031462
16,-127204.75262650236,-147010.5120344009,-32073.664870171408,-65786.9370251806,-107240.72098796105,-93600.69338296223,-2814.896920674865,-29611.88975571256,-14478.362709268418,-78868.14052639707
17,-16477.238272988776,-101088.58031518097,-24778.244941809786,-115680.31251751698,-22875.29333593059,-130787.13777252832,-14992.169110992136,-101814.6572653228,-125032.39626088063,-54879.10542198858
18,-36236.67225267884,-121775.15543037833,-29111.11145746411,-84041.1129292071,-37998.52353469351,-106236.26841221775,-134469.43382832114,-54262.697427224586,-41502.56061856018,-19513.067535594884
19,-40940.79331747296,-45680.97724323889,-95070.51062872619,-60698.21136198002,-54865.62198568588,-27279.71405489141,-63900.03205209197,-206752.3498783477,-32311.63561131156,-144828.881114173
20,-44810.54135404268,-90382.39150616803,-57072.66465151613,-147647.01799885827,-112220.34964300744,-47691.3033445944,-15321.76894574226,-113077.615954254,-54558.26929005821,-87993.9261194425
21,-35682.40266231962,-75131.87877501422,-78282.3790232186,-62865.42458020778,-71613.54870085236,-31246.543722801354,-110494.56933149173,-115162.68171325768,-74423.90720162407,-86578.1408691148
22,-24863.01156739673,-125701.62813989907,-173186.2647075952,-1236.043394072445,-17424.22930953477,-51603.03587051861,-25404.607145904214,-62772.63826488607,-40483.51491732156,-95434.25902854606
