iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-93625.71835757948,-82488.76513301273,-92226.25745176699,-103440.62280000796,-97891.49161050725,-97803.8521391023,-101560.64712760341,-84337.33413255558,-80798.32781677379,-77182.80426768046
1,-64088.240734615014,-75283.76595180103,-81627.51228768432,-83139.03606856278,-83264.12262474198,-88374.89839266508,-81200.71347852529,-73493.2417282213,-77578.24639707842,-49693.65372627285
2,-49219.111772783275,-66436.92775975689,-81627.51228768432,-62159.17342317513,-73794.47002545162,-69316.61198294433,-73376.40532554727,-60499.76212032348,-71031.07531871706,-45899.7540187493
3,-45486.13555465079,-56740.208789400465,-68282.6379582976,-53410.66651114974,-68260.61948223128,-66866.01849104073,-63041.322869625124,-52912.66350784251,-69293.84196227923,-38529.75102426371
4,-38388.447915835655,-56740.208789400465,-58863.82127706499,-41411.64310743187,-65757.6816512342,-65602.11099003561,-45581.148286038035,-48674.54718743776,-63199.57482596248,-37606.21959172255
5,-35135.84296021749,-56440.60936763261,-55316.53352023529,-41411.64310743187,-60454.208467192235,-59022.67606234035,-45353.40496107795,-41148.60517955483,-59607.78249072362,-35934.87917798823
6,-29836.280580763298,-54085.95472040359,-52893.50982994893,-32542.002251034643,-50894.86628792301,-51583.50821719771,-40347.33947281476,-41148.60517955483,-49573.95538111831,-33148.10366157049
7,-28247.737677270252,-51588.64646169169,-50395.63344866352,-29192.60925925865,-42126.3661569071,-49272.89902733267,-36080.7551583572,-32000.350888486304,-49379.1215016079,-30730.32070911516
8,-26204.064893700535,-46187.42764076372,-45887.732787703135,-29192.60925925865,-33360.30582729239,-46693.214482237745,-34948.020164955495,-32000.350888486304,-43983.12250638779,-30567.642281280114
9,-26204.064893700535,-42424.55846673296,-41793.719839157275,-21316.08087846674,-27335.994494415943,-41806.31250584682,-29033.377386473454,-31265.430365163826,-36218.19632262813,-28541.661385269195
10,-24955.22563128065,-40394.783237944874,-35847.17524051859,-19498.51869517893,-25906.399148582088,-41138.879353016295,-25987.9611273317,-31265.430365163826,-32653.620273901593,-26547.257700222555
