iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-479437.0096861723,-443609.3394011962,-639754.4979661105,-472891.2407370113,-401587.92216688476,-460372.43107576226,-471118.45314741536,-436121.61053361604,-418210.02307589515,-437867.6914065764
1,-133609.37510420324,-197070.310487955,-205907.7545123251,-258110.22532071837,-213960.62522009533,-262829.6425510965,-236086.8052087192,-149885.3891444244,-204987.35786219075,-126737.26804339062
2,-194184.16531807854,-184585.02583625552,-230050.27788091762,-131258.46429185933,-177570.38020631182,-203988.43822346063,-216480.55265756004,-215669.26865939546,-226993.8635473897,-289681.00956226425
3,-117374.08867151769,-247958.30636627015,-157928.40795363724,-220518.71841033542,-206323.41726683284,-316671.6559663557,-188134.54827130595,-231153.91357551227,-168192.52435321658,-181542.47316876985
4,-146023.02332010082,-266277.12817512755,-201824.77670268307,-128628.01112351526,-200442.129324799,-300026.85039505037,-230426.35877695234,-196438.48671218377,-220300.01374816964,-125676.36457963727
5,-169992.99601460772,-210542.00599627,-345302.4298338698,-187275.55569943582,-116115.48673016323,-157937.3375317325,-196219.23154032312,-176810.2795477866,-218867.83780091716,-162681.94758413994
6,-187135.6886603575,-213776.41331424593,-222103.08325319114,-158943.12001556723,-175924.38324920085,-287111.30697298114,-159617.32027039301,-232746.8710928579,-169660.00511056208,-183982.2565921834
7,-134065.08355075924,-199414.3517996245,-238005.03974698152,-169010.09922569804,-132141.49509855974,-141443.37943775082,-153162.2889100578,-170290.92978184533,-235162.52235114743,-208268.82414005778
8,-114360.84913868838,-143574.90164415227,-241916.61076674704,-244218.29851559526,-162084.472658868,-180119.42796405498,-215785.98575966444,-281933.8238393817,-256926.0550469657,-154225.80137352395
9,-174173.91119519353,-135952.46464360168,-163295.44808870024,-84680.0481801441,-107062.98871559108,-240495.58223581343,-181563.22407799598,-202896.60051980155,-139551.93320308416,-210551.0785469573
10,-192733.9192116028,-196818.6842226918,-208311.35400201817,-108790.68915118516,-177772.80956665438,-140593.17857556435,-125791.67076437754,-180102.7379833886,-181734.7017643886,-136674.7421322005
11,-91281.73801203058,-252326.78118729405,-224327.19269380794,-214508.9933133407,-215562.32811447995,-178983.74410681904,-137798.01648753934,-187642.19976765366,-214358.46997512912,-160330.68599497958
12,-173377.92995549127,-106132.55217923032,-153361.39887406718,-199522.1684541051,-142880.84261545044,-214382.31803784607,-264325.43786950246,-154331.97599052958,-159430.76763222413,-140835.54916685715
13,-146724.52223468447,-214575.38424722175,-174845.16405602676,-129318.91744444094,-195118.62089256552,-280253.2141709649,-113053.77126095437,-105418.05835047265,-93150.67158044795,-116339.89542438512
14,-216155.02185144494,-92617.50124127005,-167231.1317840049,-169052.16393057516,-195243.22875556423,-271777.97795786895,-125245.79925482676,-272869.3539330805,-175284.23146092487,-186036.73597787862
15,-145769.19275947692,-191473.3805025851,-103302.7280069891,-237656.55939052603,-156231.15442111023,-177036.872956197,-132794.20832225692,-128849.28927833593,-168831.46600941967,-77423.80349340817
16,-183532.5047359728,-134151.86591494989,-110161.11185848573,-81770.0519315264,-195678.4314637574,-120382.38670675765,-206390.47544021736,-160512.85485417917,-124651.73037704006,-129817.88787125523
17,-178175.13254745808,-209861.62479453662,-200514.70736410213,-263815.6279713025,-154585.8626491572,-179188.13799885783,-282664.07960547745,-86499.53229532427,-157711.26258745862,-175014.33105333144
18,-169399.67833441208,-155172.71279883277,-174848.13965830367,-282246.23886045686,-102614.01045170147,-190638.22077818133,-85614.25584253254,-145019.5884203979,-102900.02098123168,-155501.1159124417
19,-94220.3160155611,-112382.52780959758,-167540.79176074054,-205633.07078311348,-126253.19085400645,-191114.14290328033,-128648.9549135791,-120461.75396753567,-183598.00421282434,-119449.93807529153
20,-117012.77560694283,-78362.77362857226,-101883.21087252785,-191819.85402361923,-151064.91992769053,-136864.14788980992,-198351.44687664555,-102911.97430424436,-138510.6784263578,-262831.6670632708
21,-130250.54213880179,-143387.36316044215,-149094.2043372189,-117863.58311943669,-115773.89234360674,-186243.50931493985,-158166.83589442563,-191591.48655669452,-153497.88857858354,-200791.84821896424
22,-120895.78185287808,-164708.48659007403,-142432.9163123339,-326545.65131964115,-110055.39184030762,-100981.35262747438,-216347.98713488615,-68853.08126850323,-76562.28313055195,-198574.29891646333
23,-126295.60575417157,-186583.74803549142,-125290.49987158923,-131520.3236825439,-60456.099275728775,-147808.758732225,-167329.22986542393,-99862.21445456968,-139271.6875952903,-148791.5840246692
24,-135982.31024159922,-182108.02673037676,-121759.34391142329,-244903.3175005986,-226154.9551864494,-186270.38951769637,-84813.36950546675,-179506.30447382573,-163323.18632194656,-199664.08892498934
25,-93650.45437385321,-125493.15272386718,-88454.49345131926,-116370.62681432423,-215908.75190227228,-122994.67991365105,-120772.89326008395,-185588.7676454769,-152757.16513548448,-107537.54814448385
26,-98739.69976004626,-82022.75034461722,-305734.63020037295,-160466.74844837573,-155976.79059153286,-102081.1635550094,-163403.5445665121,-145450.26637536736,-122317.25017899131,-122542.1519054292
27,-142638.3161316252,-91754.77642262411,-168184.39861745836,-151898.04709938038,-128788.28380452994,-88609.22884525373,-125466.63620817327,-119795.93424855584,-169595.63243616506,-122812.60169849292
28,-113995.79293823749,-118517.26839292898,-192068.00853401326,-247141.601219822,-65847.79911674811,-167058.81517100148,-102378.73640722383,-179013.0832982345,-93754.24003693718,-152205.73400438426
29,-142517.34922454946,-147715.39715374002,-179586.1146567346,-141846.18344283837,-112998.78012880843,-125251.88447415695,-180129.08102020805,-175334.55388151036,-116999.10385668877,-146415.0881523836
30,-97714.58883226347,-114016.66478955973,-136810.53664019445,-144170.8633499262,-147797.04315405412,-121823.80001968614,-190084.57369874173,-72180.94268970341,-276625.2675849586,-188827.57061936404
31,-102300.0893638455,-85377.79956812001,-109832.60191787979,-94866.49535227448,-142554.27379295186,-89370.2648317657,-110877.48035873257,-164394.26540584228,-101215.98117215544,-58917.1610856123
32,-122547.72511347194,-52075.76941705545,-156462.36371677544,-201726.4161980389,-87621.69605658477,-168986.98276084286,-130052.82940836126,-136349.28676125742,-135034.108223565,-112885.04924842632
33,-117149.8172792039,-142764.8791826223,-72560.46644436696,-176478.24628998982,-65473.61537686359,-105005.25106765768,-119959.05014027144,-215518.80484815832,-100075.58753975353,-79600.76348819418
34,-92505.34429076815,-80637.7192432272,-60110.32153229618,-113728.72911499595,-115742.40105899316,-76104.38604728936,-148518.61432925554,-114047.27637241878,-108981.45234230743,-167644.83133597235
35,-178249.60185812728,-64209.94536218599,-111722.04693572108,-114184.6601518176,-92970.07693035691,-42144.620979629166,-89787.1507836267,-89470.05980995804,-105051.19522508286,-198143.85904670815
36,-117264.46601416999,-125154.01573349774,-138404.7191544016,-135668.8262092789,-171936.9035564377,-90339.70189076138,-113022.1576285532,-142244.42881264177,-117652.61003369538,-82958.55003525122
37,-73102.64574834189,-177163.46161476744,-193651.76376999577,-100545.21968802309,-81812.19065328508,-140907.40625288518,-85743.74077840708,-156767.74824277256,-98585.30237436881,-89132.43337544707
38,-143297.18569476934,-126415.39092294833,-111299.07326159163,-88070.04021630068,-61552.76473334014,-74556.32638283615,-142169.1437751854,-49269.10443499203,-139276.762669057,-140882.59033426488
39,-160788.72073300657,-93405.66441269523,-132504.47697141272,-166876.70125945366,-82755.67001051467,-95773.46622485621,-86252.53293786498,-89449.53188490041,-175481.89648467186,-132379.9915795669
40,-126429.3376165853,-113730.56741867415,-86043.77874652036,-147880.19934402316,-69151.30371079667,-89780.38885980006,-132748.2978004607,-72091.97245814864,-148247.75266119116,-48411.89347160152
41,-84894.13354652002,-62534.659798946406,-106334.26579652568,-176626.89375416315,-130216.61671840955,-116448.14544559423,-104841.61611530601,-68481.03996147164,-91257.58912197198,-78431.35081970913
42,-74335.32636757972,-79506.97891179415,-107519.65205941064,-152395.92756870054,-151710.41770965455,-196319.9584508023,-118271.11467086076,-93140.76940425031,-92950.57047946315,-70206.45076138197
43,-70455.66812641973,-101421.79929798609,-67281.93819285142,-101082.10727611496,-109031.15930257537,-95208.85367200026,-108728.56913510332,-57646.071255685245,-71965.7711436075,-132160.66320841917
44,-121940.40929536564,-104459.48943830762,-75048.90711025891,-133989.4027639177,-161260.3410173026,-103937.87640970437,-85958.685307509,-76759.15542721434,-123875.71211812372,-95149.04020852792
45,-114311.7063102945,-145020.07711107068,-78810.61133335799,-153937.52246509443,-46440.70721530208,-80929.95695543547,-125103.67218316655,-167608.43240005468,-82341.30855043061,-155787.34189432027
46,-94269.48977092492,-95643.8492998404,-61793.168650075495,-94975.11353961007,-119083.68252409846,-83251.5943466989,-101178.48267636972,-81552.52509200321,-43817.84549328822,-69879.89424551977
47,-95159.6324511514,-60026.145302737576,-54584.235727483974,-59262.51650721292,-90031.79027192765,-82560.31009733949,-103320.0131889079,-109256.58316764975,-74734.49344160265,-51682.17706354876
48,-108042.76716998796,-69684.47846576752,-90666.12643071897,-61476.673224438055,-98201.9401073602,-46967.073410015175,-81750.99826679175,-71333.91887741744,-91789.90140223035,-141666.31242037157
49,-63304.93874657077,-50464.55108591932,-42991.27963521372,-102067.11536621623,-99526.6741302139,-153785.7816519168,-111517.46261321014,-84983.19848080857,-162526.8709668221,-100663.06949228236
50,-36262.2934392149,-51253.47824082874,-99356.56344327991,-107737.36702815475,-84023.071128338,-92886.16494385335,-40767.52406240895,-37115.9257798312,-48179.26779160004,-102274.63278437978
