iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-93625.71835757948,-82488.76513301273,-92226.25745176699,-103440.62280000796,-97891.49161050725,-97803.8521391023,-101560.64712760341,-84337.33413255558,-80798.32781677379,-77182.80426768046
1,-16898.55852007091,-24727.43127103174,-48621.78280846182,-24020.636511128236,-38955.48992804671,-33092.6002858306,-44192.551521007474,-18096.220644559988,-26642.05650200407,-25834.653749306
2,-11316.316978473376,-21801.113629639905,-24943.3709998593,-9100.964292295805,-20817.761153900217,-10182.713888078331,-19023.68730362718,-12905.532524224986,-18300.890977482122,-14567.850250329846
3,-4831.310813990323,-15385.631203669458,-14950.555076913251,-6305.550683240252,-13464.746990620191,-7757.78023699956,-6168.672576086536,-7831.950383754446,-9855.720181147826,-7669.87110976079
4,-4317.3332956707,-11849.25246340419,-7875.170696383776,-4593.331132110277,-10887.720235992856,-4496.405272431606,-5873.149696238983,-6716.413108007286,-5849.468515753788,-7141.464155083157
5,-4191.0736637995715,-10766.229032814246,-6345.4029918722135,-4593.331132110277,-10042.406422242355,-3449.377290568197,-4286.526579466525,-6002.740316539108,-3761.9762882510095,-5215.82710566732
6,-3558.131391518323,-9228.404499426691,-6064.475665566522,-4563.331802739155,-9382.380871092311,-3247.8596104644575,-4058.409470887418,-2703.8410298691324,-3352.1446480584464,-4988.945666953113
7,-3412.952689942709,-4811.288901888943,-5552.0396544079495,-4479.812149603677,-7038.620977360581,-2887.3432652562224,-3959.142086205643,-2408.023548200181,-3225.3372933171577,-4849.589052679447
8,-3128.2555579718064,-4692.181061958688,-5373.441249104325,-4467.326877335623,-4854.348707010662,-2739.7977799735163,-3795.1367186726584,-2165.1202137889004,-3117.971607527451,-4559.154145642543
9,-3128.2555579718064,-4487.362676749632,-5139.795231070022,-4238.239211695809,-4265.634366982583,-2626.5172890730937,-3454.193130368315,-1733.423817284458,-3073.160462095948,-4400.320089916644
