iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-479437.0096861723,-443609.3394011962,-639754.4979661105,-472891.2407370113,-401587.92216688476,-460372.43107576226,-471118.45314741536,-436121.61053361604,-418210.02307589515,-437867.6914065764
1,-43379.280965118734,-75177.74320987093,-252031.34290104744,-154241.77206102666,-78963.70375660252,-98184.02108342736,-199075.9640938181,-50068.34998101857,-120984.62043233798,-89656.29108380707
2,-147004.02369929996,-132562.8957516151,-166888.4554122528,-109771.88865933311,-87208.89858014208,-41387.591681085316,-186044.29747839994,-32682.91541604538,-82794.2728800337,-75054.49097890893
3,-125353.82044183755,-173085.65277909813,-205608.54458419955,-74598.02471551795,-157144.17332699045,-123247.43472556793,-136578.567163421,-49230.22754748819,-100415.08014888022,-113618.82598030826
4,-95586.39771358474,-85627.23173610629,-71722.2858765485,-29131.876883616773,-77981.03017550334,-76147.86688645298,-65813.86224656441,-168326.56355750212,-59003.32974629241,-106517.65816254567
5,-211334.87485851932,-124729.07586509924,-50440.75529885162,-188921.84600009432,-135013.53238069368,-124594.32559308968,-120917.02905558409,-84337.56110785535,-62627.26289719131,-79165.9900556351
6,-32886.507283087434,-96700.90650745339,-16357.318530362236,-143641.49685321376,-35570.11127303215,-80554.2164530842,-110100.03830162229,-102687.83035727852,-119112.65903958278,-148714.663332207
7,-90830.42567132795,-34360.598603807775,-24866.737316200764,-67229.80564088514,-77703.2313431682,-291672.50050912146,-62693.651749953766,-62835.59088895022,-74203.96164570813,-94851.91654368251
8,-129431.19278146737,-18358.300788807173,-104240.89125544867,-143413.00570470863,-71809.3842145928,-115108.05563613438,-63282.79857061986,-92560.90738750843,-122432.98353872147,-118479.62253562498
9,-103306.15284240963,-42415.8607774065,-86692.52975224545,-85250.07266947674,-96994.15005137134,-81141.13477697696,-60629.61525011932,-44918.12728865609,-35636.5500388136,-97306.00966230276
10,-89549.37720698121,-59136.28383656644,-113792.68118094956,-71231.2858516177,-51329.8576471589,-5035.723007080127,-112626.76863726079,-96709.27199636743,-37936.839914425254,-95919.72408956781
11,-44055.92628788181,-116935.92627446284,-70486.72804393776,-146928.51579130234,-57532.180552541395,-58046.97827866743,-108128.26636966309,-3868.113463933666,-56257.46321938335,-83856.18422982495
12,-86761.3429371266,-13497.133423983934,-104896.40948124063,-111339.16284159201,-69207.73790741191,-154613.0368187743,-128208.69569172425,-117011.80821382544,-86307.07617441527,-68420.40756907668
13,-164756.55533660395,-89946.81067311877,-160188.1566259188,-166276.44510156498,-66871.98476639796,-122329.83419437974,-72340.37392393782,-24277.510203778707,-92857.41971287363,-81503.95569588363
14,-64072.38217493548,-81141.05710186317,-47883.56308217832,-75894.60952862943,-92146.55057761804,-176167.10730637878,-121043.76764978855,-30573.966704967686,-189436.69983600551,-99302.1494629389
15,-86052.70130802333,-123250.98027944032,-131651.14948428355,-74392.86415228147,-86789.27313234299,-17604.758225404155,-43246.340694051054,-98694.50074751061,-50275.98616240607,-54386.261417547576
16,-36632.02066277044,-43765.97975281734,-6818.204028620669,-15320.708138140064,-90163.38730132236,-170669.39575300599,-121090.83630361123,-117174.9591052246,-157776.46819152252,-137232.6537818217
17,-17134.974230586366,-3352.6738021033852,-67570.7289899988,-69953.53847888877,-51261.64266247576,-14478.220704671749,-51156.96328648484,-16137.106316328067,-41490.80177464152,-15771.102310984086
18,-141337.3430558193,-151994.04581424373,-81978.55035733822,-109544.7402883051,-30557.406098572905,-132673.96628247463,-143453.0449896039,-25833.681378467525,-67735.500513857,-15231.462179492277
19,-53064.98627808707,-61787.4711073761,-89932.62002268666,-137218.6055193793,-39736.87124756529,-132862.11230897508,-82812.79997377473,-28213.225577786765,-104592.13511594529,-44356.06569602124
20,-15926.126038150158,-25063.396693435763,-26603.63889214679,-114471.25167884992,-14898.403006440327,-83047.99146173077,-59625.25553062398,-33103.464098090226,-19393.67120778384,-115433.95804997574
21,-106262.86750192594,-58312.61089758046,-151028.9044014299,-18868.46798924141,-39068.60405148532,-47966.637461694736,-99370.70041421101,-149962.64079105185,-72730.75259865665,-105179.92168255377
22,-58128.50148099198,-13853.280537307483,-55045.80094219017,-134881.83373670193,-38755.506848826,-49139.63412633551,-48115.819951927464,-107666.52868714837,-69945.1215967844,-2919.206683513048
23,-133991.3394497858,-87292.73978311388,-68224.0447434245,-73562.66042469357,-44639.91675057096,-60843.56013130446,-63978.278709724706,-45363.716227596284,-87332.73916093278,-102327.46539133463
24,-70539.17701052764,-96144.424896444,-84691.92567592967,-59300.688488996595,-2637.301621095997,-143995.05864524937,-75437.20391111572,-128554.44624547753,-36461.283106802985,-71883.25515363428
25,-143984.9401634211,-81334.63413790622,-102658.68324731881,-61817.91647093474,-18076.213519042565,-94508.54354888434,-190686.43646384776,-82905.84965548459,-51163.97198894169,-53764.21017569661
26,-30891.367376352853,-124826.95444019846,-35668.760023782765,-30255.287175284902,-204775.4278375611,-44343.01116260841,-4295.206486011999,-172136.42595647613,-106144.09024147782,-97271.10411489216
27,-5201.358274282119,-2581.2229543013946,-51964.460539416716,-97724.9820745578,-2303.1215376496143,-48975.36010833443,-3923.522905863967,-51625.46448400982,-72736.05574244654,-49965.98189917557
28,-57310.04691190882,-99771.29068879207,-37593.16067111063,-42021.45980518741,-22089.422340071593,-139639.18163557502,-25491.067792388607,-39535.20792011665,-23201.09070411155,-130883.08884480977
29,-144972.77721407072,-108431.848998009,-139571.7375122537,-91745.01693568067,-27002.783699930344,-20442.96970068981,-69844.80002557996,-142803.12341997126,-39037.8969617877,-3188.3813912272553
30,-84791.90705233315,-5083.675997966216,-50932.702342600605,-32368.335972690147,-73095.63571720071,-119148.02506368163,-68654.82475290491,-37506.44692540401,-82315.40125961846,-53681.94965247292
31,-44770.1142173412,-2580.8713352178465,-93208.14452893272,-73761.71406530691,-53771.329075417874,-15750.290950292569,-3662.128482304246,-54099.97929297392,-57956.99631416815,-83531.18944402007
32,-17107.388950481694,-37530.2264487538,-146355.9270593144,-69588.15178660513,-74399.23262809853,-80289.9342658823,-71252.4284333305,-21920.444785366435,-3505.2381799533628,-135454.77617363998
33,-3287.003125448888,-112732.42839515173,-46854.025383231194,-4037.4480662812966,-53246.88332608582,-52384.083461793416,-3034.992664330024,-3772.986738654797,-56625.39237158305,-34453.74110257495
34,-4508.639111873679,-21545.853173656524,-42893.03795789014,-90574.29558074458,-18075.899565777527,-86712.66924365454,-15961.545973312413,-28740.438949871597,-4537.816039627913,-85454.25293590702
35,-50996.301287754024,-37013.103855590176,-139083.9518538249,-80206.50113211086,-95403.2294102658,-4135.977964423223,-52943.431901572316,-54054.015023044354,-108289.44290941053,-22523.82788654254
36,-21972.291480460204,-103533.66417975478,-40635.561577174296,-4358.989546676272,-44002.74176281688,-26978.734288360738,-46357.75204071797,-3464.8397794110597,-87859.57462094382,-121476.62077420927
37,-25038.72814829964,-3785.8976738201654,-96694.85039193796,-46541.71524880934,-61939.22099284792,-31669.71836589845,-118706.89778525142,-55987.859390286154,-61420.07052196588,-70708.18605721118
38,-35297.97118253418,-120282.43483600914,-94092.62379249357,-32691.61919346121,-1802.9010895959661,-92679.2412189254,-22011.220613686874,-24103.94935451004,-33272.493178770965,-97539.73099177143
39,-133026.4334514534,-77148.7556096046,-97876.17076940363,-26634.501595545415,-34596.245293764085,-16741.488450964578,-31525.25767043901,-40507.15982857965,-19572.714564032238,-90151.46562353997
40,-71115.3184072193,-4207.56929369028,-47597.86308116853,-95809.15972927544,-42898.91288183328,-26460.093763493827,-54509.50051509394,-1799.080051881178,-23908.174513732738,-48780.25415402113
41,-51668.40615637331,-17527.745655524457,-51131.83497607105,-70790.4583217084,-33526.945820165856,-101944.6006780274,-82754.84749785413,-14042.976078185784,-16987.116933314184,-46529.94971605827
42,-3669.8804824282847,-2759.35392910359,-3185.7033497801904,-17805.039519893777,-75528.20892066069,-16937.76408817081,-28659.181245665684,-29929.503908732077,-83603.79113851923,-30939.9227286985
43,-58547.46667246746,-2615.70265851395,-78588.646889169,-3015.1810451129254,-3234.844407786974,-69936.70201257516,-79279.77365224744,-84412.7657606645,-27858.709799477932,-105489.71959290178
44,-125869.32462025352,-21590.886575933622,-75886.74679283127,-3372.890454338223,-1732.6278417691428,-43580.54155870996,-105156.96706114565,-8503.952928709845,-34887.55947992216,-24793.31315466547
45,-2813.4183846798305,-2560.6467295151083,-119170.51238235389,-99539.34670838731,-55762.89732262865,-21149.775521210882,-50959.54191256311,-32892.93078412178,-214956.86809782693,-3517.6349390857295
46,-2699.1460336050104,-2508.7606415001546,-21320.070253047106,-47534.87951819569,-14366.781569421073,-56877.198163670226,-116797.07428276175,-68208.28082727113,-46173.533027099926,-60513.021413782175
47,-4395.31477589298,-3472.8756457790414,-89071.7498308293,-3559.8726934910183,-34757.524105650264,-79263.81798513838,-2679.933718131766,-44399.00049076559,-33694.98033253718,-3516.301874754674
48,-36371.56653827677,-24415.829819923616,-105948.52618259416,-77475.45302647271,-18775.66618673186,-35038.86253566023,-2519.2660119079246,-17204.32481191583,-56419.146044868765,-2819.4791334341116
49,-85307.5392874711,-7603.495247726288,-3416.7346794581163,-37509.47469553893,-1373.3744053822074,-2460.237837735623,-23056.179550410507,-29078.882797218226,-121647.24720392622,-65556.60857357903
50,-36151.65740590745,-27226.990162460428,-2797.1280628116774,-44587.58133552806,-22036.702840759335,-15293.407314060458,-19190.67522284989,-61142.730232457914,-3552.103163832772,-14818.44780509803
