iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-94456.7784774408,-79491.30479591282,-90941.84428252418,-103164.45058057035,-99140.94002872854,-95227.84828259368,-92986.91895957195,-84125.56483022243,-76862.54501106526,-81738.00179401704
1,-20411.727715677698,-23906.24991422394,-21648.340625348872,-31241.497272780227,-46495.84988298292,-27426.104338826073,-21482.32535985507,-33052.71597703014,-22332.930857795018,-40250.05913682567
2,-12028.224729659983,-17376.703828921603,-10903.542852335644,-19927.041899717064,-35702.276970215804,-11851.975578841333,-14982.209427797254,-21210.968792737985,-13796.136535474725,-20708.14275458259
3,-10234.300315545224,-13798.965642149044,-6376.4067943551345,-13335.657166257834,-19592.63922376315,-8417.67717197273,-12311.210550475591,-18431.75460685811,-10798.216983012167,-18388.705587359465
4,-9348.015365208594,-11959.251540641762,-5687.592688459958,-10407.016916567636,-16337.469137182803,-7944.788840617906,-11038.634410139646,-11658.743624105753,-10023.227925074318,-14110.634530718102
5,-9004.950962887311,-10603.73437952427,-5257.634552518199,-9603.118804014422,-14761.270595473623,-7085.24558802444,-10741.430452070827,-11026.817539057109,-8870.949951394896,-11635.235178800944
6,-6516.484773774007,-10159.537616022364,-4915.747856929784,-8630.459810096982,-11950.8364258867,-6753.515149779774,-6722.161747116534,-10692.774959437256,-7424.510210897426,-8348.00770600839
7,-4671.8415546027045,-8066.985657107853,-4700.172886090009,-8504.485398083,-8473.07068583118,-6261.790278715262,-6468.301080402302,-8552.159014048962,-4818.9751304748515,-6849.471168508338
8,-4481.146264695992,-6873.4065876278555,-4593.243021445905,-7740.311457782438,-6491.807196358064,-5676.353783899422,-5621.532915750865,-7553.728978771725,-4013.3646891205817,-5411.4021779574705
9,-4224.696506322165,-6577.214540597517,-4392.600972638275,-6539.830425725694,-5627.319501622143,-5159.8663615769165,-4817.178672827471,-6699.24419609783,-3023.859237062971,-5072.215020898146
10,-3603.969487065005,-5945.410441638187,-3859.9167187222192,-6116.531453009913,-5368.9533920222675,-5027.000222298376,-4319.715413997618,-6410.153909838358,-2999.195064892328,-4855.302704182954
11,-3288.2386713172973,-5927.168701064604,-3567.8090180897416,-5689.38205522083,-5323.265866301869,-4405.550041277524,-4220.204138454639,-6229.955742868769,-2662.8615025878576,-4216.6806219386
12,-3040.9284762371235,-5530.215725540514,-3132.88255980225,-5280.395577720768,-5078.623751635871,-4405.550041277524,-3962.252508590892,-5548.793309139501,-2591.943544456875,-4002.5242709589056
13,-3002.607599558114,-5466.50576117851,-2796.5793334956375,-5280.395577720768,-4065.1871209810142,-3542.0598826807422,-3829.0081485543105,-5136.133992573881,-2533.8405864952647,-3820.778837641963
14,-2916.601071594943,-5340.429754582238,-2430.96302771815,-4605.712057866665,-3963.3692639853534,-3426.1368373973382,-3139.855739591203,-4892.212241394805,-2186.890921769382,-3567.3983950767033
15,-2913.283662350525,-5069.650747850777,-2260.1104473890887,-4369.694682034108,-3791.540238434465,-3297.08418923408,-2870.6011967284144,-4514.094915682086,-2137.4087872128634,-3318.871901229817
16,-2754.09607055304,-4874.639404135081,-2063.2650180093838,-3773.353649366777,-3477.394638591174,-3110.4465404846633,-2470.374736367869,-4011.7083388979795,-2101.6400298384438,-2838.0335402175074
17,-2674.452230036826,-4857.889833353028,-1599.7002929947034,-3487.2732682194637,-3197.08814928065,-2797.839989800329,-2316.623087949728,-3599.5652101702126,-1814.5840323103896,-2712.933932986828
18,-2210.9778422419,-4088.7762797539704,-1557.0330463210532,-3487.2732682194637,-3012.8679712344106,-2731.095877343198,-2316.623087949728,-3535.9747768191946,-1792.101704342713,-2631.758838524563
19,-2198.27911987711,-3965.866940095467,-1523.468757688146,-3222.3679986773254,-2926.171010044639,-2585.4064002808045,-2236.6439536548764,-3417.905785896104,-1792.101704342713,-2580.2302506074857
20,-2173.113604166412,-3701.9789879682303,-1449.4911812432547,-3063.561093603782,-2792.0572870315,-2544.7753482218286,-2096.8929363153543,-3417.905785896104,-1662.5118817063894,-2488.683955570783
21,-2045.876095768861,-3682.3152234514196,-1370.4796326792912,-3055.527732053455,-2720.6770639824617,-2424.861349692206,-2022.6970225211428,-3391.829719079567,-1566.7363951265042,-2422.439949203289
22,-2032.2280977625933,-3581.3181427940617,-1319.2222813147732,-3050.328784725472,-2658.194670251334,-2239.1174010123596,-1958.2258657493178,-3357.779067547982,-1421.6925371443444,-2280.5273208892013
23,-1913.8043854884218,-3557.052468849584,-1305.1760079272176,-3019.0350218048193,-2550.3666763179044,-2235.8810754464707,-1953.5425242322822,-3227.0825447803863,-1396.6489981577238,-2069.435706209604
24,-1725.5951393283954,-3541.514160550153,-1297.8184576550248,-3018.5057500328035,-2491.0880639748325,-2209.3610248948535,-1850.2502505625484,-3106.497127556579,-1344.3568246192713,-2069.435706209604
25,-1722.7028373902076,-3381.8709962785006,-1297.8184576550248,-2897.5955088170135,-2472.410744528587,-2169.142575024004,-1841.9946999109332,-2754.746180500314,-1323.802604326554,-2060.1622999669944
26,-1659.8261889346022,-3322.381384381176,-1279.5667882376247,-2790.83812999131,-2441.151513955606,-2007.7806149451185,-1828.511762439348,-2477.9065439178426,-1285.4304409778497,-1959.0584389730782
