iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-491167.5032295451,-477514.67244149046,-654117.2522406075,-458824.07803989295,-411990.95733331045,-439529.7295488118,-454768.5500171399,-449568.2498609535,-439790.91943018755,-435581.63756563084
1,-20411.727715677698,-23906.24991422394,-21648.340625348872,-31241.497272780227,-96169.69570595815,-40163.08968907609,-21482.32535985507,-48191.23110948966,-22332.930857795018,-112056.62975514219
2,-17149.693329714897,-19192.336873381886,-10960.2835715059,-20862.190349361976,-218309.13259787374,-32749.895677809112,-48657.85627832315,-50085.74614721285,-13978.394351945859,-56248.1197232923
3,-34646.14588341171,-40316.84893024954,-7242.348620590456,-15358.784311270683,-82562.60720788775,-28729.97777412472,-35564.556841492784,-30525.451215161098,-11270.517018833567,-83412.31239595894
4,-30604.570769806003,-18273.253267598564,-7010.353338171221,-27785.30196622367,-81088.11178566652,-16239.7637780631,-23616.307011983576,-13323.921082215165,-16548.088444499248,-55705.71784437811
5,-43101.58588651182,-12060.789082183319,-21410.921877570494,-18672.155420052826,-68844.7166358406,-8709.648372319569,-73505.89054096195,-25065.03504330696,-31599.176566758488,-119634.73368133603
6,-34636.485259064575,-15914.007985063095,-24442.925697800307,-16276.692972955392,-60484.608135836774,-25251.38248202637,-12231.790826722048,-30821.533910684047,-44491.159898372745,-71698.99288710843
7,-12350.776942548762,-34467.287118704255,-5863.594572772187,-48757.2126828477,-35455.42663289354,-63539.70122419554,-7844.742274429951,-44155.21368870495,-21472.244341676203,-29489.052193278225
8,-32887.29902569081,-38191.426035856224,-46719.307604017835,-49214.78984393312,-16517.646292901503,-28814.273906932965,-7655.607044872743,-25202.116807587714,-6843.247606217616,-12757.73627297255
9,-23013.586044166637,-47921.185493294346,-14169.329471610854,-30396.33219729268,-25380.996634506795,-24956.278003729072,-12579.028393068402,-8213.320546307299,-24346.53444081989,-25461.110546483553
10,-32817.00845807223,-36156.5968585722,-5656.717699134571,-16481.287723734782,-22942.797576527584,-17104.224388194863,-22973.27336694914,-21449.552074970085,-21085.98015315411,-69405.16875587347
11,-45826.6888780659,-59818.56185940413,-22000.881524686545,-29360.114314671577,-28627.450532668743,-48462.48954433891,-36333.01640452049,-53183.65042218196,-43580.119086780105,-8215.442392629724
12,-36085.711967037016,-40140.4159474057,-24208.35199051984,-16491.976119793413,-25438.83441487373,-52466.97744969229,-6200.484530222191,-35391.198295643306,-24312.143938904635,-45181.89940527991
13,-57065.9712208734,-70058.85508905958,-49888.66289218318,-46316.13685234396,-22136.460797831583,-27489.685206931907,-18089.659797164277,-25567.13903505435,-29509.71946024537,-43191.903850439296
