iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-93386.57774124556,-85273.4919661805,-81299.39274763544,-101187.95534728619,-86323.966374033,-90938.8048779946,-109370.60543492997,-92051.4247588476,-96386.4876110736,-84942.72037901562
1,-90641.01308579836,-78520.19010131585,-66406.8230707896,-99456.1549827288,-86323.966374033,-87169.52711528316,-97874.12879573232,-82856.18190905654,-94350.56692925216,-80277.18709213738
2,-82230.31179212761,-76006.01266586609,-65350.74288894853,-99456.1549827288,-81858.95008724468,-87169.52711528316,-94176.27828502396,-82663.90855121336,-57144.1446293438,-70832.84409496977
3,-78418.51642035205,-66003.12333063898,-59713.97361225367,-91998.63255874968,-76071.75187104166,-83271.5549733534,-89041.11554981512,-68255.57457815779,-52123.73821795064,-66741.79959182252
4,-63222.32928120649,-65395.25018512634,-57843.94470938164,-91998.63255874968,-66938.03867774864,-71813.27230336839,-80039.37447596993,-61242.837450490515,-44982.03369261883,-47523.33852951499
5,-61371.34465299492,-58833.91392613127,-57423.4233613939,-80963.3083980798,-60375.18566273785,-38077.968605930175,-77203.60542426712,-53286.22720692087,-24493.689441250877,-47393.01392483265
6,-39013.33202524826,-56295.82585043332,-54757.71166998345,-77434.82160188453,-40873.357136123144,-36525.81319628341,-77203.60542426712,-43673.27678771896,-18910.02131083252,-29852.733964666782
7,-35245.94030983683,-33910.06053661636,-54012.31940188384,-71552.83708006385,-22642.394577977746,-28945.229766651828,-71536.00919574684,-33923.05188557929,-17487.418057001367,-28083.175731346662
8,-30333.313289760677,-17289.737336786857,-50046.345953991695,-64923.402334942555,-10814.309295623196,-21845.626284616224,-57278.51893925227,-29050.09471802639,-13232.68689625282,-21609.201577965476
9,-23734.468879360185,-14459.342366323133,-41750.365929589134,-64732.708818608895,-6876.07653664204,-17223.117500933018,-53321.09137660834,-19747.16986350885,-7741.180330380052,-16355.003599848973
10,-15543.136641864978,-13340.788991606008,-35204.01588040963,-64732.708818608895,-6720.506435915933,-10998.082730610951,-44714.37061696459,-13223.907399337131,-6585.349793791837,-10339.591085384396
11,-9858.95835376293,-10533.99754637268,-27176.679356931447,-37238.06987342682,-5220.713880105648,-10657.06580266983,-34225.209604952055,-12179.868025240357,-5511.417203557734,-9262.879278971443
12,-8411.211616861632,-10470.266464206146,-25424.88867788675,-27095.81223556117,-4693.620372332045,-6588.484466901189,-14162.174060542013,-9113.473751305599,-4576.066100269823,-8150.567281032799
13,-7540.912133553311,-7460.73287315083,-19327.370057409946,-25120.892392213078,-3863.1650932314915,-6376.5286102071,-11160.408678415912,-9113.473751305599,-4511.983249775525,-7567.615482391131
14,-5986.8256684305925,-6843.991909136226,-13775.956377912062,-19506.55962892068,-3492.2140568482355,-6260.242458289041,-9519.130892210624,-7647.2938684040055,-4157.816131475578,-6424.798454694796
