iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-456809.6497345071,-529635.0580981233,-411648.90902900684,-490987.7858441848,-450576.2414775393,-427019.1866403597,-437344.3608047947,-464902.97368671687,-489798.5968457388,-459721.17907245975
1,-780133.5109536026,-762989.1811528109,-630367.9733896902,-803265.0867410372,-828125.8566667608,-762161.5562984826,-552534.0272969347,-526466.5430682122,-759155.4491786833,-374227.62609199015
2,-763344.6795556529,-983495.67325433,-973447.4126434135,-1040281.2384229312,-890004.2894204173,-895197.7063029858,-787661.1945156951,-497335.4868236466,-394829.9996595122,-449917.0441389468
3,-788902.1596295754,-887085.4190131918,-870719.181893313,-896708.4809980318,-523599.5589688044,-850066.0556850889,-719351.1758491145,-466544.99904930784,-192696.57030822855,-794055.1648654173
4,-534943.1936309075,-599007.9078247279,-641795.29920261,-843424.5239025367,-561007.3377367953,-580150.8744902681,-636607.5290778993,-322609.8349663939,-349676.52934141166,-387932.69896088727
5,-495022.6629050021,-333618.2065221149,-558569.9279145347,-648353.2402375133,-623563.7063340457,-111033.53769364273,-676972.7245019074,-402096.804350556,-113723.95863717538,-680899.8485030064
6,-204785.94375323868,-573733.334971978,-479636.2308751636,-588951.1745920648,-141392.9816637275,-169099.57807666433,-854613.0239821248,-88724.93510629318,-157616.7480602216,-406686.2142983129
7,-219179.30415558652,-104198.42237943549,-452906.7629460973,-546736.9796898046,-106228.13007456006,-223523.8666819714,-373093.3851660957,-232640.6874984298,-198606.10678949897,-265799.1371419939
8,-153311.57839142423,-118968.59420478166,-209514.10822882102,-316964.11540881,-116099.92002334955,-286625.5427569767,-512726.8191758623,-195306.3225654932,-91214.73948271158,-168816.12359428965
9,-179403.05738151172,-162396.87566618118,-385532.738378769,-458053.52489714517,-197953.80432081554,-135085.97670279667,-401014.20030439686,-147021.0522005614,-55025.546752010276,-81879.01365022291
10,-196491.84572180582,-112883.89880871752,-185827.03068382767,-642353.7021666121,-124728.0288218037,-82777.31577191364,-325721.2795741423,-85145.42897033508,-111932.96174060309,-59633.81367367697
11,-120637.61258702389,-130599.9141107796,-161148.51048098825,-120881.49996071128,-122751.55037141779,-146842.68596385114,-112708.13748310048,-195130.26406799862,-116981.97357166898,-178940.68747814663
12,-94033.7198818013,-165376.07239117753,-176748.6396761977,-180649.23361897195,-171106.94036075732,-102906.57512135078,-71338.68421689143,-110097.74103984195,-152506.42467910485,-204007.03266046924
13,-155430.93905830517,-91065.80660318944,-172015.63963373055,-165824.3429385482,-243595.01017288418,-161085.67675806407,-122726.04950283043,-117997.97848823949,-51208.93995704448,-95504.28917180892
14,-44523.66690985132,-174120.84037747644,-194397.99197320896,-113091.23296231538,-134278.36859096977,-96240.21659902405,-92577.5014646854,-78946.0626247552,-57279.169993176954,-74236.41927971512
15,-97690.25812662227,-169991.0313597612,-236720.50172743254,-79413.33814077996,-51762.772546781474,-209222.10229410286,-123223.28123441988,-100421.36343265449,-189136.17053203116,-125926.08452813252
16,-56182.84381077939,-57075.03357122176,-86051.79505446233,-105043.43808063974,-105634.40594410442,-181450.65668328467,-251065.72210561804,-130874.64564654956,-143339.47430876354,-142987.3214479019
17,-88486.29117142898,-233385.53135674,-103588.88692791082,-88938.91162006586,-108474.08436166102,-132829.48075976485,-205262.21912889162,-116824.77247734604,-98229.55770394062,-262598.63583875954
18,-84155.71089143466,-135908.73984040815,-119536.01034779876,-186518.91737820458,-150822.16861129474,-65516.879440105535,-123656.17752210057,-64677.40924254705,-226872.2019937992,-77686.11566681648
19,-189925.39232139042,-124800.68061686346,-119140.05808842156,-179552.5640435358,-152443.03377243807,-89945.253987673,-137622.65044761193,-168912.58581377982,-145189.2457928327,-97506.62387730397
20,-155038.37413722533,-84203.16520956381,-210897.55039551388,-128232.21642206755,-133380.50922305346,-117959.2338958732,-109789.08334812446,-83311.00123104655,-184509.45828463632,-74113.0968197869
21,-89319.47401241922,-101499.00076173156,-115385.28706076727,-148843.97045821368,-123104.58698324506,-148226.8475754133,-162522.77524380403,-119823.57055385105,-143349.6208331753,-196506.7425005723
22,-74071.50311846109,-160712.76976366085,-143222.64109674317,-58700.88814448664,-35933.977189270096,-70941.40507058546,-197747.127090673,-124940.37259024757,-141226.61701393663,-101572.15624582677
23,-157255.9118256463,-162895.94056717365,-83286.40937813529,-114159.1219503423,-232930.87748148714,-81364.53556096813,-152892.8915222641,-157051.57812053975,-110547.75542247205,-216322.19995197465
24,-301346.39392871666,-170772.76528756687,-113833.35431748128,-94605.97373440383,-91795.83060347289,-63529.00625854406,-182311.15022400822,-111070.97023234314,-109343.09146213498,-134698.55009221574
25,-55076.45978062117,-84848.53204290841,-209427.8791452918,-114232.31974826669,-76875.48183613663,-107247.16332569976,-159455.98644056878,-211468.63164534583,-245987.87486650943,-103886.62730121806
26,-141521.8605499887,-88145.80734373187,-245034.6790846743,-149069.35584581585,-155353.70923339602,-158378.18831638308,-170327.33051001807,-108548.18383245077,-111061.22060008289,-237058.77757690244
27,-56839.353624251686,-45669.13104837983,-171796.05493074172,-155047.40745048242,-199943.74608672637,-72621.96886629629,-245526.1284151249,-145472.28864612497,-97525.41187284714,-153205.8354879762
28,-243300.80607292513,-165698.74399934214,-220372.20497234963,-140973.7332492333,-94988.31026151907,-55485.57618845753,-110003.36247978032,-59550.80534183705,-81927.18988116822,-105183.94730345838
29,-80141.01986373174,-68107.33847260964,-156110.3814560665,-90930.03940811657,-118113.11614485744,-127544.88036707869,-150843.8356132186,-78656.99953116817,-145975.95468930205,-158135.04244087444
30,-147963.22121524735,-154777.6990146887,-227381.37306317638,-80654.72176223708,-153362.73788151337,-109040.4821612156,-143965.09808896473,-95204.85052611794,-79694.30092317572,-86456.07890063958
31,-122461.85018994298,-89078.73222938844,-226313.13688158663,-153948.51945209695,-73151.95601624649,-151830.2009109673,-98234.66808424183,-92143.76332533523,-80220.20357020685,-130690.52800539522
32,-168543.80202370224,-230128.95333226668,-162665.31424121803,-125487.14627456243,-135686.68347661267,-64686.9379323795,-135184.58455062535,-113762.89106501659,-40530.20216857052,-100320.80878726902
33,-83641.21141963682,-230660.1042273441,-139527.37590526958,-209255.8075683096,-75884.59694538412,-149238.91862976804,-106862.73768349385,-106575.93966572854,-68728.74732874546,-80747.65503533944
34,-64545.3453771802,-131159.3889493245,-73761.98947323233,-190427.21788685495,-98118.06604123261,-141064.13752860087,-59356.02262931483,-129509.5892068666,-48686.682603632595,-124670.13734293674
35,-103133.38945751311,-189823.11865328645,-60145.42440885233,-144489.96469134622,-147733.60971901176,-113515.79544698879,-101878.62251653019,-86307.34777970181,-179657.1063744967,-131016.2419910911
36,-79983.0992855056,-215772.7507118822,-105767.71431967858,-119583.25269110949,-141276.07405032628,-108991.13322526871,-55991.21139375501,-67689.99238443194,-76444.23423819052,-80498.73122435756
37,-121061.32962194967,-155051.90161053298,-128005.85981055329,-144388.90319495136,-141116.1412141836,-110045.31969699677,-94694.53773966807,-96953.99690222688,-70701.07907912432,-99872.76550778435
38,-133348.15847639527,-87190.78150984296,-191891.23947814628,-101983.20301049334,-184208.93751835378,-162861.33255363576,-89507.55264877612,-88014.7377308066,-99883.40602510804,-132110.91970600717
39,-149521.2834712139,-113726.51256510089,-126927.89732824912,-111077.54472800315,-120021.18249518774,-35715.64358514972,-111271.23862557778,-97171.53769536116,-40402.19713182655,-156171.8832378863
40,-77625.77229929755,-144010.09394112107,-79747.5272945363,-124201.17746467932,-145044.07823771064,-194471.90531594184,-75305.45133304785,-102065.93384097135,-201321.838980564,-92879.69248559693
41,-123974.1404516802,-51491.24559539771,-93306.05139608143,-75955.92892440471,-121343.46167296295,-180394.76225383743,-209914.13631759636,-96779.0469316825,-82882.61431264179,-141194.3193973013
42,-132331.83620279876,-96739.1284655423,-86260.08263415983,-78781.73361888014,-71948.54553872818,-93147.45851094705,-238956.0022310756,-63553.99022500064,-97850.72304805114,-140452.760394001
43,-76788.57270345079,-110034.97488852698,-83699.27460357887,-189279.6428919222,-46715.86256712253,-49517.04495906386,-165015.9910752146,-97995.42117185624,-82187.0258196414,-105749.38227032394
44,-115478.51804430626,-141339.70880449237,-218505.41462424074,-194833.2503328896,-51846.905608625166,-107384.39831931904,-72279.74383595452,-114710.38870806826,-54374.14564660481,-113956.10450719093
45,-71704.36993160585,-166460.6594565039,-136171.33727687167,-80921.65928721179,-101693.58540725986,-62004.22011475185,-110826.42833748097,-147050.87589926773,-83694.14022017148,-122044.45004802026
46,-64705.175315224435,-184929.83149947092,-135478.86500203062,-108376.4683168059,-102635.70718228153,-170795.28926599358,-97458.63388421584,-109573.32480488566,-79470.71149817735,-56146.18808481172
47,-139062.8989011158,-119284.81260048019,-154760.4409949744,-67336.4390236031,-35067.93277025639,-142478.97731137404,-157657.5657309668,-83186.59922360026,-126903.40515047603,-90801.40980237442
48,-128904.99758609719,-81130.16453008399,-243152.24943439907,-134298.1338903048,-43128.29952256358,-91846.77466096685,-147822.63822559197,-88032.09295118519,-88317.8089362362,-59930.128678993875
49,-158953.3611684336,-145933.33250458597,-188696.88573187828,-121652.97004325311,-87270.85296879166,-64061.26229003231,-186895.55658809035,-110814.5695993402,-57056.35908283474,-50982.390548899755
50,-196885.6955747152,-69156.75322456473,-181933.52125705162,-82763.35610309553,-49050.3430692572,-91458.80105319491,-104589.36745631229,-179076.8381084107,-46450.59524030879,-176497.74600205664
