iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-94456.7784774408,-82270.53478679656,-90941.84428252418,-103822.26267919492,-105865.56652563071,-101147.14729001961,-92986.91895957195,-84125.56483022243,-77619.57111390427,-81738.00179401704
1,-80386.4466606592,-70169.63236173967,-82027.18076770229,-103703.41858444197,-95730.0401379299,-89571.18334266162,-80689.8921551279,-69732.70480082769,-68750.15395020763,-71974.04904321933
2,-74337.66953587023,-51453.860099248544,-64714.65141220175,-80300.09230220945,-87084.23439188926,-78343.5783294174,-67862.50847465397,-55101.0690642136,-60911.41429183992,-62382.97577406779
3,-53573.45147747817,-40293.40284976034,-59794.52378144299,-67307.54925281894,-79165.82475130136,-75613.08752749971,-64608.32185674013,-39577.99398312416,-51792.876436802646,-60175.33503489419
4,-45400.90432724287,-36901.431574975344,-46708.3261462419,-47294.6001445017,-69156.61019095352,-55746.72801795174,-58148.44614042132,-29717.223415813547,-42172.13536443107,-49180.4740344513
5,-37084.1602698511,-32504.06812639032,-38899.634272577154,-31730.39147178561,-60723.11810127463,-44826.4955569553,-58148.44614042132,-24261.20920682476,-32391.03029068367,-47542.57594503385
6,-31787.907071073256,-28571.4191664843,-32047.980036083263,-30574.505249601014,-51571.9061679042,-40916.62396784901,-48107.9253255755,-24256.059617222087,-27898.31471300723,-39637.848794258796
7,-29817.20357314122,-25822.335992962642,-25614.601607913413,-25438.433668872713,-47119.1535683416,-38378.03337508429,-43742.15946403435,-18671.46928306065,-27381.881525853612,-38193.48137111379
8,-26563.964907029822,-24157.012966720744,-25614.601607913413,-22701.77322350043,-42319.29824230549,-35308.05678834097,-41548.042119346515,-16444.49809370941,-27016.40402439634,-34248.54130384302
9,-25919.44547184172,-23422.896180405412,-25614.601607913413,-20267.06457860354,-38125.89949212189,-33298.14217753563,-33656.99861135152,-16444.49809370941,-24963.320374151986,-26555.530858701455
10,-24178.85220273074,-18250.353291530744,-25336.0174560688,-20075.723833397828,-32809.51194219953,-31600.54689380921,-28175.718208850543,-14435.419921234643,-22505.317049350444,-21881.471834434782
11,-22300.082022960945,-18250.353291530744,-25101.064252671917,-20075.723833397828,-27574.965064383905,-24741.483908315808,-25717.143885077436,-12737.436862073944,-22227.1340333178,-21752.00245358029
12,-22300.082022960945,-17661.551260060463,-24385.44518787175,-19618.12059506676,-24619.28385524163,-23665.24856692829,-23374.867821675783,-12737.436862073944,-21411.034805273594,-21124.904036995893
13,-21071.805577302726,-16553.637668516756,-17863.832153407828,-15110.587219988629,-19814.267959918718,-22801.323793716605,-21903.63133290378,-12737.436862073944,-18962.86010321165,-18517.871771937334
14,-20150.812086816768,-16018.199660496331,-17207.08373246494,-13535.62733374751,-16350.396990793268,-18206.285531413683,-20829.77617368561,-12006.71174391129,-18620.581870253754,-17320.49864240854
15,-19906.914850569945,-15626.665800804356,-15731.96840204736,-13535.62733374751,-16350.396990793268,-15515.570485919367,-18692.544858085577,-11033.475298227257,-16916.507842681276,-15921.20267054906
16,-18250.782214594677,-15626.665800804356,-13749.57371660156,-12832.732441225697,-14525.394771311237,-14735.960823815354,-18074.931210269082,-10372.152098546007,-15465.385080098593,-15380.273732006484
17,-15106.211219278013,-11912.599339961358,-12780.940392125645,-9841.791581970574,-14407.427241472444,-14521.867644948634,-17636.660592487366,-10372.152098546007,-15124.146761508433,-15380.273732006484
18,-14216.902905904182,-11868.8925779981,-12683.38064730066,-9154.364486785149,-13078.960978293133,-13770.784569223917,-16817.037703745045,-9931.342353395052,-13502.095050694938,-15212.242349728022
19,-12329.948698185315,-11638.898950042938,-12282.502618257982,-8631.467050432517,-12859.44863781298,-12203.402847989571,-16089.178017816928,-9629.121918686615,-13502.095050694938,-12483.74923226505
20,-9615.942147060548,-11459.708052242626,-12282.502618257982,-8631.467050432517,-11258.61738408406,-11724.184980027738,-15430.84862651313,-9629.121918686615,-13502.095050694938,-12483.74923226505
21,-8811.410803137864,-11459.708052242626,-11612.250054772327,-8631.467050432517,-10762.39315583456,-11288.616486352643,-14112.93297282922,-9154.28196206972,-11834.814748192828,-12130.31794135908
22,-8308.721702428731,-11459.708052242626,-11612.250054772327,-8517.04355953229,-9906.761374376674,-10888.61810908456,-12133.184421405069,-9154.28196206972,-11430.036307724724,-10920.178304392424
23,-8308.721702428731,-11098.78702817711,-11476.557667947673,-8517.04355953229,-9250.507181698478,-10888.61810908456,-10763.708565559044,-9154.28196206972,-10695.354248679214,-10920.178304392424
