iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-491167.5032295451,-467951.5829503481,-654117.2522406075,-477025.1587679121,-414484.87383085664,-437378.77468382654,-454768.5500171399,-449568.2498609535,-444591.23294769274,-435581.63756563084
1,-183264.66275409496,-218605.13443657188,-202899.8508316201,-309385.40144417353,-279374.9780194827,-245454.3602904776,-198431.3560736988,-202807.23760934864,-174102.30711229256,-211331.05329670117
2,-143278.0378179883,-132288.9006784313,-134811.46320883854,-243580.364692616,-264014.6677807055,-284561.5330235447,-196953.4115689819,-144663.5411800181,-236749.40953199792,-234048.45072916162
3,-101789.32808846337,-161594.9210520919,-188244.79869521534,-149079.07206186757,-186513.47193301303,-161164.49460360876,-232519.73762788734,-94989.97096520098,-109836.58287925908,-179843.12380432468
4,-156914.79572397866,-215406.00613143912,-138962.79616924774,-179845.1918215904,-162015.06081010983,-180265.79337405058,-333603.8722049927,-160461.93800766347,-123038.32779468826,-195932.30301820984
5,-88963.01436977144,-193793.91843260487,-117558.31385909439,-108616.23895999651,-200943.8908981079,-161634.2737454903,-209639.557302786,-151493.8027890853,-231167.07932938362,-291735.88380450365
6,-301154.7087071605,-178853.31557112694,-132010.16450506364,-174945.58273525772,-132583.5682656436,-210284.3481981332,-207948.43251619383,-297857.4042002012,-137695.0900161569,-127975.28682725094
7,-184468.28091868747,-189893.95031291136,-131518.19225445087,-261121.55941055733,-105538.35077287783,-132713.50875862,-161357.318631629,-216709.71923403704,-175034.65179173363,-183704.0754765268
8,-213892.75355484287,-96781.74391586459,-215640.13948809676,-134262.79602951536,-155515.45287665958,-129041.1644832481,-186662.165010231,-174369.4570506417,-94571.29606110399,-192332.69042439407
9,-142245.30936917625,-214597.023306196,-194736.15261410136,-180089.93346683835,-226305.10073197878,-205112.5739113816,-193958.07615139315,-293734.4912099188,-107134.44601795005,-94409.18268594307
10,-100547.64554260699,-149105.74055536516,-203725.72124073794,-186327.31822653092,-128882.55730875491,-176058.3945341465,-198121.7304388078,-177577.25309634377,-168720.89949430458,-94880.56606031503
11,-75749.23874309623,-167231.55785848465,-156621.0212006534,-282743.8603669669,-110080.508636543,-101673.5466385777,-103635.6016339492,-135420.7795692798,-98213.89717259415,-118737.17064966448
12,-102645.38461163525,-167134.25098383712,-165076.98577712587,-219558.35239334538,-146231.33724103958,-131158.59313369828,-147133.19845391178,-116816.7259359132,-185981.94931534718,-94053.15273882303
13,-130065.2641963728,-164938.19053332313,-145714.60565058445,-128478.62714132913,-167690.8617235341,-104392.0107039833,-197868.45777729733,-100156.3658462079,-146335.58400642988,-179981.47074914718
14,-140250.34434117406,-118004.50113134607,-192421.25870495697,-97556.43556395487,-214185.41951056203,-177677.68042535812,-182934.5083178946,-138240.6988001709,-131763.02578302202,-152004.00004077275
15,-161274.9713405287,-144047.24081303185,-103201.53841768304,-67809.00266838148,-157234.68878778402,-101576.82297120316,-317098.1546229455,-104312.47260976769,-117768.48978394656,-110515.3121971256
