iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-94456.7784774408,-82270.53478679656,-90941.84428252418,-103822.26267919492,-105865.56652563071,-101147.14729001961,-92986.91895957195,-84125.56483022243,-77619.57111390427,-81738.00179401704
1,-2477.19568376309,-14087.2256606001,-2849.3630317792804,-4208.043812721047,-11083.418528598184,-2215.2513699100937,-2546.9379742205588,-1164.2586717817821,-6547.117261427086,-6360.471375534319
2,-2243.642528611657,-1450.1506848443382,-1867.659026134749,-2661.1660843189884,-958.903834421184,-1295.7696512383836,-535.4806960750454,-707.4177836226265,-4729.767379544306,-3284.2191827267834
3,-2157.499756246427,-1033.3079778211443,-989.7839829335792,-1247.6317569324651,-615.897180678717,-617.5182739561818,-347.15818326424676,-442.8126894505211,-850.9413592235906,-2332.2877341879857
4,-1902.509068728292,-1033.3079778211443,-989.7839829335792,-1012.0078815349457,-552.5791302236482,-590.9596626005883,-319.0682799503945,-425.59303322035953,-850.9413592235906,-618.2971970697074
5,-1477.3988158802194,-1023.482650592429,-989.7839829335792,-422.4619840845361,-277.1347221910813,-590.9596626005883,-307.4907545426569,-420.43913616659336,-831.4274894391326,-528.9087118311027
6,-1350.9597232399176,-1023.482650592429,-653.3351845096624,-421.6227256609354,-270.8746654377898,-590.9596626005883,-298.24998100584696,-370.3017517468751,-680.6624248398122,-528.9087118311027
7,-1059.939795590035,-1016.014438182524,-630.6609671659108,-404.2220350305053,-259.3660904960492,-483.02359079804273,-298.24998100584696,-262.33426258227314,-452.35053084993683,-528.9087118311027
8,-1059.939795590035,-670.6952361842503,-586.1096065387875,-377.36244944399004,-259.3660904960492,-445.91842710740946,-266.71873535179975,-262.33426258227314,-441.8268525018866,-518.716260910104
9,-1059.939795590035,-597.5387534829888,-399.33360838824404,-306.7599930055108,-259.3660904960492,-413.9155873026551,-266.71873535179975,-262.33426258227314,-433.164274259524,-497.87543499083284
10,-935.8341554419358,-536.9954514000402,-385.4695297656217,-306.7599930055108,-259.3660904960492,-413.28479355287544,-255.36389363845896,-262.33426258227314,-433.164274259524,-471.39273208648666
11,-867.9447726546044,-454.19767082171614,-377.648276604429,-300.24248596046425,-259.3660904960492,-396.8847504822364,-250.79302027752445,-184.95797731782346,-433.164274259524,-468.3179149659465
12,-867.9447726546044,-355.93874252016633,-377.648276604429,-300.24248596046425,-259.3660904960492,-396.8847504822364,-231.61110108782046,-184.95797731782346,-433.164274259524,-401.3718813984266
13,-867.9447726546044,-328.08408116369264,-377.648276604429,-300.24248596046425,-247.58569810674598,-396.8847504822364,-226.11994987143322,-184.95797731782346,-427.72480187597125,-401.3718813984266
14,-867.9447726546044,-328.08408116369264,-377.648276604429,-298.28349595215934,-247.58569810674598,-362.1760464756576,-226.11994987143322,-184.95797731782346,-411.2600673540263,-366.7693345204082
15,-867.9447726546044,-328.08408116369264,-377.648276604429,-276.3472723494326,-247.58569810674598,-362.1760464756576,-219.71675299915307,-184.95797731782346,-374.2380899711175,-355.47937664984306
16,-865.7694201089835,-319.72838750660037,-371.0751535978334,-262.19689956594095,-247.58569810674598,-362.1760464756576,-217.4510127124577,-184.95797731782346,-339.832402826366,-354.49565158552286
17,-865.7694201089835,-319.72838750660037,-371.0751535978334,-262.19689956594095,-247.58569810674598,-356.7614714810146,-211.2517369674545,-184.95797731782346,-331.9247296181892,-354.49565158552286
18,-865.7694201089835,-319.72838750660037,-367.6885911269594,-253.90586785328645,-225.00174735178044,-343.977117917043,-146.07434017576654,-184.95797731782346,-331.9247296181892,-304.76017656141477
19,-865.7694201089835,-319.72838750660037,-367.6885911269594,-253.90586785328645,-225.00174735178044,-342.5176827974625,-146.07434017576654,-173.4725106068504,-331.9247296181892,-281.0676149185127
20,-399.69515998279917,-319.72838750660037,-367.6885911269594,-253.90586785328645,-207.90637662281404,-342.5176827974625,-146.07434017576654,-165.83657585628492,-317.2121560342304,-277.15866482765335
21,-399.69515998279917,-305.039100020554,-362.81020526997025,-253.90586785328645,-207.90637662281404,-342.5176827974625,-146.07434017576654,-165.83657585628492,-317.2121560342304,-277.15866482765335
22,-399.69515998279917,-305.039100020554,-353.65961117981215,-253.90586785328645,-207.90637662281404,-342.5176827974625,-146.07434017576654,-165.83657585628492,-315.1732981146008,-277.15866482765335
23,-399.69515998279917,-281.30812857599176,-330.1561230279287,-253.90586785328645,-207.90637662281404,-342.5176827974625,-146.07434017576654,-165.83657585628492,-305.82856547416293,-277.15866482765335
24,-399.69515998279917,-281.30812857599176,-330.1561230279287,-253.90586785328645,-207.90637662281404,-338.8903194593212,-146.07434017576654,-165.83657585628492,-303.74487212892257,-277.15866482765335
25,-399.69515998279917,-281.30812857599176,-327.3855322929299,-253.90586785328645,-207.90637662281404,-338.8903194593212,-146.07434017576654,-165.83657585628492,-303.74487212892257,-277.15866482765335
26,-397.5976386569243,-281.30812857599176,-327.3855322929299,-253.90586785328645,-207.90637662281404,-338.8903194593212,-146.07434017576654,-165.83657585628492,-272.3710994406863,-254.6621143415163
27,-397.5976386569243,-280.9491437651297,-316.6415389822688,-243.56634385548477,-207.90637662281404,-338.8903194593212,-146.07434017576654,-165.83657585628492,-272.3710994406863,-254.6621143415163
28,-397.5976386569243,-280.9491437651297,-316.6415389822688,-243.56634385548477,-207.90637662281404,-338.8903194593212,-146.07434017576654,-165.83657585628492,-262.150564648302,-248.1808316101265
29,-397.5976386569243,-280.9491437651297,-316.6415389822688,-243.56634385548477,-207.90637662281404,-338.4232173630878,-146.07434017576654,-165.83657585628492,-262.150564648302,-248.1808316101265
30,-397.5976386569243,-280.9491437651297,-316.6415389822688,-243.56634385548477,-207.90637662281404,-338.4232173630878,-146.07434017576654,-146.1380342136046,-255.96985541056182,-240.9346535851048
31,-397.5976386569243,-270.0020982035777,-305.1821669280728,-239.57592732130763,-207.90637662281404,-338.4232173630878,-146.07434017576654,-146.1380342136046,-255.96985541056182,-240.9346535851048
32,-397.5976386569243,-270.0020982035777,-299.05124742287717,-239.38234063202339,-180.161487679481,-335.01374204745355,-146.07434017576654,-146.1380342136046,-231.20846976118196,-240.9346535851048
33,-397.5976386569243,-270.0020982035777,-299.05124742287717,-239.38234063202339,-180.161487679481,-335.01374204745355,-146.07434017576654,-146.1380342136046,-231.20846976118196,-240.9346535851048
34,-397.5976386569243,-259.4763730125113,-299.05124742287717,-239.38234063202339,-180.161487679481,-266.9434038676137,-146.07434017576654,-146.1380342136046,-231.20846976118196,-240.9346535851048
35,-397.5976386569243,-259.4763730125113,-299.05124742287717,-231.7101855607126,-180.02143036567165,-266.9434038676137,-146.07434017576654,-146.1380342136046,-231.20846976118196,-240.9346535851048
36,-391.25311444863934,-225.50028138499783,-299.05124742287717,-231.7101855607126,-180.02143036567165,-266.9434038676137,-146.07434017576654,-146.1380342136046,-231.20846976118196,-240.9346535851048
37,-391.25311444863934,-214.12640587310233,-299.05124742287717,-231.7101855607126,-178.39109088744095,-266.9434038676137,-146.07434017576654,-146.1380342136046,-231.20846976118196,-240.9346535851048
38,-391.25311444863934,-214.12640587310233,-299.03236671675205,-231.7101855607126,-178.39109088744095,-266.9434038676137,-146.07434017576654,-146.1380342136046,-225.06845017373325,-240.9346535851048
39,-391.25311444863934,-214.12640587310233,-299.03236671675205,-231.7101855607126,-178.39109088744095,-266.9434038676137,-142.75227314263438,-146.1380342136046,-225.06845017373325,-215.6663617792151
40,-383.0924180325068,-193.85334080045857,-299.03236671675205,-231.7101855607126,-178.39109088744095,-219.732224549196,-142.75227314263438,-146.03597150233168,-225.06845017373325,-215.6663617792151
41,-383.0924180325068,-175.25393444378005,-299.03236671675205,-216.56596308097943,-178.39109088744095,-219.732224549196,-142.75227314263438,-146.03597150233168,-225.06845017373325,-215.6663617792151
42,-383.0924180325068,-175.25393444378005,-280.39453204958073,-216.56596308097943,-178.39109088744095,-219.732224549196,-142.75227314263438,-146.03597150233168,-225.06845017373325,-215.6663617792151
43,-383.0924180325068,-175.25393444378005,-277.69264883209604,-216.56596308097943,-178.39109088744095,-198.869257024699,-142.75227314263438,-146.03597150233168,-225.06845017373325,-215.6663617792151
44,-383.0924180325068,-175.25393444378005,-277.69264883209604,-216.56596308097943,-178.39109088744095,-198.869257024699,-140.28121061920984,-146.03597150233168,-225.06845017373325,-215.6663617792151
45,-383.0924180325068,-175.25393444378005,-277.69264883209604,-215.53112250156204,-178.39109088744095,-198.869257024699,-140.28121061920984,-145.44109301707613,-225.06845017373325,-215.6663617792151
46,-383.0924180325068,-175.25393444378005,-277.69264883209604,-215.53112250156204,-178.39109088744095,-198.869257024699,-140.28121061920984,-145.44109301707613,-225.06845017373325,-215.6663617792151
47,-383.0924180325068,-175.25393444378005,-277.69264883209604,-211.5265716625753,-178.39109088744095,-198.869257024699,-140.28121061920984,-139.39558666066637,-225.06845017373325,-215.6663617792151
48,-368.07411942669347,-175.25393444378005,-277.69264883209604,-211.5265716625753,-178.39109088744095,-198.869257024699,-140.28121061920984,-139.39558666066637,-225.06845017373325,-215.6663617792151
49,-360.6137985098433,-175.25393444378005,-277.69264883209604,-203.25001081264298,-178.39109088744095,-198.869257024699,-140.28121061920984,-139.39558666066637,-225.06845017373325,-215.6663617792151
50,-358.0599899838602,-175.25393444378005,-275.92990349680116,-194.0168953190344,-178.39109088744095,-198.869257024699,-140.28121061920984,-139.39558666066637,-225.06845017373325,-215.6663617792151
