iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-94456.7784774408,-82270.53478679656,-90941.84428252418,-103822.26267919492,-105865.56652563071,-101147.14729001961,-92986.91895957195,-84125.56483022243,-77619.57111390427,-81738.00179401704
1,-34128.93144304357,-37795.07323565797,-31960.208681275188,-42432.936547585676,-52354.46822976001,-44164.141801405494,-32748.31748403894,-44541.01630719803,-29860.064444076757,-40339.04913844994
2,-13945.38950864287,-23712.247458910308,-18277.816804297756,-30905.340284011192,-35229.49711907905,-30796.655862303498,-15443.056695374593,-23055.427275814378,-16893.225194882398,-32804.32066577069
3,-11505.334665400536,-20731.885648575135,-8170.72570556645,-20090.420295244192,-24050.60845841875,-19678.12470305678,-11281.451474038295,-16128.034930816506,-15305.369209055461,-22459.596867746375
4,-10942.513509694036,-19099.96682077515,-6467.970882918964,-17464.900254454034,-20718.633286505537,-16702.75669091513,-8478.234421903428,-12001.404349982058,-11784.13434413883,-15422.967486596543
5,-10109.297536552542,-13391.021615231668,-6048.80256637222,-9999.160792374969,-13794.871228373573,-13679.760883722684,-7650.840575377041,-11159.82563873705,-10246.68605297535,-12735.267977915928
6,-9076.757284358042,-10556.73164965925,-5562.019383091792,-8968.499612742584,-11242.248491409959,-11560.204042547792,-7129.027863419971,-10565.181360747983,-7893.3073010500175,-9602.898825276228
7,-7952.200448541467,-9405.15297906262,-5341.779120459585,-7790.246175184736,-9750.69672023165,-10835.926329179982,-6984.357112465882,-10197.732296709717,-7640.327285972422,-9357.13228885622
8,-7653.79472862297,-9008.20097167878,-4473.801434095967,-7485.061672795633,-8660.911934091702,-9830.96452694391,-6363.732959780317,-9791.644806579174,-6306.970673688331,-6323.113020580553
9,-6478.51387220753,-6804.261592624467,-4139.715201468215,-7250.653377904457,-7971.2436545487735,-9256.947909733748,-5932.990379853005,-9037.56021491044,-6068.753926474423,-5200.631408413316
10,-5514.164853376375,-5863.458456424773,-3609.026152526444,-6836.628227472234,-7251.248227376832,-8026.962136201638,-5878.114235942715,-8307.15145733464,-5885.148198891176,-4377.256057171512
11,-5103.0077181075985,-4790.9962991134835,-3219.846150355648,-6717.407658474818,-7114.744504470353,-7592.246503448723,-5542.987240310302,-8243.526978004487,-5634.705945836172,-4281.004703577416
12,-4650.8511569333305,-4482.435358017566,-2932.6419126773385,-6501.24543290483,-6773.198855983722,-6815.039389187745,-5212.021647894441,-7336.9383927845965,-4505.41077404623,-3794.3087214150555
13,-3854.7747463122187,-4431.199531783948,-2746.092062226854,-6450.783737948327,-6520.305250420964,-6542.324618067657,-5046.780602195919,-6988.154152326624,-3608.839683005071,-3537.7136243212612
14,-3146.5641207984113,-3578.2248578323265,-2661.4139273100245,-6233.723987394012,-5949.323232101146,-5475.920213552132,-4727.215623032473,-6518.429410496498,-3358.8367139379366,-3451.616191014363
15,-2790.0696210062433,-3518.435198152751,-2606.468952939108,-5799.946439058854,-5415.609498197274,-5213.7027668088995,-4205.426661036745,-5671.731310238165,-2749.0418955693594,-3340.6117202933674
16,-2591.9446797155415,-3398.880702227979,-2221.253362296776,-5723.020817888259,-4734.225554461478,-4910.8151687587015,-3160.5914654719336,-5452.9215598694445,-2717.5056641249594,-3251.4591912773085
17,-2317.2813585562394,-3010.0855625890736,-2133.3756795136746,-5257.67627449481,-4469.748579238654,-4678.500677632418,-3097.360349775764,-5247.756515378207,-2622.740178560715,-3068.9621016325946
18,-2052.862189056488,-2778.5539003068666,-1785.5954459521001,-4931.513456005565,-4356.801751077053,-3984.1313387265136,-2869.6181977685396,-4851.394425985687,-2396.0838563341526,-3055.830190914741
19,-1839.3485851129524,-2196.550816852844,-1728.3396851041161,-4592.374282548314,-4144.014525088211,-3023.1593604388445,-2445.741761282809,-4770.741974176598,-2109.1001866437905,-2661.5183406415103
20,-1815.3235978422754,-1867.8622478228176,-1531.6690495979385,-4442.22664505173,-3999.7267841702637,-2447.626976287622,-2311.8733626842404,-4678.726352816309,-1571.3542413323667,-2568.1475488202714
21,-1736.5579287682992,-1821.34321331275,-1524.482948510523,-3998.027801791764,-3779.2981021669702,-2437.3312030343277,-2216.210987651063,-4628.438470760988,-1367.2481142882739,-2502.0647274539606
22,-1655.8608984033685,-1759.8318027004113,-1476.2116273122874,-3986.2400605729445,-3705.0275643279138,-2100.981379148172,-2129.323515655988,-4309.688106872948,-1317.4439479781702,-2150.1332423049894
23,-1640.3551733127476,-1668.107073014552,-1400.8256793173932,-3885.9337366398713,-3409.1072657658806,-2049.4007206131905,-2048.842559319983,-3928.6243973050045,-1281.6516913449082,-2134.8978998490106
24,-1573.142051284429,-1622.2769247786637,-1344.903663746026,-3852.104704619075,-3285.592394083667,-2017.6276783334372,-2016.7128567900686,-3674.1279741176086,-1113.7815200615437,-2066.691788019136
25,-1562.7433416064607,-1622.2769247786637,-1144.930560974935,-3574.3993691772953,-3189.727753362111,-1899.4273568325607,-2012.9606401730985,-3673.1198151354242,-1048.6124428624344,-2046.5858132577023
26,-1550.226046689682,-1612.6753330749948,-1143.1353712216319,-3340.335519574214,-3023.8340754570504,-1873.7038115054004,-1779.3537950793493,-3568.8529619090373,-1005.0235160354173,-2032.058340981951
27,-1456.6185797421103,-1480.554463742068,-1135.9912765408594,-3142.5618533250295,-3000.7498421134205,-1843.3783910245481,-1737.6218219727284,-3160.1429311417423,-1004.9556093179496,-1972.138139771936
28,-1399.9372060125506,-1459.4864262928425,-1135.9912765408594,-2599.2418719207344,-2907.316259769691,-1718.1920592480187,-1684.1917166103776,-2255.4075003927333,-905.23359143059,-1972.138139771936
29,-1393.0071020822159,-1395.3880621600301,-1087.7794871924257,-2332.4666704005476,-2620.0421089610736,-1643.0857435598791,-1669.2237734253063,-2247.048462893495,-903.7368166503871,-1912.3423868828313
30,-1386.8797541817962,-1358.119161698516,-1087.1021728738574,-2116.879654390352,-2496.471407675662,-1552.9364317741351,-1641.5545060058053,-2170.283300258118,-852.0000975347982,-1729.0080345385115
31,-1289.3308498915762,-1310.102847081047,-1002.3500837914062,-1977.166896261224,-2293.5727444625154,-1500.675467557298,-1588.4282752197544,-1497.5219588642572,-852.0000975347982,-1648.545435066344
32,-1277.9431284628301,-1306.2233293228228,-971.3819906000535,-1782.9147079288718,-2141.0976077001187,-1484.7938756200103,-1517.3256170286882,-1481.4100800325439,-845.1246676550003,-1495.6819448247857
33,-1172.536967717248,-1258.3031900451024,-893.1391189792514,-1476.0172660307749,-2118.0768091975033,-1480.651375658883,-1482.840675120947,-1088.7231654969178,-708.7680030362551,-1352.2728674042507
34,-1066.284822793429,-1222.1266852068395,-781.6826908807129,-1224.82041848054,-2083.7234368472027,-1303.1579737956781,-1441.2415483229329,-1016.3334058587558,-656.1369296939729,-1256.8175617321992
35,-1037.9539533297952,-1151.0388687978066,-751.7781738827607,-980.2975842344373,-1998.671458202206,-1255.1992394878778,-1421.7181004914316,-1007.5241412731159,-644.3699898446602,-1172.373584509679
36,-977.9852223244482,-1104.6262588647319,-736.8421715409884,-933.6389266078203,-1972.6057540388115,-1243.9110739620578,-1391.288109103453,-961.2450952715933,-617.4139412490711,-1168.9725674953902
37,-949.8342672714446,-1017.6941037651847,-720.2971382947987,-866.3619709036735,-1861.868987480312,-1228.8085773118185,-1391.288109103453,-919.5506110676172,-585.3047046925284,-1111.6565489526674
38,-930.8471726265605,-966.7503790588469,-650.7970454154308,-811.6057509124975,-1770.9121712204956,-1228.8085773118185,-1371.5509005586346,-870.7683144213343,-578.9625541224667,-1058.9141539911875
39,-912.0356590240513,-952.3919862085445,-635.9071806913433,-784.0983587115433,-1749.7708244928635,-1191.8327521488059,-1281.9962039344207,-826.6018401447865,-578.9625541224667,-1010.9986619271939
40,-901.8319145831983,-907.3157224106392,-629.0339513131768,-745.3201082191526,-1685.3123248372954,-1188.3874804981765,-1212.6564117759597,-802.4360087791922,-578.9625541224667,-1010.9986619271939
41,-895.4524515272952,-863.5971684518561,-623.2020032986396,-743.9519612880746,-1650.9636815617096,-1188.3874804981765,-1151.247350538733,-776.6723117137278,-525.3166704653252,-989.1330247988087
42,-866.3363473683938,-833.6304129119122,-604.0239215982415,-719.2775690335941,-1650.9636815617096,-1188.3874804981765,-1113.4523074298816,-776.6723117137278,-512.2381646941715,-971.2309592031304
