iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-94456.7784774408,-82270.53478679656,-90941.84428252418,-103822.26267919492,-105865.56652563071,-101147.14729001961,-92986.91895957195,-84125.56483022243,-77619.57111390427,-81738.00179401704
1,-84452.6943740646,-78141.31810501458,-76205.27632814785,-92852.86071046969,-86064.47439613167,-90102.6229226398,-85769.67110162419,-74022.57492971641,-67881.18247643721,-78411.84085008912
2,-72927.77459121766,-69275.39686168628,-66798.09764783876,-68372.00658066598,-83341.4327544009,-81544.5923405065,-60465.707842787655,-68136.42052034676,-57490.47267618503,-69245.56428055049
3,-68669.66785880386,-60387.52054157191,-64402.170148139456,-54000.29600732803,-80255.91467992551,-72188.58613738613,-53477.76314360513,-66607.45046875192,-56232.2937422512,-66635.42612518472
4,-56571.63931857223,-55608.8450450966,-58763.19315573818,-49717.88920503449,-69440.00771906726,-65637.02475064251,-51390.228980608,-51786.38149023977,-53616.14893321839,-60754.395944507654
5,-53309.63200220847,-43550.36227324299,-53807.08343766536,-41114.65101603973,-57194.98355336681,-62969.100154951535,-49411.80631345063,-49168.304330574974,-45907.84635721617,-56257.31541385895
6,-41080.998071757436,-40288.775164307255,-49607.22160673102,-39015.11860523943,-50943.3234362105,-60000.33161256618,-49344.76672178545,-47766.0126150645,-39612.19044662173,-54439.60183948631
7,-38356.33165866062,-36524.32505233264,-42280.24215489156,-35300.1610035953,-46005.224103369896,-56047.24672629091,-49344.76672178545,-44357.27182047223,-33813.72303133449,-45933.14931395692
8,-34417.964686950734,-30371.414265346775,-38971.578495664835,-35080.58833126235,-37867.588575457936,-51630.96223184391,-44497.04023764687,-42609.696517235636,-26499.141838612697,-42120.98204367183
9,-30088.09526696585,-29481.85642794009,-34542.685718383975,-31142.054989874156,-32573.951936758676,-43257.810154732724,-38938.99521949339,-37578.265678411844,-26499.141838612697,-40713.54873826726
10,-29850.780569519055,-29096.721276996068,-32034.266230205343,-31142.054989874156,-30954.283428008013,-38535.1924555281,-35519.76799924134,-31005.325274189938,-26018.639327691504,-40295.61293218542
11,-26596.58769992715,-23832.470984843054,-30668.727521808214,-28050.81052954602,-30954.283428008013,-38535.1924555281,-32019.168735696207,-30836.542992817696,-25418.78158584979,-36923.92789007525
12,-23478.83623076629,-20553.235810718164,-28070.79377549295,-28050.81052954602,-29839.433932191172,-37780.21101978945,-32019.168735696207,-30836.542992817696,-25418.78158584979,-36537.19011179389
13,-21821.99913705758,-19972.621783299634,-28070.79377549295,-25882.916300076366,-27540.82707979602,-31804.159739575152,-29954.724395272224,-27274.0361926038,-22667.96530364021,-36047.846311130605
14,-20559.663811683473,-18525.0250983915,-28040.93117205149,-22519.55938573648,-27422.018204801534,-29879.439145302113,-29607.438741945392,-22388.816787883592,-21718.928813098377,-33640.57478212578
15,-20559.663811683473,-17378.966995285205,-28038.52653320264,-21690.899157384745,-26099.410505807427,-27673.129073847802,-27447.295014796084,-21603.038532722097,-20141.58842735462,-25618.399471129196
16,-20559.663811683473,-14930.675891536466,-26576.810735051888,-20939.598760639645,-23673.314031524813,-27673.129073847802,-24075.77764823533,-21603.038532722097,-16170.442339408839,-22387.795936359853
17,-20268.52387718384,-14868.69712169518,-25267.173330537444,-19660.207634524937,-23673.314031524813,-25305.007107840698,-23879.75682223039,-19822.266673620063,-15632.106040189663,-19622.6586683803
18,-20268.52387718384,-14674.029288727957,-22755.55545973518,-16902.38706532206,-23673.314031524813,-24874.059601503082,-21242.924155858396,-18820.489688966638,-15632.106040189663,-19622.6586683803
19,-19772.80075917408,-14166.500599697178,-19797.296502147714,-13907.609466696977,-23181.577528788785,-20586.00871714983,-21242.924155858396,-18321.049765215994,-15632.106040189663,-19622.6586683803
20,-16684.651646038863,-14166.500599697178,-19674.741472503865,-12864.371181313549,-22735.276979505863,-19339.347045853334,-21227.0038093094,-17416.890239339198,-14276.656652440042,-18883.164355168377
21,-16684.651646038863,-14166.500599697178,-16995.112494994883,-12203.402161194404,-19179.232652539133,-18519.83387329048,-21227.0038093094,-16775.162182360807,-12218.702301961435,-18696.404953799676
22,-16684.651646038863,-13885.200975965516,-16439.65511579768,-12203.402161194404,-18291.04465499133,-17779.974700844876,-17982.936709873393,-16423.447347361605,-12028.523411058322,-16768.279116646656
23,-15917.405947689593,-13885.200975965516,-15896.930528314095,-12203.402161194404,-15387.958339916713,-17195.053883631823,-16926.81474209624,-16423.447347361605,-11991.213215211636,-15834.752998715212
