iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-491167.5032295451,-467951.5829503481,-654117.2522406075,-477025.1587679121,-414484.87383085664,-437378.77468382654,-454768.5500171399,-449568.2498609535,-444591.23294769274,-435581.63756563084
1,-201007.6000475902,-219553.69476917677,-160183.34397595067,-358190.47716332617,-250990.79794382467,-230933.9323363923,-227961.01288267248,-205128.86807507602,-178841.75643342716,-272838.8984638031
2,-190242.20475870138,-170811.69571766318,-242086.25264844816,-190031.20344380656,-241756.45605234237,-263947.00898764626,-138490.18214601415,-216185.57392994966,-265585.0104336507,-185620.13964640797
3,-191986.2696796887,-127648.52031960383,-276239.4938210725,-215060.66086352253,-295883.5635740435,-186682.3279757236,-198253.12981435173,-180066.86983017798,-242627.20794637743,-261431.97380368825
4,-120207.8945917346,-165022.92381919903,-175144.91526688798,-264779.30889598595,-170038.86348979853,-242684.87805222406,-159921.50900593566,-196493.02299214253,-111022.33837151284,-204908.8693339765
5,-186030.5308584079,-171175.35647210508,-221156.9552190032,-155213.41458781622,-177963.54193836142,-202503.2920955362,-204707.27276629457,-187501.07815476734,-174010.38823365714,-197447.70315232914
6,-149910.31668259084,-202190.08859022555,-234544.03256429677,-284313.16151375335,-235708.88666349667,-217851.76646367577,-221634.7726085555,-290870.4683680823,-171467.21699432327,-189428.62155229552
7,-203950.59557205762,-372402.970123439,-156918.21155483142,-110299.27740654306,-104654.9937850584,-198314.39490095995,-250750.44805780414,-204604.36036181732,-197363.39226939948,-215231.43431775505
8,-102713.68523312012,-134976.9023634679,-307560.4435635428,-202207.37662696422,-227083.29296380133,-169588.939264318,-134075.74404588438,-200687.39010710077,-125427.17017000358,-186883.21812653585
9,-166087.33107700595,-198893.62905503085,-126953.45576435539,-182243.6218419517,-151166.58245735875,-114146.63175660925,-229801.35173959238,-173799.08811811678,-137596.3463939291,-156481.70431227624
10,-203220.2305675369,-178448.87507200113,-144647.39327918773,-152932.3518127523,-198719.15815011755,-218108.9260069246,-144881.72629850463,-181318.96908452606,-173240.02190529706,-140917.62169181887
11,-233903.1478281574,-203197.83537582465,-150475.48126470041,-141658.56476791966,-183589.4466959836,-171444.077985441,-144185.33884407533,-159974.15012560273,-226009.00295587827,-158259.77104684646
12,-292540.1569489379,-153235.2623577012,-103087.11832581426,-171526.28644993817,-167264.1752679783,-253844.7672146304,-247093.7862483096,-164874.31616904127,-158669.55381466233,-202692.90008309478
13,-130721.58485616665,-192548.63949859014,-220079.8850795629,-223462.50764514087,-159918.76325969107,-146721.42827259167,-230038.50644537027,-175703.6388634912,-128896.79063733268,-173053.58913409364
14,-139893.8814128906,-96437.62766851096,-221550.8678587472,-129119.86458813587,-165261.05109675825,-190306.56481828506,-149913.40789679385,-185271.37544619944,-191600.840436563,-203674.01378658946
15,-179010.4729125,-161850.75495606533,-247978.7138511982,-103883.65013909555,-253071.12220494967,-158316.94549096463,-187381.10383600136,-143358.98059362013,-141399.3642571522,-208637.51008820353
16,-239912.22026917237,-110687.56448440354,-196265.25591547575,-216458.43465952482,-110363.88054085616,-224048.92665539123,-98593.97871521415,-127287.05975605291,-113910.95980637158,-147427.16522012942
17,-114158.57659194761,-121757.2680797841,-90873.4966340815,-165528.0568035029,-217139.57251589227,-236320.0306056858,-103044.6448662835,-86125.18954226027,-157606.0802718172,-73154.23544189143
18,-122618.27299395943,-168239.48373292663,-90635.92549176441,-97881.18682302194,-207371.41284811287,-174030.84473363886,-160357.5870890805,-195114.11209205317,-103588.77583510874,-137501.13978486453
19,-143181.49582719573,-185713.26749710075,-107102.75701864113,-188850.8199684485,-151887.5502574077,-136939.3762680248,-166120.25166684412,-220141.96639900046,-114922.11760124829,-160920.35035454293
20,-179176.00346923148,-192788.6335372027,-284041.53989557334,-164079.30363763458,-194131.3436126169,-106904.48785820053,-76503.46402416911,-150298.01170027285,-200563.46772878375,-126378.4050704739
21,-238147.45162126957,-165658.89743150005,-130757.99259704791,-234377.75746120306,-101460.73467715332,-132140.1835825115,-243404.99739241012,-194482.09751411635,-156541.59563397293,-207602.7061192607
22,-162475.181914611,-79031.65933899547,-106104.01602112938,-180203.1683173172,-133175.01841987437,-62355.638969542655,-126146.9816958795,-127860.8554198749,-206139.01719416052,-97326.49145699898
23,-168058.22435510583,-140569.12448229606,-154131.57668358236,-103097.67697102291,-159456.59427372622,-176559.35690297448,-161969.2050047295,-66283.88696851017,-178837.12290532666,-90149.66879458944
24,-137253.92298252936,-190759.81973570175,-125270.68963785603,-295295.58722435863,-76372.93354433034,-99049.05046558045,-213028.5473833348,-214175.3418766863,-128087.84591657144,-156760.7890813777
25,-109758.05501989536,-150110.1946702294,-155058.492706388,-72839.9681206285,-75806.41048314032,-146037.46347598388,-203750.04551187943,-98843.04438970602,-171853.20498267905,-136250.57802998618
26,-56208.849960510124,-108630.79157617815,-104824.48805436736,-182337.75686358084,-107985.36698040577,-162812.60161673662,-93699.87573764613,-125525.0356776455,-128775.84585542434,-174667.3561023393
27,-111814.98432130972,-142953.07604008133,-109697.17058600688,-129874.60401366794,-115346.53614624323,-153318.71450597266,-149653.6028030237,-116548.03224816518,-169812.5177808639,-135248.02023321696
28,-68154.30355505284,-207856.56687372478,-104308.76130904054,-116297.33792387639,-106081.07763290431,-137209.91371780363,-184631.94358182917,-33400.11522281417,-98962.64577286138,-136116.12519701206
29,-130553.16756785088,-127503.20208903302,-128770.70141922843,-120676.52709805247,-131854.29714216702,-105988.05750978363,-176398.27787467875,-81532.4622230632,-91511.84209729929,-63124.70938867131
30,-122786.32506716812,-79975.8127161111,-205337.96029122308,-156275.3469432246,-131297.6726308543,-126162.3362419061,-84563.21386235591,-84180.72766660136,-84481.42797458294,-90835.32559705363
31,-173321.94021350687,-91785.62086140561,-148330.52686268,-105406.53369629552,-115630.01291276023,-129679.43958918417,-102610.83745996599,-166036.87201570903,-160977.3290837539,-101419.93476998125
32,-112024.85910072394,-75875.34487896785,-137387.96595961103,-197385.47224751205,-88172.22700006413,-141995.11666117035,-152888.91294809434,-162561.56925661268,-142826.2718264051,-145361.75881155278
33,-104586.28357854829,-73832.242320622,-161495.54123851942,-81047.77818534352,-117540.48658288187,-76833.76053882815,-93318.3238956762,-57541.059658765786,-51066.45098824865,-69742.97774877869
34,-64603.295671863,-69639.85080646774,-158964.00292003935,-72556.13691482252,-117863.98564756494,-114144.16945752624,-90643.36494976682,-65148.98786549472,-111184.0235108512,-165682.48205275
35,-160678.18038837597,-138840.00260982884,-67300.55986324043,-209644.5874725413,-70558.53305299554,-123527.94916150488,-138831.117256021,-50242.788153030575,-95115.0658196783,-134972.94283858602
36,-180849.36324581096,-109523.20748394346,-126053.81487159504,-94772.52281284265,-181636.68763211102,-144927.4903565383,-205811.35033049417,-201000.29572762433,-60665.02486038131,-95233.33126627324
37,-151576.22503339185,-132719.4323969775,-132993.18595930494,-164761.87338335015,-100360.8477926359,-71590.67478306417,-118978.36560250784,-83054.17481091122,-104474.7966878319,-77824.5322426855
38,-186775.12437693184,-64756.90555262906,-152479.856121629,-131430.26254942574,-196192.48018972576,-129722.95901702606,-150780.26036937052,-112848.74819660374,-133879.64404545559,-61379.45431518456
39,-67150.2165483636,-81682.98791734978,-114927.59816300857,-98462.12033839393,-102628.41046946213,-137134.13720694563,-119150.34362370848,-81228.68839945835,-170437.3420062418,-74478.7887787061
40,-52197.06755517988,-169189.87610413076,-127694.21709473456,-105370.047729807,-161937.20490336645,-161616.88958562346,-225128.8238197031,-146198.8194868788,-87744.13323133026,-122901.95684831718
41,-97475.6041338646,-110738.7358353126,-76531.69314073678,-88438.55590586009,-180934.55483842455,-137160.63729537974,-116194.68378168347,-90864.73575762131,-145136.38317216467,-112147.8269461661
42,-136039.03666042618,-59958.213423432215,-194866.46911020105,-131556.6685496528,-71114.18964425437,-90143.58775854847,-112921.97861195653,-119566.56764453405,-128383.52085952082,-70295.34358634129
43,-81856.83356790539,-104630.38010698513,-90418.92230507468,-51212.52216240687,-105376.27091224608,-105492.04016077201,-80080.5347546262,-72487.48013325619,-98341.02967239001,-81744.42277930336
44,-73137.72885404069,-69235.4988728555,-60477.6455353354,-78370.6083269532,-91705.32678326951,-80645.1401308632,-157022.977276704,-89122.8475832394,-71756.41541662984,-107277.96425500695
45,-155657.6690977204,-124670.09578955371,-179803.6153558775,-61938.811792450484,-81329.51506463888,-121106.41184788411,-97020.70520060498,-132726.56695788365,-145933.1920337884,-56392.13202154804
46,-163778.09033955977,-109148.67335725384,-140352.29115004197,-50785.7545126725,-67539.74633351079,-109614.80483481137,-80013.02500723668,-120619.22971937901,-66827.86303392609,-148160.23699666827
47,-54992.268161845,-96235.88317847278,-98511.55932397273,-96740.25062167019,-59340.30694743988,-126481.85213982168,-50307.411582016335,-70966.18783477726,-66525.370238601,-131669.65219423347
48,-47466.1801538333,-118358.52355659408,-53842.44918688915,-64805.65764773038,-63756.37518613372,-72298.36964798675,-42160.40158845896,-52809.613468287454,-75028.55040431183,-51289.68463600004
49,-85118.55592180714,-110431.27004190674,-164752.57443929528,-65362.179720864675,-63834.26526289562,-94199.70065228472,-64360.00229761763,-89973.24391005703,-29618.843283952352,-96128.01263833288
50,-115537.52299449274,-55966.76977990208,-54707.05337967657,-110986.818233293,-117051.42350593458,-46252.90953179246,-71636.83990530294,-145789.69584853482,-134194.76121512757,-110281.2167665315
