iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-94456.7784774408,-82270.53478679656,-90941.84428252418,-103822.26267919492,-105865.56652563071,-101147.14729001961,-92986.91895957195,-84125.56483022243,-77619.57111390427,-81738.00179401704
1,-28033.277687969,-35170.549353854105,-26712.225377064213,-37748.081841611114,-49865.890210649246,-38572.125686373336,-24184.630389122525,-39525.87310827247,-26080.471030514655,-36167.82447068785
2,-17444.2943298967,-23208.47591483519,-16522.57673117012,-25424.10757066693,-23930.673181147875,-21197.34957945488,-17870.785494395477,-24503.678741468182,-15831.9310518237,-19524.74503067891
3,-15813.617794631398,-17981.11463405843,-9137.982693808142,-16579.565221139423,-15204.00956683398,-14237.163925952853,-15297.421024809983,-14634.947801049393,-11729.797241785196,-13255.241292416113
4,-10137.192323528572,-13655.435412739767,-6165.432816408125,-14551.532513585762,-12387.146776630869,-12694.180256136195,-11310.911119657707,-11109.895177768492,-9892.114386124813,-9431.90259367877
5,-9763.877776815752,-12016.271913212406,-4291.593644576989,-13454.388289071085,-11157.428409660135,-12136.706482839028,-10799.789686706472,-9921.425089778157,-8014.032410444323,-8570.933388319487
6,-9352.562032479767,-10837.56838682968,-3914.859845303815,-11140.553245189141,-6631.133075311882,-9622.72843609082,-9792.542406525583,-9712.492889057776,-6163.980137372095,-6995.2238372761285
7,-7796.397553262008,-9489.060642937948,-3709.708974447129,-9758.335506216621,-4819.76197912426,-8290.796814994112,-9455.900719552392,-9560.276791725173,-4878.782215603847,-5885.395556816207
8,-6787.414700187004,-8828.159350451839,-3414.6506289304075,-8868.526622451045,-4786.1756020670555,-8277.552393229998,-7227.661539150757,-9462.858707658954,-3899.2045838957647,-5610.546026043567
9,-6383.855254086675,-8604.8953933224,-3331.328401763808,-7401.763079985281,-4576.384507419464,-6908.690411351183,-7099.241422021107,-9335.55971200331,-3807.737279907453,-5127.494252892491
