iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-491167.5032295451,-467951.5829503481,-654117.2522406075,-477025.1587679121,-414484.87383085664,-437378.77468382654,-454768.5500171399,-449568.2498609535,-444591.23294769274,-435581.63756563084
1,-69650.03384940237,-67822.66409985349,-76481.55235221657,-146774.89571648565,-210666.88749370183,-84518.11157465205,-33479.71629789029,-107373.44477991786,-112627.4107489837,-90793.31972257087
2,-190297.12902255572,-106777.5716872046,-169589.93837556776,-113103.46364810927,-59001.40521195998,-114087.64500626376,-64379.56565804901,-127914.11989597662,-110614.91919588699,-81352.18898338632
3,-146898.89941074114,-140133.08471474232,-63481.265713244924,-158487.25747708313,-90973.88581981999,-142201.68329900643,-163059.92873543242,-44557.835241072156,-104641.0460506778,-182333.4930297276
4,-74473.4509969104,-59676.55635185169,-60421.1994928482,-111780.14565189881,-61320.73747098408,-167202.6365348454,-129899.0678168178,-83808.7923325671,-132417.41554170763,-85725.77044708785
5,-57026.79368445439,-80108.33703150235,-91165.62734081395,-160936.36972260213,-26901.70336895914,-99820.24461528948,-217753.2385055004,-59597.70101057537,-92621.33769857645,-84471.44961950308
6,-74556.83148382523,-21190.26007534464,-17320.607450932574,-38359.3005228959,-44388.73758781795,-67570.36716108976,-192310.09990379645,-54749.47642489769,-47702.228509594745,-56699.375906453315
7,-121374.35772199972,-64443.78806234385,-81786.09039179955,-23418.526736267668,-82926.3900542369,-132072.20907738834,-166216.74502121445,-58239.534245651346,-113008.77785415568,-74155.35720926581
8,-161853.6217949916,-164759.3965283609,-5084.05289261567,-145897.7598584714,-138076.33490101073,-65356.70685235446,-99814.16462797945,-100326.85089569153,-31686.943517108477,-163207.06243968685
9,-42933.205920881825,-156622.58899518527,-92219.91132069072,-80439.00493694036,-128633.69956660838,-35158.26186389829,-218789.41760643857,-49881.24850142661,-19602.429459324077,-131350.9226258967
10,-40712.31454896627,-72065.57721605914,-147861.90724411112,-93014.70869056332,-110946.3655890662,-23592.485879408385,-118287.79751885548,-127426.66783263904,-5276.385689851003,-226570.23216173425
11,-110762.55895914444,-71220.6716560493,-122889.2317497127,-67525.10252140589,-118073.03981190558,-22629.968060290194,-67960.21529238262,-60974.414057784445,-82774.95849417127,-121532.93448831278
12,-75187.10129511003,-34302.393529580426,-39278.25417027327,-76228.75190170755,-52504.84678013639,-127243.37236644152,-145580.48691281574,-9353.775556579752,-107508.19107653784,-140165.37800695567
13,-71977.83687097537,-102351.9838948842,-83463.1750674803,-57263.05258349017,-87174.10955662426,-83180.01207125187,-60652.9021616987,-54907.37442947907,-56379.01354728303,-40431.77227943465
14,-81087.6904871466,-140094.9925403731,-68830.8190918974,-114167.8480067053,-94555.73221497318,-72780.44534958174,-17694.850702833446,-97026.44971494874,-38863.85538234242,-91143.06976761903
15,-136638.89537998947,-174188.96329750313,-73342.75775667942,-101141.26701206018,-135869.25621475978,-120507.45811736627,-75144.63131038056,-135235.25110726693,-196897.98804306565,-81804.02386526704
16,-103261.02741731581,-39164.51386136677,-72886.45042809017,-169453.78956891768,-80649.42644634073,-87167.51615086968,-194046.29337155045,-119189.92081861837,-43665.970775964815,-73367.72755399674
17,-76576.47784520968,-134880.00208187735,-122539.69591196958,-66829.68934622704,-54608.81917774377,-109747.04128316935,-104220.77800182035,-4012.0811439342624,-136659.90540788378,-78022.33453631001
18,-102585.47074941981,-48873.493641734814,-96108.4692268042,-51948.8068945315,-114335.07763232596,-27663.379483756118,-148724.88389626713,-102104.27851586377,-56687.82830202199,-58974.48687268748
