iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-188.42775407275434,-188.00857504305537,-194.1982113646073,-209.2818899181904,-206.6219547726939,-195.1956319965008,-195.0925253200965,-176.75392255005957,-191.88436331074163,-179.46322463168323
1,-61.02547638541285,-74.94479238686569,-69.17806146303397,-71.92153612365934,-82.08506262509967,-83.59900319160323,-81.66998251791188,-65.69506822360125,-62.112531371805545,-82.64007332524942
2,-21.92746601050774,-33.410804714154956,-26.676610363227915,-26.863557118346904,-34.97520539501146,-29.699831814529624,-27.15895135850876,-30.34517717487996,-28.813506159944033,-32.00386731611034
3,-17.548254461674468,-26.285998877249575,-25.569313913482098,-18.91417889723479,-21.293105959299147,-23.59616867067583,-20.657241191672227,-24.690016092167316,-17.08097387209886,-15.415480535871342
4,-16.21502281606687,-23.055126868068673,-20.20450073719634,-18.32806267453563,-21.18030876265569,-18.74883670712738,-20.631553362207292,-19.832107252672014,-15.552481027409563,-15.182437064266677
5,-16.21502281606687,-21.243599636683086,-18.375767800393255,-15.38770914827205,-16.450133232997388,-17.850883677003814,-19.914835169722437,-15.844523161676838,-13.775911582834905,-13.633063161737592
6,-14.912645436153428,-17.539919859575683,-16.671570683311252,-13.258877740851192,-14.65427643385954,-15.797638097222071,-18.782792394925806,-13.042664479267952,-12.229336916951635,-11.342554657647884
7,-11.93827643786043,-14.34093080613722,-16.372969910898043,-12.799347560945751,-12.797257277923233,-15.733792678882267,-14.809841559466317,-10.628449519367656,-11.416872022870654,-10.806878154794031
8,-11.558232199361493,-12.655353868355023,-14.787636301896415,-12.462389746793757,-12.382794271879426,-14.622536510108148,-11.384663831617967,-10.263022251867167,-10.594461323980102,-9.347836130035283
9,-10.651718499586066,-12.28608940079928,-12.377781567321234,-11.356045733023016,-10.860693787622397,-13.299241588601152,-10.993643263229675,-8.575968024430672,-9.503643299290655,-9.251540303431781
10,-10.133933398080561,-10.746065673999754,-9.406513711737961,-9.697611913912075,-10.531453573870476,-11.181351458551752,-9.492018493624023,-8.570298881582257,-8.9062825141883,-7.539026164216786
11,-8.997480646525489,-9.546758771897029,-9.047685055342821,-7.904328577772839,-9.828728915394006,-9.736672555190886,-8.572288510922963,-6.790277047498983,-8.732731466025072,-7.266555094526695
12,-7.890860058485742,-8.474718268611944,-8.874950493171722,-6.561152825027366,-8.988227246159084,-7.362128717717469,-7.673470057150128,-6.3980742492459886,-7.893471328620302,-7.052618480128509
13,-6.832630857947098,-7.713371973057339,-7.788659908505897,-6.253006891823703,-7.35521643606655,-6.272008750829425,-6.923191707257097,-6.028188835940705,-7.102376564305542,-6.330351381399208
14,-5.861237992906631,-7.1955585386222545,-7.5260457350210075,-5.753720197331752,-7.087696897000107,-6.15175979578264,-6.747678020726782,-5.718260177004517,-6.269029487208941,-5.547440057504658
15,-5.5614876996585,-7.0570596868670386,-7.223711038669139,-5.753720197331752,-7.0491881891271575,-5.55595955122339,-6.637167855150903,-5.581647332248206,-6.003867536963523,-5.030392620303452
16,-5.3748355226909315,-6.3403190270871175,-7.183051029742241,-5.659947670251716,-6.471667491397045,-5.471145201564267,-6.445555148964523,-5.156223902344423,-6.003867536963523,-4.394866955691128
17,-5.105547644607324,-6.240605658328249,-6.755390936011401,-5.54068353004606,-6.247009289381305,-5.471145201564267,-6.106258337582229,-5.0613125607426195,-5.909455059885529,-4.061902862692622
18,-5.052139746584372,-6.240605658328249,-6.169029692718275,-5.54068353004606,-5.874482603952121,-5.455647401497473,-6.047792384118559,-4.955605892461818,-5.763036781394024,-4.061902862692622
19,-4.914899711187573,-6.002764528845455,-5.679184281188114,-5.536916686697391,-5.821672548076233,-5.448714864454843,-5.93592009988285,-4.809462655984012,-5.668772954658045,-4.028404524327136
20,-4.807380134761816,-5.897348187667409,-5.6738052197480435,-5.321565366057608,-5.61501013801525,-5.4157331631417325,-5.712147265698554,-4.809462655984012,-5.499320713295289,-4.028404524327136
