iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-498.0895665760386,-491.7642552773207,-585.8692483519378,-502.02075197319976,-484.68260303687316,-506.08638770144984,-503.8027923813961,-473.25791144053386,-441.3613704565086,-471.8091852762809
1,-61.02547638541285,-74.94479238686569,-69.17806146303397,-71.92153612365934,-82.08506262509967,-83.59900319160323,-81.66998251791188,-65.69506822360125,-62.112531371805545,-82.64007332524942
2,-22.790001191599806,-33.78441236377917,-26.676610363227915,-27.376799768241334,-35.273973792502346,-29.699831814529624,-27.15895135850876,-30.34517717487996,-29.76909799420037,-32.00386731611034
3,-25.175695674364178,-31.120176225728343,-34.763305193832046,-22.23418084912788,-24.535530002616447,-25.80593823261099,-27.785171661305355,-33.31643609017584,-21.328679696415755,-17.558681320232584
4,-26.16210900381911,-30.682417769035435,-29.865885255736664,-32.85589064110722,-32.61144212920019,-27.43056647306242,-31.296581774519872,-27.60833600098119,-24.780343380321998,-21.774415404424992
5,-29.993816956215184,-27.9507413412122,-31.605147166740803,-22.42169090618733,-26.28909041067319,-25.544173203891397,-32.548801007351656,-23.194496627271334,-24.052468168682186,-22.765390286365403
6,-22.010058588323105,-25.153638122417128,-25.56480527763236,-21.181240130037942,-21.345685012522857,-26.71996806849031,-28.689340163013508,-23.430544152027842,-20.246374798326418,-21.7961612458163
7,-18.12204747996442,-21.77638890639575,-25.14990568283051,-23.100553427799934,-22.233417366668462,-28.674055150070856,-21.9620740506363,-16.58427116156586,-20.25426650737472,-19.48118743472113
8,-19.56141317911277,-19.77612295246331,-24.10792858095202,-21.564971311747207,-21.2345272898538,-21.373630880908493,-18.83296529677091,-18.804230546768224,-18.284849255006417,-19.545945848034066
9,-18.25799772502531,-17.79032573729296,-18.35024251290713,-15.447031553144205,-16.018100128663736,-19.18795584603444,-21.721999028980797,-15.351850115235088,-17.61863269045884,-18.212145766105177
10,-17.64650213552259,-18.738226635609223,-15.453605118221692,-14.768286016194144,-18.92481222921515,-17.290781571486285,-14.339541538326175,-15.801420130809596,-16.85258286980283,-13.435633302697472
11,-12.684616839812742,-13.54539423543428,-14.136444668153738,-12.539823363972928,-14.566131236090861,-16.280990890386494,-14.846816671933762,-11.710859875550742,-15.051414184780372,-12.632531010549489
12,-10.709849699817802,-11.802778454454433,-14.496235907435114,-11.68619424482911,-14.460187241236632,-12.791385050241168,-12.385498912111295,-10.080838892523664,-11.82800905982726,-11.650596083865725
13,-9.756255115891086,-11.563219968811893,-10.326822980877715,-12.603478797342941,-10.198478710507308,-12.41670171278066,-11.201568530538966,-11.750994550990288,-10.808059528426998,-9.545159204021363
14,-8.786917301460573,-10.718573286268725,-11.08644139252683,-8.897961951761296,-11.862830787777476,-10.776506087547313,-11.15137240715053,-9.597200703952014,-11.366830055917678,-8.951337725560137
15,-10.911421019989643,-13.276188103613975,-10.059409381894984,-9.766226403514217,-11.691405283578117,-9.819553642740889,-12.530654135882957,-9.472318815247135,-11.695003954333185,-10.088539314972818
16,-10.223400752474541,-9.343638413202546,-12.434843646782161,-9.290665586686773,-11.355390989057017,-11.111278839563017,-10.740794898351375,-9.762631667718729,-10.648002173639181,-8.372302396618267
17,-8.306149285658785,-10.574617235561071,-11.236553295002953,-8.041739846809824,-11.039493784200735,-10.756399996402857,-10.625073509256751,-9.417786980522685,-10.64478588731322,-8.154944124680792
18,-9.66133903094373,-12.339788110440534,-10.964642876416079,-10.916003120998328,-9.457421945158282,-12.2156161396181,-12.259252345951191,-9.665107289499346,-10.963605411092017,-11.339419238686638
19,-9.619793502410193,-10.9603951333202,-9.595674186620624,-11.471055782743207,-9.666633523367846,-9.751429272997953,-11.252078847865182,-10.564582416628458,-10.09763098743171,-8.47405880152907
20,-9.191997641500057,-10.773795269674437,-12.733153842211502,-7.825453729316582,-11.224738040164247,-9.554489710511834,-9.340554044204033,-10.431404540056851,-10.858211366869265,-8.150372319510938
21,-8.927667323763876,-10.243029368605173,-10.836921283396146,-7.628027966400239,-11.14423492555165,-9.133189343456298,-12.70548629685511,-9.445760088503215,-10.984451696337844,-8.863508384224053
22,-11.314726492345645,-9.190066352385099,-9.304209363909584,-8.816322607339027,-7.5200767867197325,-9.676920443625953,-9.290057481272562,-10.331565780038897,-9.487589459081034,-8.757087311172413
23,-8.248991882714648,-8.616757834944917,-10.422998107789379,-8.902939362272456,-11.435022728895097,-9.851843299496919,-8.527380017499652,-7.528249734167323,-10.013483254372195,-9.047852416068274
24,-8.480001509248295,-11.411777519205828,-10.214846605810115,-10.596716407812169,-10.631553634980735,-9.629992691249614,-10.813790793480022,-9.735417687582204,-10.584792270758495,-10.998293014607126
25,-8.650581536802008,-10.550826295528587,-13.119976139914026,-11.387958214881916,-9.6448957775047,-10.434633912095663,-9.886306486375753,-8.181477119159073,-9.679446843292604,-10.395405789565952
26,-10.921971089275921,-11.294790366570545,-10.11459062097242,-12.804811867639437,-12.304657005438303,-10.56934306081503,-9.0436306044471,-8.562046543061747,-11.939188090470957,-9.172310467868884
27,-10.699078157552247,-9.492866731127798,-10.959487750269988,-9.511434966909434,-11.185517452247495,-10.241223399897347,-10.912531160266917,-7.990556259810839,-9.371356194566495,-8.859747278086957
28,-10.097773411798435,-12.548722096441185,-10.080705839663725,-9.733502890741548,-12.059854233702955,-10.419583181680748,-10.451106663894311,-11.100627527447607,-10.677886971107348,-10.516298255727673
29,-12.195153184893325,-11.503271760255657,-10.316554392262212,-10.871608575256655,-9.957441089476564,-10.634166173896169,-12.171506620322331,-10.847062031327745,-12.492486055012535,-9.114008132946172
30,-10.71826021650211,-9.531231618582636,-13.179505134864009,-13.400880063818029,-9.460994809389991,-10.139438346450259,-11.127759269575275,-11.617043586128265,-10.4817043656404,-10.810716792204932
31,-9.7347716878825,-13.033357845366952,-8.96127271149335,-9.56963994332126,-12.35484398978203,-11.89745083376473,-14.040077699273422,-9.444375416499401,-12.357780777853518,-8.682878778616743
32,-9.234463111386745,-10.744006795610069,-8.44107484809389,-11.208447786172886,-11.104290356676191,-11.440815151351012,-11.755407350088426,-10.942375733495753,-10.314744489123235,-11.739979514135866
33,-11.391404091604823,-13.049210652839436,-14.50011348219283,-10.949592559205513,-7.8641968304473515,-12.421706798006664,-9.981671769957448,-9.38527942328358,-12.622575550279947,-10.677446272357251
34,-11.237459791174674,-11.55369199178856,-12.031002559069705,-10.649344893936007,-10.139065275036288,-13.530782942602285,-12.586609775672809,-10.019146584581271,-12.858249410173105,-14.222888578239257
35,-14.977338121984953,-8.761751263272975,-12.096829037727934,-9.006855351350904,-11.214308502857158,-10.594299365134212,-11.957282626162975,-11.189668123414055,-12.25481790111343,-9.980763648369182
36,-11.241073815240494,-12.103777580945572,-12.55353573514471,-14.23351690756541,-11.579646122576012,-13.280962371898887,-12.063695385634995,-10.570345911881795,-13.679428483248323,-13.182969937780637
37,-11.675950873419787,-9.561034490122802,-13.373426769816817,-11.975135827495697,-13.805215977204288,-8.870242199952113,-11.703374624107868,-9.52866952568956,-16.12512022000204,-11.61030509424076
38,-12.246797177040674,-13.969715322118606,-11.47403334706604,-15.709901121986363,-13.50837981150712,-9.880544027843928,-13.773802515995131,-9.83330592797171,-15.492355969411339,-18.917704809727137
39,-11.874889412956797,-13.012236202248783,-11.571567246935848,-13.09151690100208,-10.494743725891844,-11.797987091652749,-10.245916652781123,-11.776985639756305,-12.001269860580347,-15.25055278764181
40,-13.278071054342394,-13.618365227807516,-18.037211035281068,-13.040061318686416,-14.403032439513687,-10.237797905152819,-13.308173832776585,-8.947014041808993,-14.385655883473465,-15.407847585708243
41,-12.26681390837265,-13.67376234141394,-13.936688750353923,-12.338380271819702,-13.959112500441213,-12.19688148345196,-11.743440320544138,-12.649073256198712,-13.487624132837727,-10.520917088379628
42,-13.001794992187047,-10.788797376126158,-14.358715397071666,-15.189070239235527,-13.646593313756215,-11.277936665727019,-14.44784892832047,-12.072170330565413,-15.489891370318961,-12.679281916207437
43,-15.026583524844131,-15.44364062083388,-15.172051696843223,-15.929471863367036,-13.997735094835841,-14.07865983173859,-11.840621848075179,-16.823648467785606,-14.668738082438264,-15.942452489123035
44,-13.552254878964389,-14.879038754884888,-13.707838209069674,-15.649206620368373,-17.29541525606911,-13.912632053428446,-8.790810908444723,-10.092290728600043,-11.916880786329225,-10.721548441093754
45,-18.57625561761333,-14.572783257110242,-16.675761519962656,-16.764010879436466,-17.654060836667608,-15.785671695127013,-16.311348879724843,-15.163495634999247,-12.035726105988005,-14.452776451560624
46,-16.667143042861465,-16.868284721176916,-15.884338541096648,-17.8838151565614,-10.954541240639264,-16.24323697674224,-13.216779372976362,-13.362710418521722,-16.16574033128012,-14.460152715869167
47,-17.985459163479742,-16.123996496551804,-16.628879548101786,-13.187588753358716,-14.804441256876542,-14.82282065776148,-11.917975439822914,-15.25046171927018,-14.819737397044133,-16.789793608771646
48,-13.467270387260871,-15.848784933177187,-15.942218351032746,-14.505303572058594,-17.753522296932275,-14.242094413000393,-13.000699371420627,-19.30486029170592,-20.161396785927856,-14.766125125982871
49,-20.200623093638264,-17.984817359332126,-22.474092687225607,-20.91332175989567,-15.687395635361767,-17.704062626088778,-13.35469605927346,-11.431125158135773,-23.907403252145226,-17.080495448507577
50,-19.15270579018454,-21.812017751076862,-13.821362315078185,-18.53630696212197,-16.62177188275691,-15.52447224899952,-17.195936724613553,-17.662489584821316,-18.5804733614029,-17.574309428627654
