iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-188.42775407275434,-188.00857504305537,-194.1982113646073,-209.2818899181904,-206.6219547726939,-195.1956319965008,-195.0925253200965,-176.75392255005957,-191.88436331074163,-179.46322463168323
1,-174.36220124613908,-185.93065311131943,-190.15149250873404,-209.2818899181904,-206.05546771551843,-194.89037333540688,-186.24119080130964,-173.41488736618004,-191.88436331074163,-177.7118870843077
2,-161.44438265672557,-182.50672004963457,-190.15149250873404,-207.96663021686385,-206.05546771551843,-192.34692384645038,-186.24119080130964,-170.79558835962138,-191.88436331074163,-176.00901402901235
3,-158.7907334201342,-173.95220600420814,-181.00971833367072,-205.3307878347705,-206.05546771551843,-191.93662797022643,-178.9353338472897,-164.55544152620433,-191.88436331074163,-176.00901402901235
4,-158.7907334201342,-173.0527618214889,-181.00971833367072,-205.3307878347705,-206.05546771551843,-189.86378229203837,-163.70425648083568,-161.81631009906292,-191.52595411899512,-174.89899485389338
5,-158.0646491557552,-173.0527618214889,-175.90970399617004,-198.01131649167957,-198.533032811347,-181.3867062090239,-154.7278446329083,-158.8645402928921,-183.17781189007502,-157.48481232555747
6,-157.97194237079333,-172.28666001547109,-168.52574031619457,-184.66809702751235,-194.15472011330195,-175.4461245531421,-153.37943969481773,-154.74314835875074,-183.17781189007502,-155.12937828574795
7,-157.97194237079333,-170.6638855060708,-162.8237331739096,-170.9504269512654,-186.58067269947003,-170.87737921186533,-151.1677313454095,-148.4109535713889,-180.75909512879124,-146.61651495770784
8,-156.13049269709907,-159.0051963299531,-160.82083871068187,-168.40462113541793,-182.6538481416525,-165.03845557030837,-144.97897336457964,-139.84698546487152,-177.0752185457824,-140.6073584734521
9,-156.13049269709907,-157.83623133265482,-157.8774830526603,-151.8060988452935,-177.22462663724764,-160.15644924796305,-143.2362006068777,-139.84698546487152,-166.37720931676995,-140.6073584734521
10,-154.61694801125046,-157.83623133265482,-145.90823010260164,-151.03727088863002,-169.58607846963866,-158.59550510715889,-143.2362006068777,-138.85705957823774,-163.521143678996,-140.6073584734521
11,-151.81538280877166,-157.83623133265482,-139.33623817618897,-148.57124986052403,-163.91705497996603,-157.75381959800941,-143.2362006068777,-138.85705957823774,-153.93817275003883,-139.91826376877341
12,-141.91184777987888,-149.84128618387777,-135.4183005647992,-148.57124986052403,-155.61536198605162,-157.75381959800941,-141.8594183830469,-138.85705957823774,-142.08995379605204,-137.1815272821118
13,-135.0344348389164,-145.86235639920324,-129.07120974375556,-148.57124986052403,-152.97343631140626,-154.29695215544626,-140.38975578960083,-136.081550480262,-133.83564993700702,-133.5261663655304
14,-135.0344348389164,-145.86235639920324,-128.19335362128078,-145.17141119005322,-147.2002524421194,-154.29695215544626,-137.14623523112743,-121.24329813469676,-128.4772685140366,-132.99121893532975
15,-125.0273710021608,-143.4585952108309,-128.19335362128078,-136.7864939520993,-137.58858635845473,-144.721529200137,-131.26160194686108,-121.24329813469676,-115.45357807496546,-132.99121893532975
16,-121.99390320472878,-139.1586185282829,-127.21684933089426,-132.5537816274669,-127.11263804302568,-134.79666275464456,-129.9925198669002,-112.75689858526904,-114.58198113421116,-132.99121893532975
17,-112.7355202802106,-139.1586185282829,-124.85124204505931,-129.29852170876921,-126.81653017063138,-134.4171180824311,-122.25841757473086,-110.04895363336539,-106.07656036731436,-119.9206210261148
18,-102.16844907395745,-136.66202792760572,-123.17792338657134,-121.19580845332216,-113.37166620592112,-127.85285478348277,-113.60806505831766,-99.72578867040623,-106.07656036731436,-110.6829629185268
19,-98.22309132606549,-131.86127370992682,-121.52187052668336,-115.51402482069042,-107.95921360891572,-123.92567732899681,-113.60806505831766,-96.90760706112425,-101.41988856703529,-105.48870492176212
20,-98.22309132606549,-121.71636526604837,-114.25444628372293,-106.48295360302939,-102.74847654628446,-114.85798920216251,-106.22832073889346,-94.30458975462925,-101.02768813629584,-101.68387469706539
21,-89.1202413789936,-116.2345417781998,-113.58757360568939,-98.22277347553135,-94.30023938496538,-101.95571918895956,-103.09322771861056,-92.29384891425947,-101.02768813629584,-101.43829780235893
22,-87.00727002041816,-108.13347807325198,-110.62973302109035,-94.75129375811495,-91.02918850660959,-101.09363689415112,-100.75969417095034,-85.69218556601743,-98.10338540522338,-101.34499396758847
23,-84.79362152588733,-106.09800656774254,-104.03849385265393,-94.14730151564606,-89.30475821745637,-101.09363689415112,-92.76557513693669,-80.09079932971736,-96.225774527253,-98.55794591168836
24,-78.67774566216593,-100.98979129544713,-101.41351254041285,-86.90049603022902,-82.17613783782934,-100.98764841689628,-89.96990922512606,-80.09079932971736,-96.225774527253,-89.44357797748322
25,-76.35963609125402,-100.21674320049748,-98.34973797774595,-78.55057021720867,-76.61078753181938,-94.91474434417589,-86.83641328404086,-75.85757383741532,-95.4769586775005,-86.32986175868466
26,-76.35963609125402,-98.93786075079939,-89.25848405801167,-77.2974822393108,-76.61078753181938,-90.00765296020776,-84.04099962512396,-75.85757383741532,-90.44128482830331,-83.3755641680365
27,-71.58770789894889,-94.46969106924749,-87.67050282791755,-77.2974822393108,-76.61078753181938,-90.00765296020776,-83.16786065405736,-75.85757383741532,-85.8490426714946,-83.01444033272111
28,-71.58770789894889,-87.02723423360243,-87.67050282791755,-74.55927530807327,-76.12035784347174,-88.12676628659815,-81.20350267950647,-74.34512147459071,-73.22008320963167,-76.99022118876748
29,-69.36180948574284,-87.02723423360243,-79.54183190951588,-74.55927530807327,-74.72977384321607,-83.287063084486,-80.63653883399014,-72.32986357340195,-71.34970003291238,-75.10138499460697
30,-69.22522143887217,-87.02723423360243,-77.22926207640697,-70.7339807188832,-71.78294709397889,-82.25441298508758,-79.7438679755412,-71.99937953290538,-65.11994595016898,-75.10138499460697
31,-65.59022608197547,-87.00143742711509,-69.4295296922432,-66.95388213238847,-71.78294709397889,-81.20173350800339,-79.04903855333822,-71.99937953290538,-63.26928641199253,-75.10138499460697
32,-65.2176275505116,-84.81558271682312,-69.35376301950433,-65.66942478444253,-71.78294709397889,-78.35384375031086,-79.04903855333822,-67.73926888726584,-62.93072879198271,-74.77633980765137
33,-65.20457228907904,-82.07088173570322,-69.35376301950433,-64.09874252432337,-69.55627002530382,-71.75144725115744,-78.85658558590887,-62.58879994482976,-62.08189880821367,-68.76788608493823
34,-64.99507005831832,-78.5827430689192,-69.35376301950433,-60.02495856454435,-67.69720180198192,-71.62149841124571,-70.33148756850893,-62.58879994482976,-62.08189880821367,-68.76788608493823
35,-61.26515188067172,-76.56248969318949,-69.35376301950433,-57.74436831008485,-63.56628659239839,-70.72607100809367,-69.49490793890074,-62.58879994482976,-62.08189880821367,-64.65468219773828
36,-60.87878021868475,-74.25283444255088,-69.35376301950433,-55.83560793986803,-63.15969829914544,-66.56429049488852,-67.8908636198361,-61.0254493029217,-60.69123408874442,-64.65468219773828
37,-58.75563180909711,-73.81217318397299,-66.5545733114329,-54.2160903030241,-61.10194143170156,-64.88506761246892,-65.44052344441417,-61.0254493029217,-58.19339013488009,-64.55974917091268
38,-58.75563180909711,-73.0220836555452,-66.0172785759123,-54.1417067116498,-59.83859819396859,-64.11027432280665,-65.31728312099455,-60.99550095780947,-57.36258772797892,-64.55974917091268
39,-58.57342744403152,-73.0220836555452,-66.0172785759123,-52.50062501540878,-57.954862111979,-63.9296114912894,-60.99487645552225,-60.48687056287646,-57.36258772797892,-61.09688693571071
40,-58.57342744403152,-70.57205606530883,-65.99207713906,-52.50062501540878,-57.954862111979,-61.476059706051856,-56.62761648964022,-59.69301444273652,-57.05446149078953,-60.49604786322688
41,-58.43735251319559,-68.74041615508057,-65.99207713906,-51.44858189878384,-57.954862111979,-61.476059706051856,-56.62761648964022,-59.44398846399155,-54.000816242543266,-60.325710215542955
42,-58.230069069034826,-66.10080550423018,-65.35852610748904,-51.44858189878384,-57.67706411300305,-61.264561352486474,-54.66285190472368,-57.43998259902018,-53.24510285720332,-59.48499823842454
43,-56.49512597419883,-62.85464844868705,-64.16673371688185,-50.314673801984924,-57.39028141536999,-61.264561352486474,-54.3776748174955,-57.43998259902018,-53.24510285720332,-59.43017098639912
44,-56.14530517599811,-62.483259438416866,-64.16673371688185,-50.314673801984924,-56.433745683431596,-57.71409038383199,-54.144813242249406,-57.43998259902018,-53.24510285720332,-58.697912750945676
45,-56.11556911387314,-59.92799449630069,-62.534375481821854,-50.15129605726663,-55.31975211882175,-55.56701628004416,-54.122372996079456,-56.431309939050834,-52.083046035109035,-56.6588784211843
46,-56.11556911387314,-59.92799449630069,-62.18701100284348,-50.15129605726663,-55.31975211882175,-55.56701628004416,-51.77910719825836,-55.31702245790062,-49.547073702688586,-56.6588784211843
47,-55.17536175628283,-57.72193049230141,-61.996074846359754,-48.510838576311244,-54.67784863256456,-54.391191993909096,-51.77910719825836,-52.761890660108506,-48.87309946080801,-54.62658454845688
48,-55.17536175628283,-55.57693411174724,-60.64697018737301,-47.85408631273715,-54.67784863256456,-51.06932187271682,-50.73633192815947,-51.82014293926102,-48.87309946080801,-54.62658454845688
49,-55.17536175628283,-52.4492474098702,-60.64697018737301,-47.382053636694536,-54.67784863256456,-50.25745289542534,-50.4895592961463,-51.82014293926102,-48.87309946080801,-51.144282540821095
50,-52.39890981623293,-50.97525964527994,-58.31086771107415,-45.458554763167385,-54.67784863256456,-49.573601144053384,-50.32826650093928,-51.82014293926102,-48.87309946080801,-51.144282540821095
