iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-498.0895665760386,-491.7642552773207,-585.8692483519378,-502.02075197319976,-484.68260303687316,-506.08638770144984,-503.8027923813961,-473.25791144053386,-441.3613704565086,-471.8091852762809
1,-352.4048715534554,-452.8160444098148,-410.6461730428695,-505.7529998665448,-403.3312927625401,-384.28560298435775,-413.55023051330494,-445.6899524812354,-427.37086131943227,-478.5214225273071
2,-344.8770160382242,-454.46653786433285,-411.9339900612246,-472.40712981209197,-412.04336688998603,-401.7950586307976,-424.17032101010363,-402.4923443832672,-410.2845208706287,-396.2741326059082
3,-417.8727827439804,-400.4870562902395,-395.7006593597331,-436.06002625479493,-407.4017372672186,-423.9743696294504,-368.3318938192178,-433.71749669372616,-455.05604363507484,-453.1173030436663
4,-397.40223081579575,-454.11241963575907,-510.2363308747291,-404.4023315091189,-393.34482840787933,-352.9667928795693,-416.2374600034736,-379.5338530359784,-420.68909171591577,-364.1439019702523
5,-441.23706086622497,-415.2827403780552,-413.39277877732457,-396.7171145215163,-424.6220442714995,-328.00852362695787,-406.1847937741509,-366.30737762320075,-370.4198549424611,-325.7437161666992
6,-336.9402694713541,-354.7646398615701,-410.2224029146866,-354.085917051976,-373.13645926958395,-408.4238469327512,-351.52690220261934,-363.51426416529296,-410.1336595454975,-401.20236092304776
7,-329.5325412342368,-366.5229845954426,-315.50225312902137,-358.0879750885553,-353.02264615599654,-378.1442503140063,-344.0232675567581,-347.34959203026324,-363.82749097570843,-341.89245293929844
8,-316.5678071953973,-329.3735268100095,-379.5545039292089,-355.3423696189393,-329.1778779158084,-353.4822503077491,-310.44849983936734,-329.2762204489303,-316.81768009618463,-401.57485965032305
9,-350.47360374626476,-340.9569400177115,-352.5916071492251,-411.92740133954305,-361.3825076051271,-318.30178555785204,-352.09030691059354,-382.37851479116944,-292.4966507071361,-297.17751005274226
10,-411.11332395074044,-409.4559139354104,-318.0446815382395,-370.41450871722316,-368.329787331078,-325.3697640956574,-381.0910075093731,-345.87213584385137,-409.75437792927397,-352.7531325609148
11,-330.3005531124253,-364.7332079821381,-348.72228503284646,-313.3326541262827,-336.55275910634333,-313.6460510597699,-326.8708612478265,-387.280872294687,-345.65553014286616,-272.7026800365099
12,-277.21354920553773,-397.31903875835565,-294.35252781007637,-421.6185829886072,-345.74120306931377,-357.049057006826,-342.0034676094522,-371.8758702777388,-335.87213446407225,-322.16090011851594
13,-334.58054187171894,-313.56441523028167,-204.0158487938844,-320.73852600983724,-310.23924658266833,-366.1996563611858,-288.4844521875936,-303.71583873203156,-360.0093291854305,-332.3847221788186
14,-362.9573030764966,-314.93655547723046,-299.2923416365192,-333.57287331941427,-341.8015338658387,-362.16370927212347,-332.26881288890667,-284.2550492522711,-337.1804915919901,-254.9027134681268
15,-298.3993271426971,-350.5227654208675,-285.1225931589324,-259.2509851209769,-372.9449602890413,-325.6245879455265,-310.11813297641703,-335.3886950093977,-249.10579263527194,-334.5141692519675
16,-242.68260874099565,-268.29243327355056,-303.16257120223304,-333.9195247325207,-261.0592787543841,-253.5282721292006,-336.77909287426667,-266.79559138335776,-293.85375968122196,-332.5038667075412
17,-210.89592893383946,-324.73406277106386,-304.1790870131755,-265.1201510274375,-304.58302922494454,-310.24325757012923,-247.6085869370259,-317.13683062560307,-214.88711775990276,-262.1650595422125
18,-207.17961469939686,-280.824413181267,-275.71224905912834,-298.35139000551067,-237.5222560875983,-280.81962042263626,-291.88020588818677,-243.04589686884873,-279.80237570482916,-287.39148364990444
19,-286.6380211529024,-217.85747096505116,-260.5011056485223,-314.0161683210365,-274.21530943132643,-260.2084566950456,-289.0619054319016,-242.88128525517666,-228.8688010837132,-245.87157299573292
20,-223.1051652025984,-214.90540131021663,-232.6198142663457,-280.46598896807797,-236.93097450284372,-250.17283353237528,-217.06944299684648,-224.40658463990223,-218.13850566688666,-237.53894034925722
21,-176.4040778973427,-202.65355000073737,-194.4566079206733,-215.81381323144046,-216.52500186243043,-250.56104506940224,-257.3743624364667,-230.7505533480289,-271.73985221973146,-228.93004618474123
22,-214.17954981953702,-240.71926370178033,-222.4641942532328,-225.00245521967724,-223.2068285859777,-216.60175169911784,-273.382627114995,-232.34086163901605,-207.16498891383375,-265.29881508495936
23,-214.8358215045294,-283.67229358355405,-195.01976611512288,-275.08994297088736,-166.81259751598049,-268.53346640996983,-176.7305742949522,-226.21565173440763,-229.29556346319958,-220.48327018641544
24,-233.32515078594577,-215.51747038666252,-220.0614689948585,-215.1966115017791,-188.81684082195966,-213.00152314950645,-271.23416835084095,-249.28441341078636,-238.67912595670543,-196.27515609417964
25,-175.28050726449405,-275.7164285123927,-190.5856171021477,-205.43453990645583,-206.06510348231245,-217.95118609255886,-189.7742488174266,-197.73580046678651,-206.73344592154933,-232.8697590607318
26,-200.63295906185218,-190.85215206991245,-189.79869088891047,-190.27974632894623,-178.6221372651198,-184.64857762374305,-213.76973652084925,-171.99092075745443,-205.53940000556565,-242.00934483224248
27,-189.72275018058144,-215.7943537169926,-169.93929373838512,-234.2783571660526,-228.39416163147547,-237.63633817158546,-196.6491606461763,-149.45988366896222,-182.23113632338445,-169.68164639055504
28,-184.59493219283502,-144.90098141231715,-222.60280200796254,-169.36276523323113,-179.88022212767373,-188.7192348535049,-214.377625584678,-182.3696351153665,-179.7305128294381,-118.72585271166137
29,-199.6889944473029,-211.92151562509054,-178.05977564408087,-165.11087646488164,-232.9154270798603,-177.48622386285808,-207.59263458574523,-191.98375006396043,-159.4502823003724,-134.1476721616458
30,-195.52182229532784,-198.75268230257473,-178.17600601679231,-186.95472169681733,-154.20975075653223,-179.63738940611807,-178.15790026022853,-196.7556902242273,-147.33196866516747,-210.6468233034635
31,-156.23560186820606,-161.8052820565897,-118.693359874046,-174.39540689907932,-185.4235409039767,-182.72365568220613,-201.25117100962143,-200.06420191658466,-176.7202507554972,-171.5065231275022
32,-155.82975063216497,-165.27975451689673,-128.97038858959877,-153.12247323534177,-183.89108441607547,-188.33573232602427,-197.71901712326544,-199.76153013084433,-173.49881895424141,-193.67183341442114
33,-139.91603259656642,-142.9796307546987,-173.72744479111137,-156.77010514288594,-167.39427634372493,-140.2245687342264,-163.4173513219154,-146.66818401043378,-179.6601616589314,-191.64880596012685
34,-125.62806656299898,-140.33669403396254,-151.5833552668288,-166.26893745668778,-180.59610060048652,-194.47058552699139,-145.9719226874899,-178.14388032400998,-161.22346082264306,-209.2682735690151
35,-154.42968422760063,-152.3719683353344,-197.14710398207808,-155.94179420354595,-170.2978268678879,-170.54117789889534,-139.14805589141932,-207.3504336263195,-165.38736103317365,-140.61262341754656
36,-142.3390234302747,-154.0963913630731,-133.10762583023677,-154.5219818133296,-150.67588467057124,-195.86968944446969,-154.72923048906182,-185.09289246553345,-133.88747947341443,-154.87019298190756
37,-177.55195388119728,-146.33887901917456,-136.48627095868392,-141.08547362642742,-165.0645488939469,-144.79654486287828,-129.38463842849188,-145.31741459254766,-125.3410799504371,-155.55901849082744
38,-157.73386888199136,-179.55185640170484,-146.98579467739526,-171.71501157256625,-160.1735077867953,-134.41302854402906,-143.56539164509883,-152.59538460399875,-116.3796311488602,-163.39936708967844
39,-135.26429844208604,-150.28434538254686,-176.52162732683894,-136.2524499397692,-132.4446495020108,-146.9583546775616,-106.48017756894376,-140.55562824658756,-175.7555376366085,-142.2136318979981
40,-156.64355693553415,-147.25760354577275,-142.46258833338595,-154.3023858983076,-155.39824994075755,-139.45478420832643,-149.4251764798397,-128.82445868840443,-118.01682621306934,-153.0131388039004
41,-146.62623980642707,-129.43015077201622,-145.0057880456523,-176.34504776188828,-177.6797739080804,-129.61292592979913,-128.29753944387562,-142.68371362301156,-122.24820918695562,-157.7062890570508
42,-105.4161150246188,-127.5562396023342,-151.44144259956778,-152.7876424816086,-152.03843947671612,-140.87667741763522,-157.07620183299684,-133.0696387183784,-123.2127507063228,-139.76085745584976
43,-121.12991870368464,-139.28188744765185,-114.86322159460856,-139.88795473953576,-118.78929837724351,-124.46519226600185,-108.03645775548081,-153.47720725346488,-137.97673914495354,-136.15387082818035
44,-143.7950536521119,-134.82302017532385,-164.95160419808818,-122.17735446740521,-139.12850643886242,-119.2889659184013,-121.91794933256062,-171.58509814994522,-149.48850240139504,-140.6064501974267
45,-151.49634274085324,-100.91078458435103,-131.55100747775336,-129.5433272224119,-123.73678626341659,-110.44090468925663,-117.73479464732368,-156.06578138152352,-118.02477846570676,-146.3224683583133
46,-162.6164338456348,-144.76788543883842,-165.02797738388094,-153.07026309139232,-122.79999982178808,-124.4977160747307,-120.9491924925059,-113.22146377419207,-130.7899164639119,-138.36863221683086
47,-127.60286534189633,-156.36086989306273,-121.57275682444912,-122.15794716148235,-132.49526513110777,-108.4247671976638,-126.1318136831339,-123.33605028888786,-127.07307345507805,-105.17553716591661
48,-129.10308561661628,-134.28625996556502,-127.22741186642114,-139.63298435859627,-156.54022000057,-143.6320748752154,-119.59273130760704,-118.93816949019421,-115.51360545192776,-126.61197566117639
49,-127.28235978432774,-107.28665639485857,-146.42747822112878,-125.24405974951617,-105.99235037422571,-123.9546221620495,-125.45839873756267,-135.30485208481093,-134.08569229063494,-122.64769155597317
50,-126.39325239603032,-144.93336274851438,-111.66014533354047,-101.36004935899832,-117.0056449120406,-149.98527730136968,-122.01082894573956,-136.37647701441534,-133.8361810828971,-126.55108514162808
