iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-188.42775407275434,-188.00857504305537,-194.1982113646073,-209.2818899181904,-206.6219547726939,-195.1956319965008,-195.0925253200965,-176.75392255005957,-191.88436331074163,-179.46322463168323
1,-41.16590937428131,-46.33295783270464,-44.63466587091405,-43.095818097484795,-49.57353523605017,-53.39437232301589,-46.234807945974254,-39.65878313207202,-37.53721824823319,-50.315938369933576
2,-22.788297806282245,-27.771357557228505,-26.75371100724953,-25.18360144277478,-28.42646248068951,-28.85987179156033,-29.082840949458436,-27.087442124782868,-29.149377827376814,-25.680935353172604
3,-19.273540536320652,-27.56063257083031,-25.402940879089762,-23.954932965136745,-25.317508879705514,-28.63450639018006,-23.825549142019618,-26.0271973513168,-25.651438156712977,-20.884906269477295
4,-19.273540536320652,-25.581136891858797,-24.68593232957663,-22.510728031634926,-22.695743698036473,-25.200536192413402,-23.49831647795969,-26.0271973513168,-23.594929770363674,-19.939320654539088
5,-18.52765222847038,-24.01105601720147,-24.58254279852603,-21.163299211282766,-22.42425001711435,-22.610863451445805,-23.111313295859212,-24.0151654213968,-22.420020470328765,-18.00244570917826
6,-17.431244770495365,-23.07412411757856,-21.7012594684986,-18.324636926027353,-21.17212737817122,-22.2411348200915,-23.111313295859212,-20.004309433025888,-21.54298407637011,-15.286790428272202
7,-17.396182094490808,-20.12574500138259,-20.287294225378723,-17.99838657009969,-20.296729712221442,-22.049204729965282,-21.160410327694755,-17.744143780793692,-18.407680889216003,-15.090997845223779
8,-16.991349460944367,-20.12574500138259,-19.880639678248112,-17.76793700383354,-17.705142355415365,-20.803594748212213,-20.569495480229882,-15.909920073997434,-16.015885857103868,-15.090997845223779
9,-16.991349460944367,-18.372244240688214,-18.952391922338933,-16.576245656688933,-14.781646757487449,-19.75991534025525,-18.284283014693663,-14.752583598889899,-15.938373057658621,-14.11781602519503
10,-15.176823080708019,-17.26326213025913,-16.906038676453505,-15.720735321863406,-13.561937163751413,-17.38773409746272,-14.017449591668225,-14.19758039647003,-15.782903895291465,-13.25877620040351
11,-14.025142129954638,-13.646820778213435,-14.42445409542887,-14.485088727067,-12.82651741880819,-15.175066643724513,-13.352028966958041,-12.608152474103997,-12.093629333362905,-13.176901023943376
12,-12.148088667516895,-11.581652566172423,-10.813866509414403,-11.541669830839911,-10.478143261774326,-12.400417052920744,-11.962779534483591,-9.527458230964266,-10.558452047921069,-11.229274731933735
13,-11.109613857350375,-10.261470289770521,-9.680124679675984,-9.985480652421025,-10.227094257684596,-10.950682034068253,-9.904522969868033,-8.802651579497645,-10.061128569861108,-9.37880800740111
14,-9.870487727098336,-9.80027433515042,-8.909205675587597,-9.71914885588726,-9.035258448125715,-10.469319078902101,-9.549003639431408,-8.777441078289026,-9.368151440143818,-8.389729733279392
15,-8.802045062973253,-8.982926151698413,-8.668925837447581,-9.538133707728452,-8.944385378258167,-9.510309202375621,-9.237836393726795,-7.967093756420528,-9.05992951349644,-8.338351221688724
16,-8.561841977127013,-8.420966233799202,-7.323773059901048,-8.207724260265675,-8.627654510852992,-8.465671176342912,-8.481527838883707,-7.894328073534787,-8.219149268387259,-7.872610668234403
17,-8.450819906578978,-7.816499885002934,-6.9990866060701515,-7.753819127732168,-7.932860709585944,-8.029130509960993,-7.7250246206672655,-6.668575431015407,-7.679754178821687,-7.869309859741457
18,-7.330548735872165,-7.615693610743989,-6.6161983830858055,-7.507146265122617,-7.510532008831603,-6.803629115106967,-7.436022192170418,-6.250157980530769,-7.211118875600128,-7.140629519979774
19,-7.086962455957741,-6.462001322814594,-6.6161983830858055,-7.074959769387057,-6.591715987137194,-6.803629115106967,-6.919650018961078,-5.988958140779251,-6.858160992440649,-6.845393726780239
20,-6.494519684902995,-5.990185961506836,-6.510698384091038,-6.606643369067532,-6.2733804378346685,-6.490682739816996,-6.658385143613329,-5.479503461066029,-6.114944149047014,-6.613863940094097
21,-6.44115753937251,-5.953736638098911,-6.099919897128669,-6.525205676089909,-5.942826378002341,-6.213184152570349,-6.436690400003936,-5.479503461066029,-6.065575838324511,-6.031001569427624
22,-5.899863703520124,-5.653454484210484,-5.893829028668709,-5.770921450715345,-5.67964261891684,-6.069081506379823,-6.354741554151678,-5.328541881323299,-6.050760489449953,-5.991342852187842
23,-5.652826872783535,-5.526368888564424,-5.360848539419062,-5.405205724332842,-5.172942964352211,-6.019580914419698,-6.034370853756682,-5.02187071333453,-6.011686388348202,-5.71691022364046
24,-5.120608383106517,-5.226497317067643,-5.2209429632189615,-4.957270549791593,-5.01545184562845,-5.819557247905116,-5.453203958963842,-4.3627602055121715,-5.846775978962987,-4.488255840549154
25,-4.656033233239963,-4.880673119257491,-4.740075210801653,-4.14489844589023,-4.673433277595024,-4.757623719700749,-4.943369055335442,-3.8674404256653583,-4.593815974009041,-4.291864294002032
26,-4.308618312376281,-4.460191074652759,-4.134075510200274,-3.9337569460232005,-4.0889884581977505,-4.57773113871795,-4.703316570480921,-3.6465936245380464,-4.167796131563362,-4.185695602520779
27,-4.093008088946271,-4.297537438122651,-4.049795630484275,-3.788819751293659,-3.856996566989501,-4.040712862462005,-4.534505566756746,-3.437824102373872,-3.9440514936044884,-3.8575665420932532
28,-3.718529029898724,-4.0485883312883235,-3.697915472681859,-3.5607262247756415,-3.743558200721,-3.7066532629829556,-4.038185890203836,-3.18282848696903,-3.5906827754771546,-3.514530814552145
29,-3.540167747377885,-3.8953130367562276,-3.6000298680571734,-3.405739404405023,-3.617711221284522,-3.6646627906329647,-3.8140608864153176,-3.174144355646372,-3.314799364468192,-3.2874255154354017
30,-3.469958133398899,-3.376225445892258,-3.1667150207219485,-3.3153094529532625,-3.5690211956339,-3.6646627906329647,-3.7917685963229824,-2.875892309119453,-3.047706509904886,-3.14814506214755
31,-3.3428561116712796,-3.3542573319290474,-3.06466651993978,-3.2422096068596384,-3.148369054192082,-3.519179610957641,-3.6956424842794453,-2.8106088154267526,-2.999886540055564,-3.1031856141039316
32,-3.202704366378127,-3.240127323840555,-2.8829165850873926,-3.089009301158829,-3.1043917000705576,-3.2512671197203318,-3.528548279493286,-2.7226362037452168,-2.694299603305409,-2.984003625844652
33,-2.99893030934876,-3.1141436551414534,-2.7935483277808264,-2.8369392974433585,-3.017400399517953,-3.1435798951116656,-3.528548279493286,-2.7226362037452168,-2.6073137703604226,-2.7808747894856434
34,-2.829727603601493,-3.1141436551414534,-2.6688088278034297,-2.542719409491321,-3.017400399517953,-3.119769262317657,-3.422480883267072,-2.69565707313615,-2.4887696477610497,-2.7808747894856434
35,-2.829727603601493,-3.1141436551414534,-2.604784213233221,-2.542719409491321,-2.982296879710826,-3.077297886795698,-3.415080334452133,-2.69565707313615,-2.4887696477610497,-2.7562114708479752
36,-2.829727603601493,-3.09294837995847,-2.604784213233221,-2.542719409491321,-2.982296879710826,-3.077297886795698,-3.415080334452133,-2.648790879850379,-2.4887696477610497,-2.740012446303882
37,-2.7851089210976014,-3.0292494374348404,-2.604784213233221,-2.5255778579444508,-2.9614259784516612,-3.066836506233087,-3.3175229699164186,-2.648790879850379,-2.4226316429019135,-2.740012446303882
38,-2.7851089210976014,-3.010275190000061,-2.5410974327130553,-2.5020331290733626,-2.882345993471836,-2.9557828422235373,-3.3175229699164186,-2.648790879850379,-2.4226316429019135,-2.7302226916257935
39,-2.748639243152995,-2.9934626176322015,-2.5410974327130553,-2.5020331290733626,-2.882345993471836,-2.9557828422235373,-3.148496069690073,-2.6294303421440155,-2.340849040919803,-2.7302226916257935
40,-2.748639243152995,-2.9694155608598445,-2.5369815637237485,-2.4436752692291623,-2.859910100129001,-2.9557828422235373,-3.1271709314389637,-2.5572444778449612,-2.340849040919803,-2.7302226916257935
41,-2.748639243152995,-2.856456755213297,-2.5369815637237485,-2.4436752692291623,-2.859910100129001,-2.9557828422235373,-3.1271709314389637,-2.5523720431181536,-2.340849040919803,-2.7302226916257935
42,-2.748639243152995,-2.856456755213297,-2.4803291372713225,-2.4436752692291623,-2.859910100129001,-2.9557828422235373,-3.1271709314389637,-2.5523720431181536,-2.3358488907818997,-2.7302226916257935
43,-2.748639243152995,-2.856456755213297,-2.4803291372713225,-2.4436752692291623,-2.859910100129001,-2.9469144642915817,-3.1271709314389637,-2.4647325356576024,-2.3358488907818997,-2.7302226916257935
