iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-498.0895665760386,-491.7642552773207,-585.8692483519378,-502.02075197319976,-484.68260303687316,-506.08638770144984,-503.8027923813961,-473.25791144053386,-441.3613704565086,-471.8091852762809
1,-41.16590937428131,-46.33295783270464,-44.63466587091405,-43.095818097484795,-49.57353523605017,-53.39437232301589,-46.234807945974254,-39.65878313207202,-37.53721824823319,-50.315938369933576
2,-34.1366347427431,-40.93175744204417,-33.76568181867361,-33.83890418959699,-35.82001480627098,-34.36908888390761,-36.97665708308702,-35.2304130104544,-38.7836256400076,-34.752502686618875
3,-48.574892005855745,-55.916109850344625,-48.773097017289764,-48.5107793141393,-45.98614904589303,-50.81305805518821,-46.81495795445214,-49.685244168025186,-52.120434927607775,-41.807019688899814
4,-47.12327567367635,-51.150220544152916,-55.05530063596621,-44.452603379104374,-39.10762779219835,-46.5606593519588,-46.023633013616816,-52.02785675941571,-38.52403381733061,-44.40897328343475
5,-42.90819789123352,-42.37784835219252,-53.70274453138385,-41.024881126940414,-46.78016192332281,-41.66755781302291,-45.31976868769222,-41.21329705133796,-40.87851953132052,-47.25654196210099
6,-36.69969062330172,-43.09071016609444,-37.49067883089491,-39.79540474324064,-40.47546721302474,-45.54376557128259,-48.71727219386558,-35.93408471643014,-43.72958582383124,-35.97183505342629
7,-33.64812985978739,-37.67078009582358,-38.75039823332408,-43.49795643889571,-43.0704646875665,-43.21644054493777,-39.26671430240993,-35.5020629267964,-30.90306362335897,-34.41024736987755
8,-34.825082840219196,-47.135406155482094,-37.636588450954136,-34.63369980716743,-30.815431062026875,-38.450921806557005,-31.026396175944967,-36.131092136176576,-32.00856360409212,-33.0457214758129
9,-38.8003555776109,-30.396517609707033,-32.40853769168791,-24.213872212207377,-28.432261736108906,-38.289692849366766,-30.262738973018752,-25.391767885385374,-30.067698019875102,-29.92641943494463
10,-26.874572719619064,-26.386477700154547,-26.481671884027108,-25.235382233592873,-25.810075726711503,-22.15704806952896,-20.330405415595706,-25.735371893147843,-26.286275946215223,-25.140204326311615
