iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.48561835246252,-189.65526308348728,-196.84329714999677,-210.74022418285404,-202.8337561943908,-195.31409852103326,-199.83609595939802,-181.23211121145346,-188.66020656651742,-184.74405605134893
1,-80.79303663541685,-79.9664233025738,-69.32210868363443,-81.32937723959897,-86.69805693055744,-87.25830646412314,-81.2531490773021,-72.33910469861169,-72.81647752919395,-89.81762777982212
2,-46.69334751739841,-50.302119706916656,-37.42060820224216,-48.53551268722197,-46.1006070818405,-48.03663857080394,-43.14776368383071,-40.820869419157695,-41.96641970700969,-52.17716415110931
3,-38.59398111886493,-37.95235312231622,-33.388993530450435,-36.93279554079017,-34.07127266269128,-37.45919090524487,-32.86319615385146,-35.406457951398934,-30.00187621627387,-39.83482713350426
4,-34.40009344364398,-33.52072717435493,-30.574051810184024,-32.43147648055904,-29.997903415569482,-32.83868596363061,-29.35227435462508,-32.31160980408704,-27.818735580755554,-30.0140792424519
5,-30.800306322114004,-28.7258044433578,-23.261134831674156,-28.605645446521795,-28.43401371772335,-30.23719368162253,-27.227147571366082,-30.22660954248051,-24.19740788071566,-26.13358388063385
6,-29.45080383174372,-27.133949801401073,-21.491615382094405,-27.41798029759105,-25.51845177372102,-28.1125661609412,-26.050905407886898,-27.592562976701533,-21.33509926520683,-24.327153386210625
7,-24.507828076427153,-22.83391598403192,-19.160695336333244,-24.493778281210403,-23.143236255884055,-25.697695351346667,-25.256469929650358,-24.691082735409218,-19.22807162858336,-21.044296598524294
8,-21.050382267501462,-19.69061691677434,-16.6141509131555,-23.628505970564877,-20.878138068954627,-22.29874108321584,-22.72508107067602,-23.07447435977278,-17.405795866309816,-18.212936694006153
9,-19.621994650290166,-18.309643590043322,-14.570834414862004,-18.395685782207536,-19.25415644271138,-17.48145396690971,-20.89093480279267,-20.701032434261748,-15.190308937031476,-15.497649281379054
10,-17.67063178185471,-15.594494972596731,-13.071409772965819,-14.069514806405337,-18.897476935031477,-14.233364745045643,-18.182297354965833,-17.655379265494666,-13.033190493136777,-14.530342569047228
11,-15.438336018908705,-13.694973697710328,-10.227043242229556,-10.815411529085022,-16.9962756513502,-12.261879139705963,-16.20006123647733,-14.083835960673431,-11.699217232288873,-12.913630494372601
12,-12.49885078864853,-11.017111831588432,-8.325476374898543,-9.864715169216959,-14.409323470637867,-10.364081908007684,-13.072327233477449,-10.747190178346749,-8.728548065013005,-10.726024907843628
13,-11.319782343466105,-9.717646156678232,-7.3635371292382725,-8.867957586812295,-12.35742915425887,-8.814244091177539,-10.809254570813387,-9.767422042419508,-7.530965466597502,-9.186481223321305
14,-9.254331618722404,-8.337212104365335,-6.733834542685825,-7.406740991564403,-10.390635866586823,-7.640271598896247,-10.516619975624113,-8.583693981922682,-7.214687444149227,-8.401152308461972
15,-8.931103780665794,-7.828534343896728,-6.267349105793163,-6.49798357085969,-9.119239297914792,-7.4046579451541525,-9.937288756259106,-7.957035382026413,-7.032382935374486,-7.068967484256016
16,-8.652012952004942,-7.481199222790275,-6.267349105793163,-6.492364705430319,-8.059378765599593,-7.177172324270361,-9.350869525960128,-7.392336588102984,-6.591478618752662,-6.3629501113724505
17,-7.090141215900815,-7.308564275672709,-6.087895799962544,-6.271866393847459,-7.926632409987565,-6.620526122102603,-8.691633787715194,-6.851957477533485,-6.28335651491287,-5.937230477483052
18,-6.825804509198987,-6.82523297942164,-5.674939922801002,-6.264553150495159,-7.644990566264537,-6.306938558290257,-8.137293784817196,-6.678598660598766,-5.943034058638622,-5.77840472415824
19,-6.780638147931132,-6.588942571594551,-5.298277573618305,-6.062688774344201,-7.125528360896617,-6.181676492056146,-7.817090181922335,-6.211388396184782,-5.62811488271687,-5.3321783983013695
20,-6.414431483455131,-6.47995069574244,-5.2648195231965325,-5.952582421678525,-6.982151505228266,-6.1305178336438075,-7.720246461036075,-5.854902988652443,-5.506475951362461,-5.148894372321197
21,-6.269951645817793,-6.293041123781849,-5.235867422220414,-5.652754646131246,-6.631572759242449,-5.932017951717738,-7.38202967971278,-5.798370196122146,-5.280102408201768,-4.804711188365996
22,-6.107098969765328,-6.125624175304136,-5.193846200630901,-5.631095135272392,-6.217848603814346,-5.7094390492560585,-7.233954822498379,-5.5507824617720285,-4.973920968519252,-4.682164846830801
23,-6.088345542908808,-5.870530749167126,-4.643321297730401,-5.502794188342828,-6.083166807713084,-5.357061616539227,-7.08981882264769,-5.422620822287407,-4.89155450228314,-4.621031209706867
24,-5.926477699084083,-5.764042925428285,-4.58943810806025,-5.294887785971778,-5.805626988876287,-5.004417995892899,-6.812291688641968,-5.422620822287407,-4.773541468105281,-4.565997822896444
25,-5.728177938237028,-5.691563918574839,-4.58943810806025,-5.2881930461170334,-5.716862440940554,-4.984878275989244,-6.538906297880551,-5.141587545149934,-4.713290635034139,-4.532062337989921
26,-5.633605969289725,-5.5546158920403315,-4.451485529422953,-5.112775608631427,-5.51212410359131,-4.965062503189899,-6.419821873752309,-5.126205722042073,-4.630219646252344,-4.45685813384945
27,-5.560673135951326,-5.419291521922421,-4.2528150870128725,-4.999064154882493,-5.2827232505855,-4.812548577445119,-6.296112140738026,-5.030897866811554,-4.488027721442313,-4.343924748867263
28,-5.547446227262022,-5.419291521922421,-4.250765178468414,-4.958169578326203,-5.16824955338573,-4.745841923064444,-5.865485480281616,-4.912262144548409,-4.459129964316613,-4.214121390965076
29,-5.51365238795178,-5.218707001823454,-4.169281799730685,-4.946726896482126,-5.150666322234099,-4.7244330002112935,-5.773510320750169,-4.881043867451016,-4.411428225365456,-4.100954965337392
30,-5.50412251895143,-5.151745324121405,-4.068589373043679,-4.890122234718122,-5.019781239569859,-4.604656865946396,-5.606114831021667,-4.772196600978479,-4.397458339024383,-3.9883001532350058
31,-5.481162745454902,-5.1191383912214885,-4.045232673223518,-4.8128745303745175,-4.989810561601169,-4.56892325300154,-5.600367627231909,-4.744713659105994,-4.361127635959495,-3.9883001532350058
32,-5.291301268188072,-5.086808066728894,-3.9335706142984206,-4.787484795463871,-4.960258012590833,-4.301489917403571,-5.447359983591409,-4.685158152961135,-4.2626549862606105,-3.946712055427758
33,-5.029218900568313,-5.028740919477561,-3.9335706142984206,-4.735102004800593,-4.811469635067212,-4.1786825570914505,-5.2314506321625736,-4.593778342728335,-4.255835187751318,-3.8799177971048695
34,-5.0033837553843545,-5.024662603069119,-3.7974438175212306,-4.735102004800593,-4.80579268575107,-4.120274865672005,-5.2314506321625736,-4.405515561213971,-4.255835187751318,-3.787275082786603
35,-4.815594798693276,-4.887851072819205,-3.7346552037686056,-4.686936185047761,-4.789543397889174,-3.9025629044581613,-5.141172151041733,-4.281885550757941,-4.255835187751318,-3.6616077381496197
36,-4.795089188256505,-4.856346298640421,-3.7170509536906913,-4.684818521507297,-4.709930659973297,-3.8918119084634304,-5.121413856311282,-4.1618659077166535,-4.107916340033663,-3.621834331941594
37,-4.66401373401433,-4.801429101346052,-3.7170509536906913,-4.4993009351553415,-4.709930659973297,-3.880919749721466,-5.004970795395545,-4.087756824140756,-4.075959704742179,-3.621834331941594
38,-4.639673908294133,-4.7916882672623755,-3.7170509536906913,-4.4765282990310675,-4.643110354588927,-3.8463250571541403,-4.912974217402637,-4.058010412963743,-4.056675590899935,-3.621834331941594
39,-4.5813604411837385,-4.722504817590887,-3.6919973134590096,-4.4765282990310675,-4.599649427413328,-3.8322777714160585,-4.912974217402637,-3.915306836772384,-3.9845582477366275,-3.6067905946172742
40,-4.536071784256121,-4.636619243838014,-3.610989174225965,-4.310087305250048,-4.589448335409705,-3.8322777714160585,-4.882524796510613,-3.8701407292901138,-3.96858484463667,-3.4507395392330604
41,-4.325533114984477,-4.578096924246829,-3.546796527731897,-4.187978769555469,-4.589448335409705,-3.730945978528615,-4.868809147213872,-3.8701407292901138,-3.939267036095541,-3.4507395392330604
42,-4.2645876929802125,-4.446380197194834,-3.426503462500153,-4.140160647719894,-4.530284618599074,-3.7066048349301286,-4.80928371884879,-3.8701407292901138,-3.837221515550136,-3.426049649692776
43,-4.225841612620834,-4.403716840328192,-3.3964036318192123,-4.059405416450483,-4.417353894045115,-3.7066048349301286,-4.80928371884879,-3.7840498108774314,-3.744933007960304,-3.416583500738322
44,-4.155407587273893,-4.2620479490173295,-3.3678696672820214,-3.9743004163603355,-4.379003665285406,-3.6858950282083502,-4.755878437214244,-3.6324183658527884,-3.744933007960304,-3.2244802070548055
45,-4.094985371923393,-4.198261241205727,-3.287483214188543,-3.8197269829339398,-4.353900968440298,-3.62394236514058,-4.755878437214244,-3.55239793309085,-3.744933007960304,-3.2171274693038123
46,-4.094985371923393,-4.145887399882437,-3.194683273611407,-3.7219659077835243,-4.237355886076139,-3.5891229219400897,-4.748087705685167,-3.4778595000746124,-3.744933007960304,-3.1762370927325434
47,-4.094985371923393,-4.145887399882437,-3.182263135050179,-3.7219659077835243,-4.14137993951957,-3.516681628716995,-4.68350193787466,-3.4778595000746124,-3.6851148808446954,-3.166148778891191
48,-4.094985371923393,-4.112992576844209,-3.1325241884240542,-3.6178609507573354,-3.7592556518772144,-3.468002491598406,-4.68350193787466,-3.4778595000746124,-3.6440626907049953,-3.1262099187242454
49,-3.938702515309076,-4.087982259109225,-3.08532356082491,-3.4595030630777766,-3.6739403868569385,-3.468002491598406,-4.630487420135722,-3.4778595000746124,-3.624039527628768,-3.068785597374153
50,-3.937453203956407,-4.040995735165943,-2.9287559008291337,-3.348222139910651,-3.668740407227869,-3.4104774748243627,-4.545874746559728,-3.4097021858014482,-3.5998539998944565,-3.0610391330779203
