iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-505.5215553348636,-503.36833879449136,-598.9024026348334,-500.23509836939695,-468.78601733021173,-486.4782835513222,-493.41628260435624,-486.8950399224387,-463.2139790503686,-468.27051740973843
1,-80.79303663541685,-79.9664233025738,-69.32210868363443,-81.32937723959897,-86.69805693055744,-87.25830646412314,-81.2531490773021,-72.33910469861169,-72.81647752919395,-89.81762777982212
2,-48.20956461326517,-51.27944822313242,-37.518669898443,-48.53551268722197,-46.1006070818405,-48.03663857080394,-43.14776368383071,-42.08855872591939,-43.224795671632066,-52.17716415110931
3,-41.99435209034905,-39.796527088885185,-38.76125270153586,-40.0423701331015,-37.86844096309781,-43.72491987032852,-34.32538235110107,-38.72411954113781,-33.337126333983,-43.63403288049577
4,-40.68284191899687,-41.110003931782174,-38.36243787402799,-36.564214019478804,-38.364102965757,-37.328392198454225,-37.903937223255696,-39.14959520806242,-35.0861930189763,-34.71078486381875
5,-38.61014709238865,-34.47485301584219,-28.540866239845943,-36.03245109046195,-38.433821787006906,-37.93660983267373,-35.62474867020629,-41.69432426053893,-28.649334444445696,-34.090905621151265
6,-44.15852757398585,-34.71176323325969,-31.17710592323298,-33.13672369811168,-32.50407184293402,-39.411174601703976,-33.39614142058401,-37.25923413393832,-23.995511178273368,-31.303908062190537
7,-31.712372601527285,-31.5573173647135,-29.102006469098868,-27.2518918178124,-28.548413196983706,-34.547109361461196,-33.13763903648211,-31.89442842141984,-26.572733522736232,-25.634482884639617
8,-25.407887592044993,-26.919364433428946,-23.09770736468787,-30.797646382581387,-27.88386008342592,-27.54326433305456,-30.286300522850055,-28.32689812940405,-26.092805127423766,-25.432219881582377
9,-26.180157689457012,-26.094554038686727,-21.64582290226417,-21.12331714189741,-25.44339200242352,-22.131682971916067,-24.791464403170075,-27.899952793358892,-18.127985114989833,-21.43832390058234
10,-21.223837543583468,-19.837055839072505,-18.07548390894553,-17.536467922726736,-26.616376933514132,-17.511746508191436,-22.614182706995962,-24.460135180872683,-16.5508051723708,-19.1979613822012
11,-20.613811651895688,-18.081483067129973,-13.842062789713097,-13.089346809556051,-19.553585548428007,-14.8897260223863,-17.852745674325973,-18.649786066172126,-16.14450964769312,-15.135686736977437
12,-14.433893385124783,-13.8222723391583,-10.631930506255639,-13.352003572399099,-18.324664991052135,-14.866176103901303,-15.447583043393838,-12.80697499523412,-11.429989911752045,-33.71247172945476
13,-13.300718564805152,-13.595536109742305,-10.027732394866696,-10.668097429337077,-15.533882844914253,-10.359111931114526,-14.54333309259154,-31.487066640343187,-8.611860098269945,-10.956871606215563
14,-11.752434339415412,-10.448976211023236,-9.26563189916447,-8.434280534232222,-12.051096986302213,-9.632012874455985,-13.527985540778706,-23.413851541764643,-11.846623885071015,-11.840164862803503
15,-10.613763855853993,-9.873334943377655,-9.062749092970018,-8.172312792938122,-10.783318295113837,-9.658471904507294,-11.84190408150752,-9.851485895799026,-8.7816759077982,-8.497585750811055
16,-11.836783179463717,-8.493735659461759,-9.132920757367938,-9.368366067731927,-9.67916185743028,-9.64430539784023,-12.145577949279431,-9.080030578575634,-7.7777065743258165,-8.461197576498314
17,-9.100564105115996,-9.574956393930492,-9.22125865360373,-9.84634838819824,-10.379400597304876,-8.621775518456644,-11.778554744570513,-17.959148133543685,-8.421394575465474,-8.126385031448407
18,-21.090325537465,-8.047794182828158,-7.19144049770841,-7.863584714936911,-9.359348481174209,-8.999308769800809,-9.91124209027565,-8.609433985439129,-7.893684537123927,-7.667176264083427
19,-9.107810008336537,-8.705126043822146,-6.409670676786092,-7.571751044561339,-8.358131106073174,-7.746982714263453,-9.598549197968477,-8.337589874926412,-7.458204820536919,-6.659353750757234
20,-8.289679954892403,-8.523619180483022,-7.603953897744457,-7.895680915302076,-8.4781283341338,-7.450029156659207,-25.63264286341402,-7.978337833210955,-8.955122414463492,-27.81340257251808
21,-8.428159804756405,-8.12760921846889,-8.139073812888956,-7.36039918437113,-7.943290398976999,-8.025355945876694,-8.956342222169237,-7.41345902634354,-6.672125521322098,-20.123050220018293
22,-7.80848019208588,-7.5126898341937665,-6.609629861098565,-7.5215835922006935,-7.509736305102142,-7.379629413825007,-21.68463646134106,-21.65033116006345,-6.846805029132489,-5.790076400484412
23,-7.3245139619191795,-6.81098535351585,-5.552357096034474,-6.813377032733959,-7.829811887549059,-6.260431860079181,-9.037366319776803,-7.352370204179844,-6.008237427679042,-26.160484617306672
24,-17.387480716712272,-7.4155043656962345,-6.196676669900722,-6.695586616355876,-7.580424525083238,-6.567539208739421,-8.929623135323581,-27.303455696077094,-6.048085207352251,-19.181610766837583
25,-6.914538438850109,-6.908544846744143,-6.392412362926825,-6.549796791249926,-27.102524714514274,-6.462919695789986,-8.209102029141665,-6.254274821664399,-6.8212622724742955,-13.013832735936589
26,-29.550766710003767,-7.369278725613667,-5.485540793433525,-6.131137755448593,-18.955275093509847,-6.286406876029615,-8.112782060011758,-21.545447396585807,-5.807909752435183,-5.616575085885348
27,-27.486669689449712,-6.652657833424767,-5.555562439622422,-6.205218199923009,-6.53953479982569,-5.976814331172305,-7.987926507308751,-20.79716968534515,-6.141234921000885,-5.808960039032899
28,-22.25357131345361,-6.885565325696689,-6.051647057512651,-6.161161837523078,-6.473139016215486,-5.99069923728894,-7.209906002038585,-5.900540851923781,-5.519691852607114,-5.3227275305801065
29,-21.725877280971464,-6.457600562911901,-4.872882200778983,-6.1873294509482495,-6.500510476828074,-5.8470226124012346,-24.96243642102306,-18.843480204554,-5.617704648336607,-5.482673493459169
30,-18.63150549435362,-6.845718048634714,-5.154013108213265,-6.030347287686317,-6.157067272233084,-5.917533152874017,-25.456620732099516,-30.25258781457012,-5.787484095823354,-4.974263881972177
31,-6.627903496486001,-6.572368141650829,-5.630332041940542,-5.990557499514804,-45.144212331319814,-5.839862298780423,-7.09092706795037,-22.92375939281892,-6.062262562443145,-5.517529797338165
32,-6.286470166627602,-6.0878110961609035,-5.173766810012546,-5.822656735303095,-6.747923659574276,-5.683516879961701,-6.450328597073632,-19.118294489435677,-5.257141669454045,-5.139056845584809
33,-6.172914018508134,-6.281329486186586,-5.745536614631712,-6.289158415623923,-16.76370157374506,-21.566120302679835,-17.332915638226744,-26.973893816224205,-20.595650981586193,-23.73520612548883
34,-18.502354880659837,-6.65726792357094,-4.979479018845869,-6.226435465134044,-6.34521743712596,-5.655269476051976,-6.893315119865642,-16.814591316063307,-5.748457070501804,-5.184192647162053
35,-6.020244920235838,-6.122917937675078,-4.604767192421844,-16.323780846292497,-21.704620938088272,-5.168437970799319,-18.694963957257418,-15.571319332059526,-6.385074726158395,-5.164610335921459
36,-18.96755355194511,-6.47293460469856,-4.979863734708614,-5.911260404466923,-6.254515206372632,-35.789996705791935,-6.633472659487724,-5.442651850263922,-4.963346134451269,-5.054507665622536
37,-6.217311900903017,-6.029299040857439,-4.791206193419,-5.68867143505318,-35.82182807825877,-26.596923530693598,-6.24608663485395,-19.875583560407318,-14.731804624539759,-24.811858823819268
38,-6.23471040636416,-6.414868622930292,-4.658261509570295,-5.856284986316228,-6.05495799387681,-17.69138222975637,-6.816313574967658,-15.83304951957859,-5.705413146318455,-27.640004842088803
39,-23.750779985225773,-5.76274087537559,-4.599327453924605,-5.55301501940901,-38.3932226755631,-44.635166376694904,-14.447950774008387,-16.2786733405322,-5.020138377421001,-5.391314143921784
40,-6.059684574140003,-5.728700078193539,-4.681060238322189,-5.317436572195426,-41.98991659023394,-22.43589075527848,-6.329666380543179,-15.077227399899897,-5.54270442997286,-4.482910692320259
41,-5.574344307451297,-5.451109546863194,-4.304399126434178,-5.146779842338635,-5.959128680126534,-31.540647642776914,-6.278870613912034,-39.42216841441527,-5.173582315779956,-20.110701409359024
42,-13.570221531726775,-5.465296336574977,-4.410363478961417,-5.244298398557206,-17.964464969174262,-43.36659242725711,-31.865754700768093,-36.134698213813344,-4.606342372077133,-4.274176883478894
43,-14.397959739809956,-5.345341195199703,-4.7190579042242735,-4.796561862117487,-22.493187821585476,-37.00220955887066,-6.093029780728061,-42.30646540662317,-4.602983814977492,-12.516647922195332
44,-5.280770013053276,-5.5490635076397465,-4.3577618515075836,-4.902728860282763,-19.94515121488038,-21.876747144176196,-5.388031711338144,-24.283341442411277,-5.393702440567037,-20.099076890237054
45,-5.212457488499073,-15.797012991337084,-4.10751682262984,-4.701886534598746,-32.85345576700466,-24.620589404970364,-41.09880193418826,-49.14838336053529,-5.443462446390665,-4.422516129261165
46,-17.246808086067496,-25.49437310550478,-4.5725636448093825,-4.537500947334621,-5.384211536145363,-30.443269786686287,-6.249203017552615,-31.333711633330893,-5.032867118147822,-18.804225685063535
47,-37.546471442422344,-22.062034318709884,-4.419895674919011,-17.943297638024767,-10.474444941215713,-23.51515866279724,-19.67238527238014,-18.26230012234367,-4.803174966288156,-21.68149182869057
48,-5.632998515304674,-5.331401551318352,-4.193634805303738,-4.957599862591424,-4.83673738758363,-38.37111124833315,-5.872607393182205,-19.342700430415086,-4.489476869182215,-32.72964646188002
49,-4.680220738962262,-19.918176673225773,-4.072998124039773,-5.8523318899497205,-14.762140783510752,-50.8008707339764,-5.657723046400122,-18.86979614995935,-4.7352456734604695,-24.513535249139746
50,-42.21403492451941,-5.067856848661187,-3.509130451882414,-4.299759026077905,-15.951633760903167,-40.96385637879714,-5.383013012560575,-4.397098040805801,-4.696450813046074,-19.52641445916949
