iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-182.93051543415203,-219.0076544134547,-199.17154418679473,-206.9453914008543,-192.22231388914622,-199.344740669742,-219.31267661800874,-195.95079049144573,-184.08456356756432,-202.0874681048403
1,-182.93051543415203,-216.92399452857933,-197.5367851541237,-198.81147709472532,-192.22231388914622,-188.24037686316444,-219.31267661800874,-195.3346151256568,-179.54686616646092,-197.56579990528007
2,-182.93051543415203,-216.92399452857933,-197.5367851541237,-198.81147709472532,-192.22231388914622,-185.34904028003595,-219.31267661800874,-195.3346151256568,-179.54686616646092,-197.56579990528007
3,-163.58923561125746,-212.24152448306495,-187.37711340674767,-198.81147709472532,-192.22231388914622,-185.34904028003595,-219.31267661800874,-195.3346151256568,-179.54686616646092,-197.56579990528007
4,-163.58923561125746,-212.24152448306495,-187.37711340674767,-198.81147709472532,-187.6282456640809,-183.01843468284852,-219.31267661800874,-195.3346151256568,-174.1945393774351,-197.56579990528007
5,-159.22021942677193,-209.11575206718567,-179.06259244001413,-198.81147709472532,-187.48760786263733,-175.82012497005368,-211.06129332227525,-180.56248780653047,-163.88901401614993,-197.56579990528007
6,-155.52143560614687,-207.89828778226118,-176.50946914256804,-198.81147709472532,-187.48760786263733,-175.4924569077591,-205.38901901720476,-180.56248780653047,-163.59772362111102,-195.22576124100846
7,-155.52143560614687,-194.66715527024303,-176.50946914256804,-198.81147709472532,-184.12363779246786,-171.23805138881278,-195.27201505705995,-180.56248780653047,-160.08428741291533,-188.12791101896045
8,-155.52143560614687,-194.66715527024303,-176.50946914256804,-196.5016950443719,-170.04245962380585,-171.23805138881278,-195.27201505705995,-176.98127561495795,-159.7981982736369,-179.9620922072419
9,-155.52143560614687,-192.14434076792458,-176.50946914256804,-194.6857120278383,-170.04245962380585,-169.74344047315284,-193.14276833715036,-170.68377819415534,-159.56806950970002,-179.9620922072419
10,-149.50167513194606,-192.14434076792458,-176.50946914256804,-178.71701006759096,-160.4343975860464,-160.0748991549952,-188.30740266969966,-165.76001827106833,-152.88980321456526,-179.9620922072419
11,-149.50167513194606,-190.22614587784955,-166.8179604855517,-169.98794584929016,-156.38234556458406,-156.78927552096513,-182.30000176143523,-163.93266774835425,-152.88980321456526,-174.0208241211081
12,-134.59916794822738,-190.22614587784955,-157.60752955747157,-159.50396247566022,-156.38234556458406,-148.30572768627775,-169.33278351648306,-151.47512827417586,-143.75197197541615,-174.0208241211081
13,-125.60713575480344,-184.8193913204869,-156.76723901765797,-155.71170042869062,-156.38234556458406,-144.11751409058223,-169.33278351648306,-150.3427899095392,-138.97925240377387,-168.2473482667814
14,-122.44733924953415,-180.06986760098349,-156.76723901765797,-155.71170042869062,-149.5919498766088,-143.09182932433782,-163.04625516763778,-150.3427899095392,-130.68769944491902,-168.2473482667814
15,-121.72461267328417,-155.09085547241742,-155.50183071268873,-149.0954460841753,-147.24124327490603,-138.35433512749438,-163.04625516763778,-150.3427899095392,-122.30649554903765,-159.39464078884913
16,-121.72461267328417,-153.24517815594135,-150.62053638772488,-139.25066866455109,-141.74357421067464,-129.03267388087676,-156.67938843452302,-134.8924756929939,-122.30649554903765,-159.39464078884913
